SYMBOL,PRICE,VOLUME,CATEGORY,NAME,CHANGE(PKR),CHANGE(%),DATE
HUMNL,6.61,50757500,TAS,Hum Network Limited,-0.04,-0.60%,2021-10-25
WTL,2.35,17437500,TAS,Worldcall Telecom Limited,-0.02,-0.84%,2021-10-25
BOP,8.3,10040500,TAS,The Bank of Punjab,-0.39,-4.49%,2021-10-25
GGLXB,29.87,9600500,TAS,Ghani Global Holdings Limited,1.85,6.60%,2021-10-25
TRG,126.8,4719578,TAS,TRG Pakistan Limited,0.55,0.44%,2021-10-25
BYCO,7.12,4657000,TAS,Byco Petroleum Pakistan Limited,-0.1,-1.39%,2021-10-25
TREET,44.85,4103500,TAS,Treet Corporation Limited,0.69,1.56%,2021-10-25
TPLP,46.26,3408000,TAS,TPL Properties Limited,3.16,7.33%,2021-10-25
UNITY,29.7,2988452,TAS,Unity Foods Limited,0.24,0.81%,2021-10-25
SERF,10.35,2779000,TAS,Service Fabrics Limited,-0.28,-2.63%,2021-10-25
SLL,4.2,21000,TA,SME Leasing Limited,0.55,15.07%,2021-10-25
REDCO,8.5,168000,TA,Redco Textiles Limited,1.0,13.33%,2021-10-25
FPRMXD,5.9,2000,TA,First Paramount Modaraba,0.69,13.24%,2021-10-25
JUBSDEF,7.85,500,TA,Jubilee Spinning & Weaving Mills Ltd.,0.86,12.30%,2021-10-25
TSBL,13.49,500,TA,Trust Securities & Brokerage Limited,0.99,7.92%,2021-10-25
BWHL,86.0,500,TA,Baluchistan Wheels Limited,6.0,7.50%,2021-10-25
ISILXD,477.3,100,TA,Ismail Industries Limited,33.3,7.50%,2021-10-25
BTLXD,432.16,1200,TA,Blessed Textiles Limited,30.15,7.50%,2021-10-25
BUXL,133.32,10000,TA,Buxly Paints Limited,9.3,7.50%,2021-10-25
ECOPXB,31.6,155000,TA,Ecopack Limited,2.2,7.48%,2021-10-25
HICL,6.92,3000,TD,Habib Insurance Company Limited,-0.98,-12.41%,2021-10-25
NCMLDEF,5.55,55500,TD,Nazir Cotton Mills Limited,-0.59,-9.61%,2021-10-25
FECMXD,3.5,3500,TD,First Elite Capital Modaraba,-0.29,-7.65%,2021-10-25
GATI,541.13,100,TD,Gatron (Industries) Limited,-43.87,-7.50%,2021-10-25
CYAN,36.9,31500,TD,Cyan Limited,-2.99,-7.50%,2021-10-25
PSYLXDXB,43.48,1500,TD,Pakistan Synthetics Limited,-3.52,-7.49%,2021-10-25
FDIBL,2.36,234000,TD,First Dawood Investment Bank Limited,-0.19,-7.45%,2021-10-25
JDMT,81.5,3000,TD,Janana De Malucho Textile Mills Limited,-6.49,-7.38%,2021-10-25
STJTXD,97.0,1500,TD,Shahtaj Textile Limited,-7.49,-7.17%,2021-10-25
JATM,13.2,1000,TD,J.A. Textile Mills Limited,-1.0,-7.04%,2021-10-25
