Date,Food,Textile,Petroleum,Other_Mnfg,All_Others,Total_BOP,Services,Target
2014-10-01,309,1163,67,368,181,2088,401,2489
2014-11-01,301,958,104,332,166,1861,310,2171
2014-12-01,439,1213,85,386,134,2257,453,2710
2015-01-01,444,1124,56,337,3,1964,360,2324
2015-02-01,410,1053,40,336,14,1853,1043,2896
2015-03-01,441,1206,57,365,-20,2049,438,2487
2015-04-01,433,1102,85,376,71,2067,403,2470
2015-05-01,398,1069,45,359,9,1880,318,2198
2015-06-01,321,1178,85,389,138,2111,403,2514
2015-07-01,242,1128,41,343,5,1759,715,2474
2015-08-01,238,1028,57,323,92,1738,341,2079
2015-09-01,287,1137,22,349,26,1821,711,2532
2015-10-01,310,1094,38,311,25,1778,400,2178
2015-11-01,286,983,55,272,144,1740,321,2061
2015-12-01,366,1122,42,321,96,1947,444,2391
2016-01-01,332,1014,35,258,53,1692,354,2046
2016-02-01,327,996,27,304,210,1864,351,2215
2016-03-01,370,1099,29,333,158,1989,447,2436
2016-04-01,337,1026,34,313,108,1818,594,2412
2016-05-01,308,1022,32,320,277,1959,361,2320
2016-06-01,320,1107,38,357,45,1867,417,2284
2016-07-01,202,972,31,268,35,1508,349,1857
2016-08-01,207,1073,31,300,246,1857,435,2292
2016-09-01,226,1019,41,322,81,1689,443,2132
2016-10-01,279,998,25,274,250,1826,394,2220
2016-11-01,326,1038,35,298,163,1860,413,2273
2016-12-01,338,1003,34,286,230,1891,491,2382
2017-01-01,312,1051,48,272,128,1811,428,2239
2017-02-01,327,1033,37,291,109,1797,761,2558
2017-03-01,363,1161,32,350,169,2075,801,2876
2017-04-01,384,947,37,292,167,1827,456,2283
2017-05-01,369,1087,38,360,124,1978,449,2427
2017-06-01,286,1074,21,346,157,1884,495,2379
2017-07-01,252,1029,37,302,197,1817,415,2232
2017-08-01,255,1169,50,388,228,2090,457,2547
2017-09-01,233,1081,44,335,50,1743,518,2261
2017-10-01,293,1165,58,333,111,1960,463,2423
2017-11-01,420,1110,52,361,230,2173,492,2665
2017-12-01,433,1041,39,318,177,2008,593,2601
2018-01-01,446,1203,54,335,52,2090,470,2560
2018-02-01,455,1074,53,344,131,2057,503,2560
2018-03-01,583,1147,23,393,170,2316,483,2799
2018-04-01,530,1087,38,353,227,2235,442,2677
2018-05-01,550,1166,64,347,138,2265,506,2771
2018-06-01,369,1104,63,324,154,2014,509,2523
2018-07-01,366,1191,38,314,104,2013,477,2490
2018-08-01,336,1176,86,346,131,2075,499,2574
2018-09-01,263,1115,59,302,66,1805,495,2300
2018-10-01,303,1245,51,342,120,2061,508,2569
2018-11-01,299,1101,63,300,135,1898,478,2376
2018-12-01,350,1078,23,309,253,2013,563,2576
2019-01-01,478,1191,71,333,201,2274,519,2793
2019-02-01,408,1051,71,266,79,1875,485,2360
2019-03-01,458,1085,21,332,141,2037,542,2579
2019-04-01,463,1132,68,323,98,2084,486,2570
2019-05-01,511,1202,63,368,179,2323,468,2791
2019-06-01,412,1012,64,286,25,1799,446,2245
2019-07-01,409,1223,53,343,189,2217,460,2677
2019-08-01,289,1087,40,270,210,1896,424,2320
2019-09-01,367,1107,28,299,80,1881,411,2292
2019-10-01,380,1220,68,319,204,2191,540,2731
2019-11-01,348,1056,35,341,333,2113,449,2562
2019-12-01,459,1136,32,309,174,2110,551,2661
2020-01-01,442,1190,34,308,82,2056,510,2566
2020-02-01,391,1093,19,300,193,1996,470,2466
2020-03-01,392,1098,19,320,-8,1821,428,2249
2020-04-01,360,828,18,247,-30,1423,354,1777
2020-05-01,315,762,1,208,-27,1259,361,1620
2020-06-01,389,997,22,257,-92,1573,377,1950
2020-07-01,336,990,21,296,242,1885,405,2290
2020-08-01,248,928,21,254,63,1514,357,1871
2020-09-01,281,1152,10,334,178,1955,476,2431
2020-10-01,311,1164,22,308,164,1969,432,2401
2020-11-01,354,1135,11,317,422,2239,505,2744
2020-12-01,434,1249,21,317,232,2253,627,2880
2021-01-01,440,1200,7,281,169,2100,481,2578
2021-02-01,394,1188,30,292,272,2176,487,2663
2021-03-01,501,1416,16,366,311,2610,563,3173
2021-04-01,439,1278,35,388,161,2300,518,2818
2021-05-01,369,1251,14,321,174,2129,489,2618
2021-06-01,397,1459,26,361,254,2499,565,3076
2021-07-01,310,1357,11,339,235,2251,477,2728
2021-08-01,346,1352,14,346,291,2348,544,2892
2021-09-01,360,1509,10,356,406,2634,569,3203
2021-10-01,354,1435,32,313,248,2381,548,2929
2021-11-01,354,1435,32,313,603,2736,569,3305
2021-12-01,481,1548,33,338,525,2924,674,3598
2022-01-01,428,1441,40,332,254,2497,521,3018
2022-02-01,453,1480,66,326,563,2888,535,3423
2022-03-01,550,1713,66,424,136,3072,668,3740

