Date,USA,UK,Saudi_Arabia,UAE,Other_GCC,EU,Malaysia,Other,Target
2018-07-01,284,299,437,446,199,65,141,103,1974
2018-08-01,324,295,466,473,193,60,149,124,2083
2018-09-01,234,217,360,308,134,41,106,80,1480
2018-10-01,317,322,495,419,201,57,142,98,2053
2018-11-01,261,247,395,350,154,42,120,87,1657
2018-12-01,269,268,415,351,174,47,129,87,1741
2019-01-01,264,295,404,350,167,43,120,93,1736
2019-02-01,233,252,370,336,152,38,110,82,1574
2019-03-01,259,282,406,378,168,44,121,76,1734
2019-04-01,260,280,428,373,175,48,124,82,1770
2019-05-01,335,387,494,477,238,71,176,125,2302
2019-06-01,267,269,334,356,163,53,113,81,1636
2019-07-01,138,217,577,491,273,162,25,146,2028
2019-08-01,133,181,464,405,225,143,17,116,1684
2019-09-01,117,177,516,422,229,144,16,119,1740
2019-10-01,138,237,550,494,264,156,25,137,2001
2019-11-01,131,197,491,460,243,141,27,132,1821
2019-12-01,159,229,577,504,283,151,21,173,2097
2020-01-01,149,202,532,463,261,142,21,139,1907
2020-02-01,138,174,513,468,249,133,19,132,1825
2020-03-01,143,180,557,511,239,133,17,125,1905
2020-04-01,153,187,548,463,184,117,8,125,1785
2020-05-01,167,238,541,413,201,148,14,143,1865
2020-06-01,176,350,748,516,261,210,17,194,2473
2020-07-01,251,394,822,538,297,228,22,217,2768
2020-08-01,202,302,593,410,226,166,17,179,2095
2020-09-01,180,289,666,473,261,207,17,190,2284
2020-10-01,183,279,635,504,273,203,17,190,2284
2020-11-01,185,286,615,520,281,219,17,214,2339
2020-12-01,203,327,625,512,279,246,17,229,2437
2021-01-01,203,303,554,492,271,229,15,206,2274
2021-02-01,211,349,533,488,256,208,16,205,2266
2021-03-01,283,371,690,590,314,235,17,225,2725
2021-04-01,315,431,665,549,297,251,20,250,2778
2021-05-01,261,365,614,512,262,244,17,216,2491
2021-06-01,279,376,671,544,298,274,13,233,2688
2021-07-01,312,393,641,531,294,298,11,217,2707
2021-08-01,279,353,694,512,289,292,11,227,2657
2021-09-01,245,370,691,502,298,299,12,253,2670
2021-10-01,232,347,655,456,286,291,12,239,2518
2021-11-01,238,306,590,452,286,262,12,205,2352
2021-12-01,249,341,627,453,298,290,12,251,2520
2022-01-01,208,320,540,374,255,237,10,201,2144
2022-02-01,210,319,558,387,261,237,10,208,2190
2022-02-01,210,319,558,387,261,237,10,208,2190
2022-03-01,300,401,678,515,343,280,14,279,2810
2022-04-01,346,484,707,614,359,298,15,302,3125
