Date,Target,Food,Housing,Transport,Clothing
2017-07-01,107.71,106.29,109.54,101.13,107.75
2017-07-02,107.93,106.65,109.77,100.16,108.27
2017-07-03,108.38,107.32,109.98,101.3,108.41
2017-07-04,109.35,108.8,110.67,102.93,108.48
2017-07-05,110.03,110.25,110.66,104.44,108.7
2017-07-06,110.09,109.31,111.01,105.33,109.27
2017-07-07,110.29,106.99,112.44,108.22,109.82
2017-07-08,110.12,105.72,112.37,110.09,110.19
2017-07-09,110.43,105.25,112.1,112.97,110.81
2017-07-10,111.94,107.4,113.78,111.96,111.89
2017-07-11,112.54,108.12,113.99,113.08,112.4
2017-07-12,113.35,109.54,114.46,116.14,112.73
2018-07-01,114.95,110.31,117.91,120.62,113.07
2018-08-01,114.59,109.39,117.08,121.29,113.11
2018-09-01,114.5,108.27,117.19,120,113.67
2018-10-01,117.05,111.37,121.4,121.68,113.87
2018-11-01,116.94,111.05,119.68,124.87,114.83
2018-12-01,116.57,108.58,120.34,125.44,115.1
2019-01-01,117.07,108.92,121.83,122.55,116.62
2019-02-01,118.08,111.94,121.89,122.22,116.65
2019-03-01,120.29,115.15,124.13,124.65,118
2019-04-01,121.29,116.77,123.74,128.18,118.4
2019-05-01,122.11,118.58,122.23,133.61,120.26
2019-06-01,122.52,117.97,123.14,136.3,120.36
2019-07-01,124.95,118.77,127.2,141.72,121.6
2019-08-01,126.77,123.19,127.15,144.36,123.36
2019-09-01,127.72,125.97,126.98,142.32,123.86
2019-10-01,129.75,128.09,131.37,142.96,124.17
2019-11-01,131.05,131.67,131.21,143.6,125.23
2019-12-01,130.56,128.95,131.62,145.01,127.13
2020-01-01,132.76,132.91,133.62,146.34,127.81
2020-02-01,131.31,130.25,130.34,146.55,127.81
2020-03-01,131.48,130.93,130.4,139.85,129.69
2020-04-01,130.6,129.25,130.08,133.49,129.69
2020-05-01,130.99,131.55,130.22,124.89,131.67
2020-06-01,131.89,134.23,130.09,123.36,132.5
2020-07-01,134.73,138.88,131.76,134.88,132.97
2020-08-01,135.82,137.9,134.06,139.08,133.2
2020-09-01,137.53,142.73,134.02,140.06,133.75
2020-10-01,139.27,147.23,134.44,140.58,134.1
2020-11-01,140.16,149.77,134.09,137.2,136.62
2020-12-01,139.67,145.86,135.34,139.79,137.25
2021-01-01,139.45,141.87,137.52,142.26,137.97
2021-02-01,142.61,143.95,143.34,145.36,143.58
2021-03-01,142.99,146.51,141.07,144.34,144.65
2021-04-01,144.91,151.24,142.12,142.56,146.21
2021-05-01,145.19,155.36,140.52,142.67,146.36
2021-06-01,144.54,149.13,141.05,144.31,146.45
2021-07-01,146.41,151.66,143,150.24,146.78
2021-08-01,147.12,152.49,143.73,151.29,146.97
2021-09-01,150.08,158.53,145.99,153.57,147.12
2021-10-01,152.57,161.03,149.31,161.7,147.74
2021-11-01,156.96,167.96,152.28,172.43,149.65
2021-12-01,157.46,162.85,156.18,174.72,153.96
2022-01-01,157.56,161.12,157.06,175.48,155.09
2022-02-01,159.03,164.76,154.52,181.41,157.08
