Date,Min,Avg,Max
2021-07-29,140.0,140.0,140.0
2021-07-15,140.0,140.0,140.0
2021-07-08,130.0,130.0,130.0
2021-07-01,130.0,130.0,130.0
2021-06-24,130.0,130.0,130.0
2021-06-17,130.0,130.0,130.0
2021-06-10,120.0,123.24,130.0
2021-06-03,130.0,131.62,140.0
2021-05-27,130.0,130.0,130.0
2021-05-20,120.0,123.24,130.0
2021-05-06,120.0,123.24,130.0
2021-04-29,120.0,120.0,120.0
2021-04-22,110.0,114.89,120.0
2021-04-15,110.0,114.89,120.0
2021-04-08,120.0,120.0,120.0
2021-04-01,120.0,120.0,120.0
2021-03-25,120.0,120.0,120.0
2021-03-18,120.0,120.0,120.0
2021-03-11,120.0,120.0,120.0
2021-03-04,120.0,123.24,130.0
2021-02-25,120.0,120.0,120.0
2021-02-18,120.0,120.0,120.0
2021-02-11,120.0,120.0,120.0
2021-02-04,120.0,120.0,120.0
2021-01-28,120.0,120.0,120.0
2021-01-21,120.0,120.0,120.0
2021-01-14,120.0,120.0,120.0
2021-01-07,120.0,120.0,120.0
2020-12-31,110.0,113.24,120.0
2020-12-24,110.0,113.24,120.0
2020-12-17,110.0,113.24,120.0
2020-12-10,110.0,113.24,120.0
2020-12-03,110.0,113.24,120.0
2020-11-26,110.0,113.24,120.0
2020-11-19,110.0,110.0,110.0
2020-11-12,110.0,113.24,120.0
2020-11-05,110.0,113.24,120.0
2020-10-29,110.0,110.0,110.0
2020-10-22,110.0,110.0,110.0
2020-10-15,120.0,120.0,120.0
2020-10-08,120.0,123.24,130.0
2020-10-01,120.0,123.24,130.0
2020-09-24,120.0,123.24,130.0
2020-09-17,120.0,123.24,130.0
2020-09-10,120.0,123.24,130.0
2020-09-03,120.0,126.33,140.0
2020-08-27,120.0,126.33,140.0
2020-08-20,120.0,123.24,130.0
2020-08-13,120.0,123.24,130.0
2020-08-06,120.0,120.0,120.0
2020-07-29,120.0,120.0,120.0
2020-07-23,120.0,120.0,120.0
2020-07-16,120.0,120.0,120.0
2020-07-09,120.0,120.0,120.0
2020-07-02,120.0,120.0,120.0
2020-06-25,120.0,120.0,120.0
2020-06-18,110.0,113.24,120.0
2020-06-11,120.0,120.0,120.0
2020-06-04,120.0,120.0,120.0
2020-05-28,120.0,120.0,120.0
2020-05-21,120.0,120.0,120.0
2020-05-14,120.0,120.0,120.0
2020-05-07,120.0,120.0,120.0
2020-04-30,120.0,120.0,120.0
2020-04-23,120.0,120.0,120.0
2020-04-16,110.0,113.24,120.0
2020-04-09,120.0,120.0,120.0
2020-04-02,120.0,120.0,120.0
2020-03-26,110.0,113.24,120.0
2020-03-19,110.0,113.24,120.0
2020-03-12,110.0,110.0,110.0
2020-03-05,110.0,110.0,110.0
2020-02-27,100.0,100.0,100.0
2020-02-20,110.0,110.0,110.0
2020-02-13,110.0,110.0,110.0
2020-02-06,110.0,110.0,110.0
2020-01-30,100.0,103.23,110.0
2020-01-23,110.0,113.24,120.0
2020-01-16,120.0,120.0,120.0
2020-01-09,120.0,120.0,120.0
2020-01-02,110.0,110.0,110.0
2019-12-26,100.0,100.0,100.0
2019-12-19,100.0,100.0,100.0
2019-12-12,100.0,103.23,110.0
2019-12-05,100.0,103.23,110.0
2019-11-28,100.0,100.0,100.0
2019-11-21,100.0,100.0,100.0
2019-11-14,90.0,93.22,100.0
2019-11-07,100.0,100.0,100.0
2019-10-31,100.0,100.0,100.0
2019-10-24,100.0,100.0,100.0
2019-10-17,100.0,103.23,110.0
2019-10-10,100.0,103.23,110.0
2019-10-03,110.0,113.24,120.0
2019-09-26,110.0,113.24,120.0
2019-09-19,100.0,106.27,120.0
2019-09-12,100.0,106.27,120.0
2019-09-05,110.0,113.24,120.0
