Date,Min,Avg,Max
2021-07-29,200.0,209.37,240.0
2021-07-15,200.0,213.29,240.0
2021-07-08,200.0,217.91,240.0
2021-07-01,220.0,227.12,240.0
2021-06-24,220.0,238.43,250.0
2021-06-17,230.0,244.42,260.0
2021-06-10,240.0,247.14,260.0
2021-06-03,240.0,246.85,260.0
2021-05-27,240.0,246.54,260.0
2021-05-20,240.0,245.94,260.0
2021-05-06,240.0,247.74,260.0
2021-04-29,240.0,247.74,260.0
2021-04-22,240.0,248.29,280.0
2021-04-15,240.0,249.19,280.0
2021-04-08,240.0,248.58,280.0
2021-04-01,240.0,251.61,280.0
2021-03-25,240.0,251.94,260.0
2021-03-18,230.0,251.31,260.0
2021-03-11,230.0,250.71,260.0
2021-03-04,230.0,249.19,260.0
2021-02-25,230.0,247.98,260.0
2021-02-18,220.0,244.93,260.0
2021-02-11,220.0,244.93,260.0
2021-02-04,220.0,243.69,260.0
2021-01-28,220.0,243.69,260.0
2021-01-21,220.0,244.98,260.0
2021-01-14,230.0,244.99,260.0
2021-01-07,230.0,243.19,260.0
2020-12-31,220.0,244.52,260.0
2020-12-24,230.0,247.06,260.0
2020-12-17,230.0,247.66,260.0
2020-12-10,230.0,247.37,260.0
2020-12-03,230.0,248.83,280.0
2020-11-26,230.0,251.82,280.0
2020-11-19,230.0,251.92,280.0
2020-11-12,230.0,251.92,280.0
2020-11-05,230.0,253.71,280.0
2020-10-29,240.0,255.28,280.0
2020-10-22,240.0,255.28,280.0
2020-10-15,240.0,258.77,280.0
2020-10-08,240.0,259.07,280.0
2020-10-01,240.0,257.86,280.0
2020-09-24,240.0,257.86,280.0
2020-09-17,240.0,250.38,280.0
2020-09-10,210.0,236.18,260.0
2020-09-03,210.0,231.84,240.0
2020-08-27,210.0,240.83,260.0
2020-08-20,210.0,241.46,260.0
2020-08-13,220.0,241.21,260.0
2020-08-06,220.0,244.15,260.0
2020-07-29,230.0,248.8,280.0
2020-07-23,220.0,247.02,260.0
2020-07-16,240.0,251.63,260.0
2020-07-09,240.0,267.23,300.0
2020-07-02,240.0,268.2,300.0
2020-06-25,260.0,270.67,300.0
2020-06-18,260.0,271.28,300.0
2020-06-11,260.0,276.22,300.0
2020-06-04,270.0,283.8,300.0
2020-05-28,270.0,283.8,300.0
2020-05-21,270.0,284.4,300.0
2020-05-14,260.0,283.41,300.0
2020-05-07,260.0,283.97,320.0
2020-04-30,260.0,283.38,320.0
2020-04-23,240.0,282.63,320.0
2020-04-16,240.0,283.86,320.0
2020-04-09,240.0,276.87,300.0
2020-04-02,220.0,255.15,280.0
2020-03-26,200.0,235.73,260.0
2020-03-19,200.0,226.77,260.0
2020-03-12,200.0,227.75,250.0
2020-03-05,200.0,234.4,260.0
2020-02-27,200.0,238.01,260.0
2020-02-20,200.0,239.57,260.0
2020-02-13,200.0,244.51,280.0
2020-02-06,220.0,248.05,280.0
2020-01-30,220.0,248.61,280.0
2020-01-23,220.0,249.8,280.0
2020-01-16,220.0,241.29,260.0
2020-01-09,210.0,238.81,260.0
2020-01-02,210.0,228.49,260.0
2019-12-26,200.0,212.21,220.0
2019-12-19,200.0,209.16,220.0
2019-12-12,200.0,204.98,220.0
2019-12-05,180.0,202.72,220.0
2019-11-28,180.0,202.14,220.0
2019-11-21,180.0,201.83,220.0
2019-11-14,180.0,201.24,220.0
2019-11-07,170.0,199.72,220.0
2019-10-31,170.0,195.78,220.0
2019-10-24,170.0,190.66,200.0
2019-10-17,160.0,179.49,200.0
2019-10-10,160.0,175.51,200.0
2019-10-03,160.0,175.51,200.0
2019-09-26,160.0,175.51,200.0
2019-09-19,160.0,175.51,200.0
2019-09-12,160.0,175.51,200.0
2019-09-05,160.0,174.89,200.0
