Date,Min,Avg,Max
2021-07-29,60.0,93.11,150.0
2021-07-15,60.0,94.36,150.0
2021-07-08,60.0,101.63,150.0
2021-07-01,60.0,105.56,150.0
2021-06-24,60.0,108.18,160.0
2021-06-17,60.0,111.0,180.0
2021-06-10,80.0,120.32,200.0
2021-06-03,80.0,132.24,220.0
2021-05-27,90.0,146.61,260.0
2021-05-20,80.0,156.55,320.0
2021-05-06,80.0,140.71,270.0
2021-04-29,80.0,130.03,260.0
2021-04-22,80.0,119.66,260.0
2021-04-15,80.0,120.9,240.0
2021-04-08,60.0,104.68,220.0
2021-04-01,60.0,99.7,200.0
2021-03-25,60.0,97.56,200.0
2021-03-18,60.0,96.07,180.0
2021-03-11,60.0,93.69,200.0
2021-03-04,60.0,90.23,200.0
2021-02-25,50.0,86.58,200.0
2021-02-18,50.0,83.05,180.0
2021-02-11,50.0,82.59,200.0
2021-02-04,50.0,78.66,180.0
2021-01-28,50.0,77.01,180.0
2021-01-21,50.0,77.26,180.0
2021-01-14,50.0,74.98,180.0
2021-01-07,50.0,71.47,150.0
2020-12-31,50.0,70.98,170.0
2020-12-24,50.0,71.59,170.0
2020-12-17,50.0,70.25,160.0
2020-12-10,50.0,68.48,160.0
2020-12-03,50.0,68.17,160.0
2020-11-26,40.0,66.57,160.0
2020-11-19,50.0,65.42,160.0
2020-11-12,50.0,64.76,160.0
2020-11-05,40.0,63.03,160.0
2020-10-29,40.0,63.31,140.0
2020-10-22,40.0,61.59,140.0
2020-10-15,40.0,61.86,150.0
2020-10-08,40.0,63.44,150.0
2020-10-01,40.0,64.85,150.0
2020-09-24,40.0,66.13,150.0
2020-09-17,50.0,69.21,150.0
2020-09-10,50.0,72.65,160.0
2020-09-03,50.0,73.98,160.0
2020-08-27,50.0,76.79,160.0
2020-08-20,50.0,77.9,150.0
2020-08-13,50.0,78.51,150.0
2020-08-06,60.0,81.96,150.0
2020-07-29,50.0,86.48,150.0
2020-07-23,50.0,87.74,150.0
2020-07-16,60.0,91.04,160.0
2020-07-09,60.0,93.14,160.0
2020-07-02,60.0,98.27,180.0
2020-06-25,50.0,99.94,180.0
2020-06-18,60.0,102.36,180.0
2020-06-11,60.0,108.56,200.0
2020-06-04,60.0,115.25,200.0
2020-05-28,70.0,117.29,200.0
2020-05-21,70.0,119.25,240.0
2020-05-14,450.0,464.48,500.0
2020-05-07,70.0,111.63,200.0
2020-04-30,70.0,103.94,200.0
2020-04-23,60.0,93.69,180.0
2020-04-16,50.0,89.47,160.0
2020-04-09,50.0,89.25,160.0
2020-04-02,60.0,88.26,170.0
2020-03-26,60.0,85.93,200.0
2020-03-19,50.0,84.07,180.0
2020-03-12,60.0,87.2,200.0
2020-03-05,60.0,87.33,200.0
2020-02-27,60.0,86.09,200.0
2020-02-20,50.0,81.99,180.0
2020-02-13,50.0,78.95,180.0
2020-02-06,50.0,75.08,160.0
2020-01-30,50.0,74.23,150.0
2020-01-23,50.0,76.32,150.0
2020-01-16,50.0,76.33,150.0
2020-01-09,50.0,72.98,150.0
2020-01-02,40.0,68.54,150.0
2019-12-26,50.0,68.12,150.0
2019-12-19,40.0,65.52,150.0
2019-12-12,40.0,63.31,150.0
2019-12-05,40.0,59.93,150.0
2019-11-28,40.0,59.15,140.0
2019-11-21,40.0,58.0,140.0
2019-11-14,40.0,57.55,140.0
2019-11-07,40.0,57.64,140.0
2019-10-31,40.0,58.09,140.0
2019-10-24,40.0,57.98,140.0
2019-10-17,40.0,57.31,140.0
2019-10-10,30.0,57.83,140.0
2019-10-03,40.0,59.59,140.0
2019-09-26,40.0,61.79,140.0
2019-09-19,40.0,65.93,140.0
2019-09-12,40.0,66.48,150.0
2019-09-05,40.0,67.45,150.0
2021-08-06,60.0,85.54,150.0
2021-08-12,60.0,82.27,150.0
2021-08-26,60.0,86.4,150.0
2021-09-02,60.0,81.78,140.0
2021-09-09,60.0,79.25,140.0
