Date,Min,Avg,Max
2021-07-29,80.0,84.68,100.0
2021-07-15,80.0,84.68,100.0
2021-07-08,80.0,87.56,110.0
2021-07-01,100.0,103.23,110.0
2021-06-24,120.0,123.24,130.0
2021-06-17,130.0,133.25,140.0
2021-06-10,140.0,140.0,140.0
2021-06-03,140.0,143.26,150.0
2021-05-27,140.0,143.26,150.0
2021-05-20,150.0,150.0,150.0
2021-05-06,110.0,114.89,120.0
2021-04-29,110.0,114.89,120.0
2021-04-22,100.0,103.23,110.0
2021-04-15,100.0,103.23,110.0
2021-04-08,90.0,99.67,110.0
2021-04-01,80.0,89.63,100.0
2021-03-25,80.0,83.2,90.0
2021-03-18,80.0,83.2,90.0
2021-03-11,80.0,83.2,90.0
2021-03-04,80.0,80.0,80.0
2021-02-25,80.0,80.0,80.0
2021-02-18,80.0,80.0,80.0
2021-02-11,70.0,73.19,80.0
2021-02-04,70.0,73.19,80.0
2021-01-28,70.0,73.19,80.0
2021-01-21,60.0,63.16,70.0
2021-01-14,60.0,63.16,70.0
2021-01-07,60.0,63.16,70.0
2020-12-31,60.0,63.16,70.0
2020-12-24,60.0,63.16,70.0
2020-12-17,60.0,63.16,70.0
2020-12-10,60.0,63.16,70.0
2020-12-03,50.0,53.13,60.0
2020-11-26,40.0,44.72,50.0
2020-11-19,50.0,50.0,50.0
2020-11-12,50.0,50.0,50.0
2020-11-05,40.0,43.09,50.0
2020-10-29,40.0,43.09,50.0
2020-10-22,40.0,43.09,50.0
2020-10-15,40.0,43.09,50.0
2020-10-08,40.0,43.09,50.0
2020-10-01,40.0,43.09,50.0
2020-09-24,40.0,43.09,50.0
2020-09-17,50.0,53.13,60.0
2020-09-10,50.0,53.13,60.0
2020-09-03,50.0,53.13,60.0
2020-08-27,50.0,53.13,60.0
2020-08-20,50.0,53.13,60.0
2020-08-13,60.0,63.16,70.0
2020-08-06,60.0,63.16,70.0
2020-07-29,60.0,63.16,70.0
2020-07-23,70.0,73.19,80.0
2020-07-16,100.0,106.27,120.0
2020-07-09,100.0,106.27,120.0
2020-07-02,100.0,106.27,120.0
2020-06-25,100.0,106.27,120.0
2020-06-18,100.0,106.27,120.0
2020-06-11,100.0,106.27,120.0
2020-06-04,130.0,133.25,140.0
2020-05-28,120.0,123.24,130.0
2020-05-21,100.0,106.27,120.0
2020-05-14,100.0,106.27,120.0
2020-05-07,100.0,106.27,120.0
2020-04-30,100.0,106.27,120.0
2020-04-23,70.0,73.19,80.0
2020-04-16,70.0,73.19,80.0
2020-04-09,60.0,63.16,70.0
2020-04-02,60.0,63.16,70.0
2020-03-26,60.0,63.16,70.0
2020-03-19,60.0,63.16,70.0
2020-03-12,60.0,63.16,70.0
2020-03-05,60.0,63.16,70.0
2020-02-27,60.0,63.16,70.0
2020-02-20,50.0,53.13,60.0
2020-02-13,50.0,53.13,60.0
2020-02-06,50.0,53.13,60.0
2020-01-30,50.0,53.13,60.0
2020-01-23,60.0,63.16,70.0
2020-01-16,60.0,63.16,70.0
2020-01-09,60.0,63.16,70.0
2020-01-02,60.0,63.16,70.0
2019-12-26,60.0,60.0,60.0
2019-12-19,50.0,53.13,60.0
2019-12-12,40.0,44.72,50.0
2019-12-05,40.0,44.72,50.0
2019-11-28,40.0,44.72,50.0
2019-11-21,40.0,44.72,50.0
2019-11-14,40.0,44.72,50.0
2019-11-07,40.0,44.72,50.0
2019-10-31,40.0,44.72,50.0
2019-10-24,40.0,44.72,50.0
2019-10-17,40.0,44.72,50.0
2019-10-10,40.0,44.72,50.0
2019-10-03,40.0,44.72,50.0
2019-09-26,40.0,44.72,50.0
2019-09-19,40.0,44.72,50.0
2019-09-12,50.0,53.13,60.0
2019-09-05,50.0,53.13,60.0
2021-08-06,70.0,73.19,80.0
2021-08-12,70.0,73.19,80.0
2021-08-26,70.0,73.19,80.0
2021-09-02,70.0,73.19,80.0
2021-09-09,70.0,73.19,80.0
