Date,Min,Avg,Max
2019-09-05,60.0,66.49,70.0
2019-09-12,60.0,66.49,70.0
2019-09-19,50.0,59.44,70.0
2019-09-26,50.0,59.44,70.0
2019-10-03,50.0,56.46,60.0
2019-10-10,50.0,56.46,60.0
2019-10-17,50.0,53.13,60.0
2019-10-24,50.0,53.13,60.0
2019-10-31,50.0,53.13,60.0
2019-11-07,50.0,53.13,60.0
2019-11-14,50.0,53.13,60.0
2019-11-21,50.0,53.13,60.0
2019-11-28,50.0,53.13,60.0
2019-12-05,60.0,61.62,65.0
2019-12-12,60.0,66.49,70.0
2019-12-19,60.0,60.0,60.0
2019-12-26,60.0,63.16,70.0
2020-01-02,60.0,66.49,70.0
2020-01-09,80.0,80.0,80.0
2020-01-16,70.0,73.19,80.0
2020-01-23,60.0,69.52,80.0
2020-01-30,60.0,63.16,70.0
2020-02-06,60.0,63.16,70.0
2020-02-13,80.0,86.18,100.0
2020-02-20,100.0,100.0,100.0
2020-02-27,80.0,92.83,100.0
2020-03-05,80.0,92.83,100.0
2020-03-12,80.0,92.83,100.0
2020-03-19,80.0,92.83,100.0
2020-03-26,100.0,106.27,120.0
2020-04-02,100.0,106.27,120.0
2020-04-09,100.0,100.0,100.0
2020-04-16,100.0,100.0,100.0
2020-04-23,100.0,106.27,120.0
2020-04-30,100.0,106.27,120.0
2020-05-07,120.0,139.25,150.0
2020-05-14,140.0,146.59,150.0
2020-05-21,130.0,139.76,150.0
2020-05-28,130.0,143.01,150.0
2020-06-04,130.0,136.35,150.0
2020-06-11,100.0,112.92,120.0
2020-06-18,100.0,112.92,120.0
2020-06-25,100.0,112.92,120.0
2020-07-02,100.0,112.92,120.0
2020-07-09,100.0,100.0,100.0
2020-07-16,80.0,80.0,80.0
2020-07-23,80.0,92.83,100.0
2020-07-29,80.0,92.83,100.0
2020-08-06,80.0,80.0,80.0
2020-08-13,80.0,80.0,80.0
2020-08-20,70.0,76.52,80.0
2020-08-27,60.0,66.49,70.0
2020-09-03,70.0,73.19,80.0
2020-09-10,60.0,63.16,70.0
2020-09-17,60.0,63.16,70.0
2020-09-24,70.0,73.19,80.0
2020-10-01,60.0,66.49,70.0
2020-10-08,60.0,66.49,70.0
2020-10-15,60.0,60.0,60.0
2020-10-22,60.0,63.16,70.0
2020-10-29,60.0,63.16,70.0
2020-11-05,70.0,73.19,80.0
2020-11-12,70.0,70.0,70.0
2020-11-19,70.0,73.19,80.0
2020-11-26,70.0,73.19,80.0
2020-12-03,80.0,80.0,80.0
2020-12-10,80.0,80.0,80.0
2020-12-17,80.0,86.18,100.0
2020-12-24,80.0,86.18,100.0
2020-12-31,80.0,86.18,100.0
2021-01-07,80.0,80.0,80.0
2021-01-14,80.0,92.83,100.0
2021-01-21,100.0,100.0,100.0
2021-01-28,100.0,106.27,120.0
2021-02-04,100.0,106.27,120.0
2021-02-11,100.0,106.27,120.0
2021-02-18,100.0,106.27,120.0
2021-02-25,100.0,106.27,120.0
2021-03-04,120.0,120.0,120.0
2021-03-11,120.0,120.0,120.0
2021-03-18,120.0,120.0,120.0
2021-03-25,120.0,123.24,130.0
2021-04-01,120.0,123.24,130.0
2021-04-08,120.0,126.58,130.0
2021-04-15,150.0,150.0,150.0
2021-04-22,150.0,150.0,150.0
2021-04-29,150.0,150.0,150.0
2021-05-06,180.0,180.0,180.0
2021-05-20,180.0,180.0,180.0
2021-05-27,180.0,180.0,180.0
2021-06-03,130.0,136.58,140.0
2021-06-10,130.0,136.58,140.0
2021-06-17,120.0,126.58,130.0
2021-06-24,120.0,120.0,120.0
2021-07-01,120.0,123.24,130.0
2021-07-08,120.0,120.0,120.0
2021-07-15,100.0,103.23,110.0
2021-07-29,80.0,89.63,100.0
2021-08-05,80.0,83.2,90.0
2021-08-12,80.0,83.2,90.0
2021-08-26,90.0,93.22,100.0
2021-09-02,90.0,93.22,100.0
2021-09-09,90.0,93.22,100.0
2021-09-16,80.0,86.18,100.0
2021-09-23,60.0,66.49,70.0
2021-09-30,60.0,66.49,70.0
2021-10-07,60.0,66.49,70.0
2021-10-14,60.0,66.49,70.0
2021-10-21,60.0,66.49,70.0
2021-10-28,60.0,66.49,70.0
2021-12-02,60.0,66.49,70.0
