Date,Min,Avg,Max
2019-09-05,60.0,64.1,70.0
2019-09-12,60.0,64.1,70.0
2019-09-19,60.0,64.1,70.0
2019-09-26,60.0,64.1,70.0
2019-10-03,60.0,64.1,70.0
2019-10-10,60.0,60.89,70.0
2019-10-17,60.0,60.89,70.0
2019-10-24,60.0,60.89,70.0
2019-10-31,60.0,60.89,70.0
2019-11-07,60.0,60.89,70.0
2019-11-14,60.0,61.34,70.0
2019-11-21,60.0,61.34,70.0
2019-11-28,60.0,61.34,70.0
2019-12-05,60.0,61.34,70.0
2019-12-12,70.0,75.07,80.0
2019-12-19,70.0,75.07,80.0
2019-12-26,70.0,75.07,80.0
2020-01-02,70.0,75.07,80.0
2020-01-09,70.0,75.07,80.0
2020-01-16,90.0,95.11,100.0
2020-01-23,90.0,95.11,100.0
2020-01-30,90.0,95.11,100.0
2020-02-06,90.0,95.11,100.0
2020-02-13,90.0,95.11,100.0
2020-02-20,100.0,105.99,120.0
2020-02-27,100.0,105.99,120.0
2020-03-05,100.0,105.99,120.0
2020-03-12,100.0,105.99,120.0
2020-03-19,100.0,105.99,120.0
2020-03-26,100.0,105.99,120.0
2020-04-02,100.0,105.99,120.0
2020-04-09,100.0,105.99,120.0
2020-04-16,100.0,105.99,120.0
2020-04-23,100.0,105.99,120.0
2020-04-30,110.0,116.01,130.0
2020-05-07,110.0,116.01,130.0
2020-05-14,110.0,116.01,130.0
2020-05-21,110.0,116.01,130.0
2020-05-28,110.0,116.01,130.0
2020-06-04,110.0,116.01,130.0
2020-06-11,110.0,116.01,130.0
2020-06-18,110.0,116.01,130.0
2020-06-25,110.0,116.01,130.0
2020-07-02,110.0,116.01,130.0
2020-07-09,110.0,116.01,130.0
2020-07-16,80.0,88.84,100.0
2020-07-23,80.0,88.84,100.0
2020-07-29,80.0,88.84,100.0
2020-08-06,80.0,88.84,100.0
2020-08-13,80.0,88.84,100.0
2020-08-20,70.0,82.61,90.0
2020-08-27,70.0,82.61,90.0
2020-09-03,70.0,82.61,90.0
2020-09-10,70.0,82.61,90.0
2020-09-17,70.0,77.01,80.0
2020-09-24,70.0,77.01,80.0
2020-10-01,70.0,77.01,80.0
2020-10-08,70.0,77.01,80.0
2020-10-15,60.0,66.01,70.0
2020-10-22,60.0,66.01,70.0
2020-10-29,60.0,66.01,70.0
2020-11-05,60.0,66.01,70.0
2020-11-12,60.0,66.49,70.0
2020-11-19,70.0,74.6,80.0
2020-11-26,70.0,74.6,80.0
2020-12-03,70.0,74.6,80.0
2020-12-10,70.0,74.6,80.0
2020-12-17,70.0,74.6,80.0
2020-12-24,70.0,74.6,80.0
2020-12-31,70.0,74.6,80.0
2021-01-07,70.0,74.6,80.0
2021-01-14,70.0,74.6,80.0
2021-01-21,70.0,74.6,80.0
2021-01-28,80.0,81.82,90.0
2021-02-04,80.0,81.82,90.0
2021-02-11,80.0,85.09,90.0
2021-02-18,80.0,85.57,90.0
2021-02-25,90.0,97.87,110.0
2021-03-04,90.0,104.34,130.0
2021-03-11,100.0,110.07,130.0
2021-03-18,100.0,107.24,130.0
2021-03-25,100.0,107.24,130.0
2021-04-01,100.0,107.24,130.0
2021-04-08,100.0,107.24,130.0
2021-04-15,130.0,139.34,150.0
2021-04-22,130.0,139.34,150.0
2021-04-29,140.0,147.92,160.0
2021-05-06,150.0,162.27,170.0
2021-05-20,140.0,148.4,160.0
2021-05-27,140.0,148.4,160.0
2021-06-03,140.0,148.4,160.0
2021-06-10,120.0,126.1,130.0
2021-06-17,100.0,107.98,120.0
2021-06-24,100.0,107.49,120.0
2021-07-01,100.0,107.49,120.0
2021-07-08,100.0,107.49,120.0
2021-07-15,100.0,107.49,120.0
2021-07-29,90.0,105.07,110.0
2021-08-05,70.0,81.69,90.0
2021-08-12,70.0,81.69,90.0
2021-08-26,70.0,81.69,90.0
2021-09-02,70.0,81.69,90.0
2021-09-09,70.0,81.69,90.0
2021-09-16,70.0,78.31,90.0
