Date,Min,Avg,Max
2021-07-29,80.0,110.16,120.0
2021-07-15,100.0,115.24,120.0
2021-07-08,100.0,117.23,140.0
2021-07-01,100.0,124.51,140.0
2021-06-24,120.0,140.57,150.0
2021-06-17,120.0,150.98,180.0
2021-06-10,160.0,177.17,200.0
2021-06-03,180.0,197.67,200.0
2021-05-27,200.0,232.08,250.0
2021-05-20,240.0,248.87,250.0
2021-05-06,200.0,200.0,200.0
2021-04-29,180.0,184.26,200.0
2021-04-22,150.0,157.72,160.0
2021-04-15,150.0,152.17,160.0
2021-04-08,150.0,151.08,160.0
2021-04-01,140.0,140.0,140.0
2021-03-25,140.0,140.0,140.0
2021-03-18,140.0,140.0,140.0
2021-03-11,140.0,141.08,150.0
2021-03-04,120.0,120.0,120.0
2021-02-25,100.0,115.24,120.0
2021-02-18,100.0,106.27,120.0
2021-02-11,100.0,100.0,100.0
2021-02-04,100.0,100.0,100.0
2021-01-28,90.0,98.84,100.0
2021-01-21,80.0,85.29,100.0
2021-01-14,80.0,85.29,100.0
2021-01-07,80.0,80.0,80.0
2020-12-31,80.0,80.0,80.0
2020-12-24,70.0,77.66,80.0
2020-12-17,70.0,77.66,80.0
2020-12-10,70.0,76.52,80.0
2020-12-03,70.0,76.52,80.0
2020-11-26,60.0,70.72,80.0
2020-11-19,60.0,69.68,80.0
2020-11-12,60.0,69.68,80.0
2020-11-05,60.0,69.68,80.0
2020-10-29,60.0,69.68,80.0
2020-10-22,60.0,71.78,80.0
2020-10-15,60.0,71.78,80.0
2020-10-08,60.0,73.94,80.0
2020-10-01,60.0,73.94,80.0
2020-09-24,60.0,73.94,80.0
2020-09-17,70.0,78.82,80.0
2020-09-10,70.0,80.8,100.0
2020-09-03,70.0,80.8,100.0
2020-08-27,70.0,91.46,100.0
2020-08-20,80.0,92.83,100.0
2020-08-13,80.0,91.75,100.0
2020-08-06,80.0,91.46,120.0
2020-07-29,90.0,98.52,120.0
2020-07-23,100.0,104.13,120.0
2020-07-16,100.0,110.66,120.0
2020-07-09,110.0,118.85,120.0
2020-07-02,110.0,134.77,150.0
2020-06-25,110.0,140.91,160.0
2020-06-18,110.0,140.91,160.0
2020-06-11,140.0,155.4,160.0
2020-06-04,140.0,155.4,160.0
2020-05-28,140.0,159.52,180.0
2020-05-21,140.0,159.52,180.0
2020-05-14,140.0,159.52,180.0
2020-05-07,140.0,152.09,160.0
2020-04-30,120.0,138.43,150.0
2020-04-23,110.0,117.7,120.0
2020-04-16,100.0,114.13,120.0
2020-04-09,100.0,114.13,120.0
2020-04-02,100.0,114.13,120.0
2020-03-26,100.0,114.13,120.0
2020-03-19,90.0,110.31,120.0
2020-03-12,90.0,110.31,120.0
2020-03-05,90.0,110.31,120.0
2020-02-27,90.0,110.31,120.0
2020-02-20,80.0,107.61,120.0
2020-02-13,80.0,94.05,100.0
2020-02-06,60.0,79.15,100.0
2020-01-30,60.0,76.21,90.0
2020-01-23,60.0,76.21,90.0
2020-01-16,60.0,75.22,80.0
2020-01-09,60.0,75.22,80.0
2020-01-02,60.0,73.02,80.0
2019-12-26,60.0,73.02,80.0
2019-12-19,60.0,71.94,80.0
2019-12-12,60.0,68.34,80.0
2019-12-05,60.0,68.34,80.0
2019-11-28,50.0,62.82,80.0
2019-11-21,50.0,59.81,70.0
2019-11-14,50.0,59.81,70.0
2019-11-07,50.0,59.81,70.0
2019-10-31,50.0,59.81,70.0
2019-10-24,50.0,59.81,70.0
2019-10-17,50.0,59.81,70.0
2019-10-10,60.0,62.09,70.0
2019-10-03,60.0,63.16,70.0
2019-09-26,60.0,64.25,70.0
2019-09-19,70.0,76.52,80.0
2019-09-12,80.0,80.0,80.0
2019-09-05,80.0,82.01,100.0
2021-08-06,80.0,97.55,100.0
