Date,Min,Avg,Max
2019-09-05,60.0,75.8,100.0
2019-09-12,60.0,69.68,80.0
2019-09-19,60.0,72.85,80.0
2019-09-26,60.0,67.49,80.0
2019-10-03,60.0,67.49,80.0
2019-10-10,60.0,65.36,70.0
2019-10-17,60.0,65.36,70.0
2019-10-24,60.0,66.19,80.0
2019-10-31,50.0,62.63,80.0
2019-11-07,50.0,60.47,70.0
2019-11-14,50.0,59.44,70.0
2019-11-21,50.0,59.44,70.0
2019-11-28,50.0,60.66,70.0
2019-12-05,50.0,59.63,70.0
2019-12-12,50.0,59.63,70.0
2019-12-19,60.0,68.34,80.0
2019-12-26,60.0,70.72,80.0
2020-01-02,60.0,73.02,80.0
2020-01-09,60.0,73.02,80.0
2020-01-16,60.0,73.02,80.0
2020-01-23,60.0,69.52,80.0
2020-01-30,60.0,69.52,80.0
2020-02-06,60.0,65.22,80.0
2020-02-13,70.0,80.66,100.0
2020-02-20,70.0,81.72,100.0
2020-02-27,70.0,87.28,100.0
2020-03-05,70.0,90.4,100.0
2020-03-12,70.0,88.19,100.0
2020-03-19,70.0,85.03,100.0
2020-03-26,70.0,85.03,100.0
2020-04-02,70.0,87.16,100.0
2020-04-09,70.0,92.44,110.0
2020-04-16,80.0,93.82,110.0
2020-04-23,80.0,99.1,120.0
2020-04-30,80.0,107.46,120.0
2020-05-07,80.0,107.46,120.0
2020-05-14,100.0,123.79,140.0
2020-05-21,120.0,138.68,150.0
2020-05-28,120.0,146.18,160.0
2020-06-04,120.0,136.08,150.0
2020-06-11,120.0,124.18,140.0
2020-06-18,80.0,112.06,140.0
2020-06-25,80.0,110.16,120.0
2020-07-02,80.0,110.16,120.0
2020-07-09,80.0,105.78,120.0
2020-07-16,80.0,100.4,120.0
2020-07-23,80.0,96.42,100.0
2020-07-29,60.0,86.07,100.0
2020-08-06,80.0,91.75,100.0
2020-08-13,80.0,91.75,100.0
2020-08-20,80.0,85.17,100.0
2020-08-27,70.0,88.03,100.0
2020-09-03,70.0,81.47,100.0
2020-09-10,80.0,89.63,100.0
2020-09-17,60.0,77.81,100.0
2020-09-24,60.0,76.9,90.0
2020-10-01,60.0,73.64,90.0
2020-10-08,60.0,73.64,90.0
2020-10-15,50.0,73.12,90.0
2020-10-22,60.0,77.21,90.0
2020-10-29,60.0,75.09,90.0
2020-11-05,60.0,75.09,90.0
2020-11-12,60.0,75.09,90.0
2020-11-19,60.0,75.09,90.0
2020-11-26,60.0,75.09,90.0
2020-12-03,70.0,77.53,90.0
2020-12-10,70.0,82.8,100.0
2020-12-17,70.0,79.72,90.0
2020-12-24,70.0,77.53,90.0
2020-12-31,70.0,79.72,90.0
2021-01-07,80.0,84.3,90.0
2021-01-14,80.0,84.3,90.0
2021-01-21,80.0,87.55,100.0
2021-01-28,80.0,84.3,90.0
2021-02-04,80.0,82.12,90.0
2021-02-11,80.0,82.12,90.0
2021-02-18,80.0,82.12,90.0
2021-02-25,80.0,84.3,90.0
2021-03-04,80.0,85.29,100.0
2021-03-11,80.0,83.2,90.0
2021-03-18,80.0,88.58,100.0
2021-03-25,70.0,87.28,100.0
2021-04-01,70.0,95.33,120.0
2021-04-08,80.0,101.36,120.0
2021-04-15,100.0,119.25,140.0
2021-04-22,100.0,120.17,150.0
2021-04-29,120.0,141.51,160.0
2021-05-06,150.0,156.4,180.0
2021-05-20,150.0,160.81,180.0
2021-05-27,140.0,152.02,160.0
2021-06-03,140.0,150.93,160.0
2021-06-10,100.0,121.6,140.0
2021-06-17,100.0,119.7,130.0
2021-06-24,100.0,117.5,130.0
2021-07-01,80.0,102.67,120.0
2021-07-08,80.0,94.73,120.0
2021-07-15,70.0,87.93,110.0
2021-07-29,60.0,75.8,100.0
2021-08-05,60.0,75.8,100.0
2021-08-12,60.0,75.8,100.0
2021-08-26,70.0,95.76,120.0
2021-09-02,70.0,86.49,120.0
2021-09-09,70.0,87.51,120.0
2021-09-16,70.0,87.51,120.0
2021-09-23,70.0,81.61,100.0
2021-09-30,70.0,81.61,100.0
2021-10-07,70.0,81.61,100.0
2021-10-14,70.0,81.61,100.0
2021-10-21,70.0,81.61,100.0
2021-10-28,70.0,81.61,100.0
