Date,Min,Avg,Max
2019-09-05,440.0,443.31,450.0
2019-09-12,440.0,443.31,450.0
2019-09-19,440.0,443.31,450.0
2019-09-26,440.0,443.31,450.0
2019-10-03,440.0,443.31,450.0
2019-10-10,440.0,443.31,450.0
2019-10-17,440.0,443.31,450.0
2019-10-24,440.0,443.31,450.0
2019-10-31,440.0,443.31,450.0
2019-11-07,440.0,443.31,450.0
2019-11-14,440.0,443.31,450.0
2019-11-21,450.0,453.31,460.0
2019-11-28,450.0,453.31,460.0
2019-12-05,450.0,453.31,460.0
2019-12-12,450.0,453.31,460.0
2019-12-19,450.0,453.31,460.0
2019-12-26,450.0,453.31,460.0
2020-01-02,450.0,453.31,460.0
2020-01-09,450.0,453.31,460.0
2020-01-16,450.0,453.31,460.0
2020-01-23,450.0,453.31,460.0
2020-01-30,450.0,453.31,460.0
2020-02-06,450.0,453.31,460.0
2020-02-13,450.0,453.31,460.0
2020-02-20,450.0,453.31,460.0
2020-02-27,450.0,453.31,460.0
2020-03-05,450.0,453.31,460.0
2020-03-12,450.0,453.31,460.0
2020-03-19,450.0,453.31,460.0
2020-03-26,450.0,453.31,460.0
2020-04-02,450.0,453.31,460.0
2020-04-09,460.0,466.57,480.0
2020-04-16,460.0,466.57,480.0
2020-04-23,460.0,466.57,480.0
2020-04-30,460.0,478.3,480.0
2020-05-07,480.0,480.0,480.0
2020-05-14,480.0,480.0,480.0
2020-05-21,480.0,480.0,480.0
2020-05-28,480.0,480.0,480.0
2020-06-04,480.0,480.0,480.0
2020-06-11,480.0,480.0,480.0
2020-06-18,480.0,480.0,480.0
2020-06-25,480.0,480.0,480.0
2020-07-02,480.0,480.0,480.0
2020-07-09,480.0,486.58,500.0
2020-07-16,480.0,486.58,500.0
2020-07-23,480.0,486.58,500.0
2020-07-29,480.0,486.58,500.0
2020-08-06,480.0,486.58,500.0
2020-08-13,480.0,486.58,500.0
2020-08-20,480.0,486.58,500.0
2020-08-27,480.0,486.58,500.0
2020-09-03,480.0,486.58,500.0
2020-09-10,480.0,486.58,500.0
2020-09-17,480.0,486.58,500.0
2020-09-24,480.0,486.58,500.0
2020-10-01,480.0,486.58,500.0
2020-10-08,480.0,486.58,500.0
2020-10-15,480.0,486.58,500.0
2020-10-22,480.0,486.58,500.0
2020-10-29,480.0,486.58,500.0
2020-11-05,480.0,486.58,500.0
2020-11-12,480.0,486.58,500.0
2020-11-19,480.0,486.58,500.0
2020-11-26,480.0,486.58,500.0
2020-12-03,480.0,486.58,500.0
2020-12-10,480.0,486.58,500.0
2020-12-17,480.0,486.58,500.0
2020-12-24,480.0,486.58,500.0
2020-12-31,480.0,486.58,500.0
2021-01-07,480.0,486.58,500.0
2021-01-14,480.0,486.58,500.0
2021-01-21,480.0,486.58,500.0
2021-01-28,480.0,486.58,500.0
2021-02-04,480.0,486.58,500.0
2021-02-11,480.0,486.58,500.0
2021-02-18,480.0,486.58,500.0
2021-02-25,480.0,486.58,500.0
2021-03-04,480.0,486.58,500.0
2021-03-11,480.0,486.58,500.0
2021-03-18,500.0,516.14,550.0
2021-03-25,500.0,516.14,550.0
2021-04-01,500.0,516.14,550.0
2021-04-08,500.0,516.14,550.0
2021-04-15,500.0,516.14,550.0
2021-04-22,500.0,516.14,550.0
2021-04-29,500.0,516.14,550.0
2021-05-06,500.0,516.14,550.0
2021-05-20,500.0,524.4,550.0
2021-05-27,500.0,528.59,550.0
2021-06-03,500.0,528.59,550.0
2021-06-10,500.0,528.59,550.0
2021-06-17,500.0,528.59,550.0
2021-06-24,500.0,528.59,550.0
2021-07-01,500.0,528.59,550.0
2021-07-08,500.0,528.59,550.0
2021-07-15,500.0,528.59,550.0
2021-07-29,500.0,528.59,550.0
2021-08-05,500.0,528.59,550.0
2021-08-12,500.0,528.59,550.0
2021-08-26,500.0,528.59,550.0
2021-09-02,500.0,528.59,550.0
2021-09-09,500.0,528.59,550.0
2021-09-16,500.0,528.59,550.0
2021-09-23,500.0,528.59,550.0
