Date,Min,Avg,Max
2019-09-05,350.0,389.53,420.0
2019-09-12,350.0,389.53,420.0
2019-09-19,350.0,389.53,420.0
2019-09-26,350.0,389.53,420.0
2019-10-03,350.0,389.53,420.0
2019-10-10,350.0,389.53,420.0
2019-10-17,350.0,389.53,420.0
2019-10-24,350.0,389.53,420.0
2019-10-31,350.0,389.53,420.0
2019-11-07,350.0,389.53,420.0
2019-11-14,350.0,389.53,420.0
2019-11-21,350.0,389.53,420.0
2019-11-28,360.0,395.12,420.0
2019-12-05,360.0,395.12,420.0
2019-12-12,360.0,397.38,420.0
2019-12-19,360.0,397.38,420.0
2019-12-26,360.0,397.38,420.0
2020-01-02,360.0,397.38,420.0
2020-01-09,360.0,397.38,420.0
2020-01-16,360.0,397.38,420.0
2020-01-23,360.0,397.38,420.0
2020-01-30,360.0,397.38,420.0
2020-02-06,360.0,397.38,420.0
2020-02-13,360.0,397.38,420.0
2020-02-20,360.0,397.38,420.0
2020-02-27,360.0,397.38,420.0
2020-03-05,360.0,397.38,420.0
2020-03-12,380.0,402.06,420.0
2020-03-19,380.0,406.45,420.0
2020-03-26,380.0,406.45,420.0
2020-04-02,380.0,421.77,450.0
2020-04-09,380.0,421.77,450.0
2020-04-16,380.0,422.88,450.0
2020-04-23,380.0,431.58,450.0
2020-04-30,380.0,438.25,450.0
2020-05-07,380.0,438.25,450.0
2020-05-14,380.0,438.25,450.0
2020-05-21,380.0,438.25,450.0
2020-05-28,380.0,438.25,450.0
2020-06-04,380.0,438.25,450.0
2020-06-11,380.0,438.25,450.0
2020-06-18,380.0,438.25,450.0
2020-06-25,380.0,438.25,450.0
2020-07-02,380.0,441.63,450.0
2020-07-09,380.0,441.63,450.0
2020-07-16,380.0,441.63,450.0
2020-07-23,380.0,441.63,450.0
2020-07-29,380.0,441.63,450.0
2020-08-06,380.0,441.63,450.0
2020-08-13,380.0,441.63,450.0
2020-08-20,400.0,444.15,450.0
2020-08-27,420.0,446.56,450.0
2020-09-03,420.0,446.56,450.0
2020-09-10,420.0,446.56,450.0
2020-09-17,420.0,446.56,450.0
2020-09-24,420.0,446.56,450.0
2020-10-01,420.0,448.73,470.0
2020-10-08,420.0,448.73,470.0
2020-10-15,420.0,448.73,470.0
2020-10-22,420.0,448.73,470.0
2020-10-29,420.0,448.73,470.0
2020-11-05,400.0,405.27,450.0
2020-11-12,400.0,405.27,450.0
2020-11-19,400.0,405.27,450.0
2020-11-26,400.0,405.27,450.0
2020-12-03,400.0,400.0,400.0
2020-12-10,400.0,400.0,400.0
2020-12-17,400.0,400.0,400.0
2020-12-24,400.0,400.0,400.0
2020-12-31,400.0,400.0,400.0
2021-01-07,400.0,400.0,400.0
2021-01-14,400.0,400.0,400.0
2021-01-21,400.0,400.0,400.0
2021-01-28,400.0,400.0,400.0
2021-02-04,400.0,400.0,400.0
2021-02-11,400.0,400.0,400.0
2021-02-18,400.0,400.0,400.0
2021-02-25,400.0,400.0,400.0
2021-03-04,400.0,400.0,400.0
2021-03-11,400.0,400.0,400.0
2021-03-18,400.0,400.0,400.0
2021-03-25,400.0,400.0,400.0
2021-04-01,400.0,400.0,400.0
2021-04-08,400.0,400.0,400.0
2021-04-15,400.0,400.0,400.0
2021-04-22,400.0,400.0,400.0
2021-04-29,400.0,425.87,500.0
2021-05-06,450.0,494.18,500.0
2021-05-20,450.0,494.18,500.0
2021-05-27,500.0,500.0,500.0
2021-06-03,500.0,500.0,500.0
2021-06-10,500.0,500.0,500.0
2021-06-17,500.0,500.0,500.0
2021-06-24,500.0,500.0,500.0
2021-07-01,500.0,500.0,500.0
2021-07-08,500.0,500.0,500.0
2021-07-15,500.0,500.0,500.0
2021-07-29,500.0,500.0,500.0
2021-08-05,500.0,500.0,500.0
2021-08-12,500.0,500.0,500.0
2021-08-26,500.0,500.0,500.0
2021-09-02,500.0,500.0,500.0
2021-09-09,500.0,510.7,550.0
2021-09-16,500.0,510.7,550.0
2021-09-23,500.0,510.7,550.0
2021-09-30,500.0,510.7,550.0
