Date,Min,Avg,Max
2019-09-05,480.0,485.25,500.0
2019-09-12,480.0,485.25,500.0
2019-09-19,480.0,485.25,500.0
2019-09-26,480.0,485.25,500.0
2019-10-03,480.0,485.25,500.0
2019-10-10,480.0,485.25,500.0
2019-10-17,480.0,485.25,500.0
2019-10-24,480.0,485.25,500.0
2019-10-31,480.0,485.25,500.0
2019-11-07,480.0,485.25,500.0
2019-11-14,480.0,485.25,500.0
2019-11-21,480.0,485.25,500.0
2019-11-28,480.0,485.25,500.0
2019-12-05,480.0,485.25,500.0
2019-12-12,480.0,485.25,500.0
2019-12-19,480.0,485.25,500.0
2019-12-26,480.0,485.25,500.0
2020-01-02,480.0,485.25,500.0
2020-01-09,480.0,485.25,500.0
2020-01-16,480.0,485.25,500.0
2020-01-23,480.0,485.25,500.0
2020-01-30,480.0,485.25,500.0
2020-02-06,480.0,485.25,500.0
2020-02-13,480.0,487.9,500.0
2020-02-20,480.0,487.9,500.0
2020-02-27,500.0,513.25,520.0
2020-03-05,500.0,513.25,520.0
2020-03-12,500.0,513.25,520.0
2020-03-19,500.0,513.25,520.0
2020-03-26,500.0,513.25,520.0
2020-04-02,520.0,545.9,550.0
2020-04-09,520.0,545.9,550.0
2020-04-16,520.0,541.87,550.0
2020-04-23,520.0,541.87,550.0
2020-04-30,520.0,541.87,550.0
2020-05-07,520.0,541.87,550.0
2020-05-14,520.0,541.87,550.0
2020-05-21,520.0,541.87,550.0
2020-05-28,520.0,541.87,550.0
2020-06-04,520.0,541.87,550.0
2020-06-11,520.0,541.87,550.0
2020-06-18,530.0,545.94,550.0
2020-06-25,530.0,545.94,550.0
2020-07-02,530.0,545.94,550.0
2020-07-09,530.0,545.94,550.0
2020-07-16,530.0,545.94,550.0
2020-07-23,530.0,545.94,550.0
2020-07-29,530.0,545.94,550.0
2020-08-06,530.0,545.94,550.0
2020-08-13,530.0,545.94,550.0
2020-08-20,530.0,551.18,580.0
2020-08-27,530.0,551.18,580.0
2020-09-03,530.0,551.18,580.0
2020-09-10,530.0,554.5,580.0
2020-09-17,530.0,554.5,580.0
2020-09-24,530.0,554.5,580.0
2020-10-01,530.0,554.5,580.0
2020-10-08,530.0,554.5,580.0
2020-10-15,530.0,554.5,580.0
2020-10-22,530.0,554.5,580.0
2020-10-29,530.0,554.5,580.0
2020-11-05,530.0,554.5,580.0
2020-11-12,530.0,554.5,580.0
2020-11-19,530.0,554.5,580.0
2020-11-26,530.0,554.5,580.0
2020-12-03,530.0,554.5,580.0
2020-12-10,530.0,554.5,580.0
2020-12-17,530.0,554.5,580.0
2020-12-24,530.0,554.5,580.0
2020-12-31,530.0,554.5,580.0
2021-01-07,530.0,554.5,580.0
2021-01-14,530.0,554.5,580.0
2021-01-21,530.0,554.5,580.0
2021-01-28,530.0,554.5,580.0
2021-02-04,530.0,554.5,580.0
2021-02-11,530.0,554.5,580.0
2021-02-18,530.0,554.5,580.0
2021-02-25,530.0,554.5,580.0
2021-03-04,530.0,554.5,580.0
2021-03-11,530.0,556.47,580.0
2021-03-18,530.0,556.47,580.0
2021-03-25,550.0,575.0,600.0
2021-04-01,550.0,580.22,600.0
2021-04-08,550.0,580.22,600.0
2021-04-15,550.0,592.5,600.0
2021-04-22,550.0,610.0,650.0
2021-04-29,550.0,610.0,650.0
2021-05-06,550.0,610.0,650.0
2021-05-20,550.0,616.55,650.0
2021-05-27,600.0,624.86,650.0
2021-06-03,600.0,624.86,650.0
2021-06-10,600.0,624.86,650.0
2021-06-17,600.0,643.44,700.0
2021-06-24,600.0,643.44,700.0
2021-07-01,600.0,643.44,700.0
2021-07-08,600.0,654.93,700.0
2021-07-15,600.0,654.93,700.0
2021-07-29,600.0,654.93,700.0
2021-08-05,600.0,654.93,700.0
2021-08-12,600.0,654.93,700.0
2021-08-26,600.0,654.93,700.0
2021-09-02,600.0,654.93,700.0
2021-09-09,600.0,654.93,700.0
2021-09-16,600.0,654.93,700.0
2021-09-23,600.0,654.93,700.0
2021-09-30,600.0,654.93,700.0
2021-10-07,600.0,654.93,700.0
2021-10-14,600.0,654.93,700.0
2021-10-21,600.0,654.93,700.0
2021-10-28,600.0,654.93,700.0
2021-12-02,600.0,654.93,700.0
2021-11-04,600.0,654.93,700.0
