Date,Min,Avg,Max
2019-09-05,176.0,176.0,176.0
2019-09-12,180.0,180.0,180.0
2019-09-19,196.0,196.0,196.0
2019-09-26,186.0,186.0,186.0
2019-10-03,170.0,170.0,170.0
2019-10-10,146.0,146.0,146.0
2019-10-17,154.0,154.0,154.0
2019-10-24,154.0,154.0,154.0
2019-10-31,160.0,160.0,160.0
2019-11-07,154.0,154.0,154.0
2019-11-14,148.0,148.0,148.0
2019-11-21,144.0,144.0,144.0
2019-11-28,136.0,136.0,136.0
2019-12-05,126.0,126.0,126.0
2019-12-12,126.0,126.0,126.0
2019-12-19,134.0,134.0,134.0
2019-12-26,152.0,152.0,152.0
2020-01-02,146.0,146.0,146.0
2020-01-09,150.0,150.0,150.0
2020-01-16,160.0,160.0,160.0
2020-01-23,166.0,166.0,166.0
2020-01-30,170.0,170.0,170.0
2020-02-06,170.0,170.0,170.0
2020-02-13,160.0,160.0,160.0
2020-02-20,154.0,154.0,154.0
2020-02-27,144.0,144.0,144.0
2020-03-05,144.0,144.0,144.0
2020-03-12,166.0,166.0,166.0
2020-03-19,136.0,136.0,136.0
2020-03-26,114.0,114.0,114.0
2020-04-02,114.0,114.0,114.0
2020-04-09,110.0,110.0,110.0
2020-04-16,126.0,126.0,126.0
2020-04-23,136.0,136.0,136.0
2020-04-30,146.0,146.0,146.0
2020-05-07,188.0,188.0,188.0
2020-05-14,180.0,180.0,180.0
2020-05-21,210.0,210.0,210.0
2020-05-28,180.0,180.0,180.0
2020-06-04,200.0,200.0,200.0
2020-06-11,168.0,168.0,168.0
2020-06-18,180.0,180.0,180.0
2020-06-25,180.0,180.0,180.0
2020-07-02,184.0,184.0,184.0
2020-07-09,182.0,182.0,182.0
2020-07-16,186.0,186.0,186.0
2020-07-23,173.0,173.0,173.0
2020-07-29,153.0,153.0,153.0
2020-08-06,146.0,146.0,146.0
2020-08-13,122.0,122.0,122.0
2020-08-20,124.0,124.0,124.0
2020-08-27,118.0,118.0,118.0
2020-09-03,116.0,116.0,116.0
2020-09-10,147.0,147.0,147.0
2020-09-17,150.0,150.0,150.0
2020-09-24,144.0,144.0,144.0
2020-10-01,160.0,160.0,160.0
2020-10-08,170.0,170.0,170.0
2020-10-15,190.0,190.0,190.0
2020-10-22,182.0,182.0,182.0
2020-10-29,187.0,187.0,187.0
2020-11-05,192.0,192.0,192.0
2020-11-12,225.0,225.0,225.0
2020-11-19,220.0,220.0,220.0
2020-11-26,195.0,195.0,195.0
2020-12-03,227.0,227.0,227.0
2020-12-10,220.0,220.0,220.0
2020-12-17,218.0,218.0,218.0
2020-12-24,196.0,196.0,196.0
2020-12-31,176.0,176.0,176.0
2021-01-07,158.0,158.0,158.0
2021-01-14,153.0,153.0,153.0
2021-01-21,166.0,166.0,166.0
2021-01-28,197.0,197.0,197.0
2021-02-04,196.0,196.0,196.0
2021-02-11,206.0,206.0,206.0
2021-02-18,242.0,242.0,242.0
2021-02-25,235.0,235.0,235.0
2021-03-04,252.0,252.0,252.0
2021-03-11,236.0,236.0,236.0
2021-03-18,224.0,224.0,224.0
2021-03-25,244.0,244.0,244.0
2021-04-01,221.0,221.0,221.0
2021-04-08,246.0,246.0,246.0
2021-04-15,245.0,245.0,245.0
2021-04-22,237.0,237.0,237.0
2021-04-29,234.0,234.0,234.0
2021-05-06,274.0,274.0,274.0
2021-05-20,314.0,314.0,314.0
2021-05-27,256.0,256.0,256.0
2021-06-03,211.0,211.0,211.0
2021-06-10,176.0,176.0,176.0
2021-06-17,184.0,184.0,184.0
2021-06-24,203.0,203.0,203.0
2021-07-01,206.0,206.0,206.0
2021-07-08,174.0,174.0,174.0
2021-07-15,166.0,166.0,166.0
2021-07-29,136.0,136.0,136.0
2021-08-05,131.0,131.0,131.0
2021-08-12,150.0,150.0,150.0
2021-08-26,161.0,161.0,161.0
2021-09-02,182.0,182.0,182.0
2021-09-09,195.0,195.0,195.0
2021-09-16,204.0,204.0,204.0
2021-09-23,201.0,201.0,201.0
2021-09-30,201.0,201.0,201.0
2021-10-07,201.0,201.0,201.0
2021-10-14,201.0,201.0,201.0
2021-10-21,201.0,201.0,201.0
2021-10-28,201.0,201.0,201.0
2021-12-02,201.0,201.0,201.0
2021-11-04,201.0,201.0,201.0
2021-11-11,201.0,201.0,201.0
2021-11-18,201.0,201.0,201.0
2021-11-25,201.0,201.0,201.0
2021-12-08,201.0,201.0,201.0
