Date,Min,Avg,Max
2021-07-29,136.0,136.0,136.0
2021-07-15,174.0,174.0,174.0
2021-07-08,174.0,174.0,174.0
2021-07-01,212.0,212.0,212.0
2021-06-24,220.0,220.0,220.0
2021-06-17,199.0,199.0,199.0
2021-06-10,170.0,170.0,170.0
2021-06-03,216.0,216.0,216.0
2021-05-27,268.0,268.0,268.0
2021-05-20,310.0,310.0,310.0
2021-05-06,272.0,272.0,272.0
2021-04-29,238.0,238.0,238.0
2021-04-22,249.0,249.0,249.0
2021-04-15,258.0,258.0,258.0
2021-04-08,255.0,255.0,255.0
2021-04-01,229.0,229.0,229.0
2021-03-25,242.0,242.0,242.0
2021-03-18,226.0,226.0,226.0
2021-03-11,233.0,233.0,233.0
2021-03-04,257.0,257.0,257.0
2021-02-25,233.0,233.0,233.0
2021-02-18,234.0,234.0,234.0
2021-02-11,215.0,215.0,215.0
2021-02-04,199.0,199.0,199.0
2021-01-28,201.0,201.0,201.0
2021-01-21,168.0,168.0,168.0
2021-01-14,161.0,161.0,161.0
2021-01-07,165.0,165.0,165.0
2020-12-31,178.0,178.0,178.0
2020-12-24,202.0,202.0,202.0
2020-12-17,218.0,218.0,218.0
2020-12-10,228.0,228.0,228.0
2020-12-03,222.0,222.0,222.0
2020-11-26,199.0,199.0,199.0
2020-11-19,220.0,220.0,220.0
2020-11-12,220.0,220.0,220.0
2020-11-05,198.0,198.0,198.0
2020-10-29,188.0,188.0,188.0
2020-10-22,177.0,177.0,177.0
2020-10-15,182.0,182.0,182.0
2020-10-08,158.0,158.0,158.0
2020-10-01,150.0,150.0,150.0
2020-09-24,140.0,140.0,140.0
2020-09-17,161.0,161.0,161.0
2020-09-10,141.0,141.0,141.0
2020-09-03,117.0,117.0,117.0
2020-08-27,112.0,112.0,112.0
2020-08-20,118.0,118.0,118.0
2020-08-13,109.0,109.0,109.0
2020-08-06,130.0,130.0,130.0
2020-07-29,142.0,142.0,142.0
2020-07-23,168.0,168.0,168.0
2020-07-16,184.0,184.0,184.0
2020-07-09,188.0,188.0,188.0
2020-07-02,186.0,186.0,186.0
2020-06-25,176.0,176.0,176.0
2020-06-18,193.0,193.0,193.0
2020-06-11,181.0,181.0,181.0
2020-06-04,179.0,179.0,179.0
2020-05-28,215.0,215.0,215.0
2020-05-21,179.0,179.0,179.0
2020-05-14,175.0,175.0,175.0
2020-05-07,187.0,187.0,187.0
2020-04-30,149.0,149.0,149.0
2020-04-23,148.0,148.0,148.0
2020-04-16,125.0,125.0,125.0
2020-04-09,120.0,120.0,120.0
2020-04-02,119.0,119.0,119.0
2020-03-26,114.0,114.0,114.0
2020-03-19,148.0,148.0,148.0
2020-03-12,173.0,173.0,173.0
2020-03-05,150.0,150.0,150.0
2020-02-27,148.0,148.0,148.0
2020-02-20,154.0,154.0,154.0
2020-02-13,174.0,174.0,174.0
2020-02-06,173.0,173.0,173.0
2020-01-30,186.0,186.0,186.0
2020-01-23,173.0,173.0,173.0
2020-01-16,162.0,162.0,162.0
2020-01-09,152.0,152.0,152.0
2020-01-02,143.0,143.0,143.0
2019-12-26,153.0,153.0,153.0
2019-12-19,141.0,141.0,141.0
2019-12-12,134.0,134.0,134.0
2019-12-05,134.0,134.0,134.0
2019-11-28,141.0,141.0,141.0
2019-11-21,146.0,146.0,146.0
2019-11-14,141.0,141.0,141.0
2019-11-07,148.0,148.0,148.0
2019-10-31,158.0,158.0,158.0
2019-10-24,148.0,148.0,148.0
2019-10-17,153.0,154.0,155.0
2019-10-10,145.0,145.0,145.0
2019-10-03,181.0,181.0,181.0
2019-09-26,190.0,194.94,200.0
2019-09-19,215.0,215.0,215.0
2019-09-12,180.0,180.0,180.0
2019-09-05,176.0,176.0,176.0
2021-08-06,135.0,135.0,135.0
2021-08-12,150.0,150.0,150.0
2021-08-26,158.0,158.0,158.0
2021-09-02,176.0,176.0,176.0
2021-09-09,200.0,200.0,200.0
