Date,Min,Avg,Max
2021-07-29,130.0,130.0,130.0
2021-07-15,172.0,172.0,172.0
2021-07-08,169.0,169.0,169.0
2021-07-01,200.0,200.66,202.0
2021-06-24,219.0,219.0,219.0
2021-06-17,190.0,190.0,190.0
2021-06-10,172.0,172.0,172.0
2021-06-03,217.0,217.0,217.0
2021-05-27,252.0,252.0,252.0
2021-05-20,292.0,292.0,292.0
2021-05-06,270.0,270.0,270.0
2021-04-29,245.0,245.0,245.0
2021-04-22,243.0,243.0,243.0
2021-04-15,249.0,249.0,249.0
2021-04-08,240.0,240.0,240.0
2021-04-01,207.0,207.0,207.0
2021-03-25,232.0,232.0,232.0
2021-03-18,207.0,207.0,207.0
2021-03-11,228.0,228.0,228.0
2021-03-04,237.0,237.0,237.0
2021-02-25,220.0,220.0,220.0
2021-02-18,214.0,214.0,214.0
2021-02-11,210.0,210.0,210.0
2021-02-04,194.0,194.0,194.0
2021-01-28,187.0,187.0,187.0
2021-01-21,160.0,160.0,160.0
2021-01-14,152.0,152.0,152.0
2021-01-07,152.0,152.0,152.0
2020-12-31,170.0,170.0,170.0
2020-12-24,197.0,197.0,197.0
2020-12-17,210.0,210.0,210.0
2020-12-10,217.0,217.0,217.0
2020-12-03,217.0,217.0,217.0
2020-11-26,195.0,195.0,195.0
2020-11-19,212.0,212.0,212.0
2020-11-12,211.0,212.0,214.0
2020-11-05,190.0,190.0,190.0
2020-10-29,172.0,172.0,172.0
2020-10-22,169.0,169.0,169.0
2020-10-15,177.0,177.0,177.0
2020-10-08,152.0,152.0,152.0
2020-10-01,142.0,142.0,142.0
2020-09-24,132.0,132.0,132.0
2020-09-17,154.0,154.0,154.0
2020-09-10,142.0,142.0,142.0
2020-09-03,119.0,119.0,119.0
2020-08-27,110.0,110.0,110.0
2020-08-20,120.0,120.0,120.0
2020-08-13,109.0,109.0,109.0
2020-08-06,130.0,130.0,130.0
2020-07-29,144.0,144.0,144.0
2020-07-23,164.0,164.0,164.0
2020-07-16,186.0,186.0,186.0
2020-07-09,188.0,188.0,188.0
2020-07-02,182.0,182.0,182.0
2020-06-25,177.0,177.0,177.0
2020-06-18,192.0,192.0,192.0
2020-06-11,184.0,184.0,184.0
2020-06-04,206.0,206.0,206.0
2020-05-28,185.0,185.0,185.0
2020-05-21,202.0,202.0,202.0
2020-05-14,170.0,170.0,170.0
2020-05-07,179.0,179.0,179.0
2020-04-30,148.0,148.0,148.0
2020-04-23,134.0,134.0,134.0
2020-04-16,122.0,122.0,122.0
2020-04-09,122.0,122.0,122.0
2020-04-02,112.0,112.0,112.0
2020-03-26,112.0,112.0,112.0
2020-03-19,148.0,148.0,148.0
2020-03-12,160.0,160.0,160.0
2020-03-05,142.0,142.0,142.0
2020-02-27,142.0,142.0,142.0
2020-02-20,152.0,152.0,152.0
2020-02-13,167.0,167.0,167.0
2020-02-06,168.0,168.0,168.0
2020-01-30,172.0,172.0,172.0
2020-01-23,164.0,164.0,164.0
2020-01-16,164.0,164.0,164.0
2020-01-09,147.0,147.0,147.0
2020-01-02,144.0,144.0,144.0
2019-12-26,152.0,152.0,152.0
2019-12-19,128.0,128.0,128.0
2019-12-12,130.0,130.0,130.0
2019-12-05,128.0,128.0,128.0
2019-11-28,132.0,132.0,132.0
2019-11-21,138.0,138.0,138.0
2019-11-14,138.0,138.0,138.0
2019-11-07,144.0,144.0,144.0
2019-10-31,157.0,157.0,157.0
2019-10-24,144.0,144.0,144.0
2019-10-17,152.0,152.0,152.0
2019-10-10,140.0,140.0,140.0
2019-10-03,170.0,170.0,170.0
2019-09-26,194.0,194.0,194.0
2019-09-19,204.0,204.0,204.0
2019-09-12,174.0,174.0,174.0
2019-09-05,167.0,167.0,167.0
2021-08-06,132.0,132.0,132.0
2021-08-12,140.0,140.0,140.0
