Date,Min,Avg,Max
2019-09-05,190.0,196.29,210.0
2019-09-12,200.0,206.24,220.0
2019-09-19,230.0,235.97,250.0
2019-09-26,250.0,258.52,270.0
2019-10-03,200.0,213.8,230.0
2019-10-10,190.0,193.88,200.0
2019-10-17,180.0,187.17,200.0
2019-10-24,180.0,188.66,200.0
2019-10-31,180.0,187.04,200.0
2019-11-07,180.0,187.46,200.0
2019-11-14,170.0,184.76,190.0
2019-11-21,160.0,173.53,180.0
2019-11-28,160.0,167.16,180.0
2019-12-05,150.0,154.77,160.0
2019-12-12,140.0,149.23,160.0
2019-12-19,150.0,154.78,160.0
2019-12-26,180.0,185.07,200.0
2020-01-02,160.0,173.53,180.0
2020-01-09,160.0,173.54,190.0
2020-01-16,170.0,189.11,200.0
2020-01-23,190.0,197.47,210.0
2020-01-30,180.0,193.09,210.0
2020-02-06,180.0,184.75,200.0
2020-02-13,160.0,171.26,185.0
2020-02-20,160.0,166.49,180.0
2020-02-27,160.0,168.86,180.0
2020-03-05,150.0,162.98,170.0
2020-03-12,180.0,181.78,190.0
2020-03-19,165.0,175.98,180.0
2020-03-26,150.0,164.4,180.0
2020-04-02,140.0,152.21,170.0
2020-04-09,140.0,150.47,160.0
2020-04-16,150.0,161.75,170.0
2020-04-23,150.0,157.14,180.0
2020-04-30,160.0,169.3,180.0
2020-05-07,210.0,221.04,240.0
2020-05-14,220.0,231.11,240.0
2020-05-21,250.0,257.79,270.0
2020-05-28,270.0,279.32,300.0
2020-06-04,230.0,242.01,250.0
2020-06-11,210.0,217.49,230.0
2020-06-18,210.0,223.17,240.0
2020-06-25,180.0,207.35,240.0
2020-07-02,180.0,197.96,220.0
2020-07-09,200.0,208.65,230.0
2020-07-16,200.0,212.94,220.0
2020-07-23,190.0,192.38,200.0
2020-07-29,180.0,185.95,200.0
2020-08-06,170.0,182.87,200.0
2020-08-13,150.0,159.99,190.0
2020-08-20,130.0,145.02,150.0
2020-08-27,130.0,142.83,160.0
2020-09-03,120.0,134.48,150.0
2020-09-10,150.0,155.23,160.0
2020-09-17,160.0,169.71,180.0
2020-09-24,160.0,168.1,180.0
2020-10-01,180.0,187.16,200.0
2020-10-08,190.0,194.44,220.0
2020-10-15,210.0,223.85,240.0
2020-10-22,210.0,224.93,230.0
2020-10-29,210.0,222.9,230.0
2020-11-05,215.0,223.71,240.0
2020-11-12,250.0,257.16,270.0
2020-11-19,260.0,264.79,280.0
2020-11-26,230.0,238.37,250.0
2020-12-03,240.0,248.39,260.0
2020-12-10,260.0,262.09,270.0
2020-12-17,260.0,264.76,280.0
2020-12-24,230.0,245.65,260.0
2020-12-31,210.0,223.48,240.0
2021-01-07,180.0,185.64,200.0
2021-01-14,180.0,186.85,200.0
2021-01-21,200.0,206.28,220.0
2021-01-28,220.0,226.01,230.0
2021-02-04,220.0,225.39,240.0
2021-02-11,230.0,237.18,250.0
2021-02-18,260.0,271.15,280.0
2021-02-25,280.0,286.31,300.0
2021-03-04,280.0,292.35,300.0
2021-03-11,280.0,286.88,300.0
2021-03-18,260.0,265.66,280.0
2021-03-25,280.0,288.4,300.0
2021-04-01,240.0,252.03,260.0
2021-04-08,290.0,299.62,320.0
2021-04-15,280.0,298.72,310.0
2021-04-22,280.0,294.6,310.0
2021-04-29,280.0,285.98,300.0
2021-05-06,280.0,317.28,330.0
2021-05-20,340.0,343.9,350.0
2021-05-27,320.0,336.22,350.0
2021-06-03,240.0,250.49,260.0
2021-06-10,220.0,232.83,250.0
2021-06-17,190.0,204.07,230.0
2021-06-24,210.0,224.45,240.0
2021-07-01,210.0,223.53,240.0
2021-07-08,190.0,200.53,210.0
2021-07-15,160.0,183.1,200.0
2021-07-29,130.0,137.8,150.0
2021-08-05,130.0,143.83,150.0
2021-08-12,160.0,167.9,180.0
2021-08-26,180.0,186.25,200.0
2021-09-02,210.0,214.79,220.0
2021-09-09,230.0,245.33,260.0
2021-09-16,230.0,236.85,260.0
2021-09-23,230.0,240.51,250.0
2021-09-30,230.0,240.51,250.0
2021-10-07,230.0,240.51,250.0
2021-10-14,230.0,240.51,250.0
2021-10-21,230.0,240.51,250.0
2021-10-28,230.0,240.51,250.0
2021-12-02,230.0,240.51,250.0
2021-11-04,230.0,240.51,250.0
2021-11-11,230.0,240.51,250.0
2021-11-18,230.0,240.51,250.0
2021-11-25,230.0,240.51,250.0
