Date,Min,Avg,Max
2019-09-05,165.0,165.0,165.0
2019-09-12,175.0,175.0,175.0
2019-09-19,201.0,201.0,201.0
2019-09-26,185.0,185.0,185.0
2019-10-03,168.0,168.0,168.0
2019-10-10,140.0,140.0,140.0
2019-10-17,154.0,154.0,154.0
2019-10-24,148.0,148.0,148.0
2019-10-31,155.0,155.0,155.0
2019-11-07,150.0,150.0,150.0
2019-11-14,141.0,141.0,141.0
2019-11-21,136.0,136.0,136.0
2019-11-28,131.0,131.0,131.0
2019-12-05,131.0,131.0,131.0
2019-12-12,131.0,131.0,131.0
2019-12-19,136.0,136.0,136.0
2019-12-26,153.0,153.0,153.0
2020-01-02,145.0,145.0,145.0
2020-01-09,151.0,151.0,151.0
2020-01-16,158.0,158.0,158.0
2020-01-23,163.0,163.0,163.0
2020-01-30,173.0,173.0,173.0
2020-02-06,167.0,167.0,167.0
2020-02-13,160.0,160.0,160.0
2020-02-20,151.0,151.0,151.0
2020-02-27,141.0,141.0,141.0
2020-03-05,150.0,150.0,150.0
2020-03-12,164.0,164.0,164.0
2020-03-19,152.0,152.0,152.0
2020-03-26,106.0,106.0,106.0
2020-04-02,113.0,113.0,113.0
2020-04-09,119.0,119.0,119.0
2020-04-16,122.0,122.0,122.0
2020-04-23,139.0,139.0,139.0
2020-04-30,146.0,146.0,146.0
2020-05-07,182.0,182.0,182.0
2020-05-14,172.0,172.0,172.0
2020-05-21,186.0,186.0,186.0
2020-05-28,179.0,179.0,179.0
2020-06-04,179.0,179.0,179.0
2020-06-11,179.0,179.0,179.0
2020-06-18,186.0,186.0,186.0
2020-06-25,177.0,177.0,177.0
2020-07-02,182.0,182.0,182.0
2020-07-09,189.0,189.0,189.0
2020-07-16,190.0,190.0,190.0
2020-07-23,163.0,163.0,163.0
2020-07-29,143.0,143.0,143.0
2020-08-06,126.0,126.0,126.0
2020-08-13,111.0,111.0,111.0
2020-08-20,116.0,116.0,116.0
2020-08-27,109.0,109.0,109.0
2020-09-03,114.0,114.0,114.0
2020-09-10,141.0,141.0,141.0
2020-09-17,151.0,151.0,151.0
2020-09-24,140.0,140.0,140.0
2020-10-01,146.0,146.0,146.0
2020-10-08,156.0,156.0,156.0
2020-10-15,174.0,174.0,174.0
2020-10-22,169.0,169.0,169.0
2020-10-29,172.0,172.0,172.0
2020-11-05,196.0,196.0,196.0
2020-11-12,211.0,211.0,211.0
2020-11-19,216.0,216.0,216.0
2020-11-26,196.0,196.0,196.0
2020-12-03,221.0,221.0,221.0
2020-12-10,216.0,216.0,216.0
2020-12-17,209.0,209.0,209.0
2020-12-24,196.0,196.0,196.0
2020-12-31,179.0,179.0,179.0
2021-01-07,152.0,152.0,152.0
2021-01-14,151.0,151.0,151.0
2021-01-21,166.0,166.0,166.0
2021-01-28,191.0,191.0,191.0
2021-02-04,196.0,196.0,196.0
2021-02-11,209.0,209.0,209.0
2021-02-18,218.0,218.0,218.0
2021-02-25,225.0,225.0,225.0
2021-03-04,225.0,234.01,241.0
2021-03-11,227.0,227.0,227.0
2021-03-18,206.0,206.0,206.0
2021-03-25,231.0,231.0,231.0
2021-04-01,218.0,218.0,218.0
2021-04-08,242.0,242.0,242.0
2021-04-15,242.0,242.0,242.0
2021-04-22,244.0,244.0,244.0
2021-04-29,244.0,244.0,244.0
2021-05-06,267.0,267.0,267.0
2021-05-20,299.0,299.0,299.0
2021-05-27,277.0,277.0,277.0
2021-06-03,221.0,221.0,221.0
2021-06-10,176.0,176.0,176.0
2021-06-17,189.0,189.0,189.0
2021-06-24,216.0,216.0,216.0
2021-07-01,206.0,206.0,206.0
2021-07-08,175.0,175.0,175.0
2021-07-15,169.0,169.0,169.0
2021-07-29,126.0,126.0,126.0
2021-08-05,129.0,129.0,129.0
2021-08-12,141.0,141.0,141.0
2021-08-26,156.0,156.0,156.0
2021-09-02,172.0,172.0,172.0
2021-09-09,186.0,186.0,186.0
2021-09-16,201.0,201.0,201.0
2021-09-23,204.0,204.0,204.0
2021-09-30,204.0,204.0,204.0
2021-10-07,204.0,204.0,204.0
2021-10-14,204.0,204.0,204.0
2021-10-21,204.0,204.0,204.0
2021-10-28,204.0,204.0,204.0
