Date,Min,Avg,Max
2019-09-05,210.0,214.96,220.0
2019-09-12,200.0,200.0,200.0
2019-09-19,190.0,194.96,200.0
2019-09-26,240.0,249.87,260.0
2019-10-03,180.0,208.56,240.0
2019-10-10,150.0,154.95,160.0
2019-10-17,150.0,154.95,160.0
2019-10-24,140.0,144.94,150.0
2019-10-31,160.0,160.0,160.0
2019-11-07,160.0,160.0,160.0
2019-11-14,165.0,165.0,165.0
2019-11-21,170.0,170.0,170.0
2019-11-28,140.0,144.94,150.0
2019-12-05,120.0,124.93,130.0
2019-12-12,130.0,134.94,140.0
2019-12-19,135.0,135.0,135.0
2019-12-26,140.0,144.94,150.0
2020-01-02,150.0,154.95,160.0
2020-01-09,160.0,160.0,160.0
2020-01-16,175.0,175.0,175.0
2020-01-23,185.0,185.0,185.0
2020-01-30,180.0,180.0,180.0
2020-02-06,170.0,170.0,170.0
2020-02-13,160.0,160.0,160.0
2020-02-20,150.0,150.0,150.0
2020-02-27,140.0,140.0,140.0
2020-03-05,120.0,120.0,120.0
2020-03-12,150.0,156.59,160.0
2020-03-19,160.0,160.83,162.5
2020-03-26,120.0,124.93,130.0
2020-04-02,110.0,110.0,110.0
2020-04-09,100.0,104.92,110.0
2020-04-16,120.0,123.24,130.0
2020-04-23,120.0,123.24,130.0
2020-04-30,130.0,130.0,130.0
2020-05-07,200.0,200.0,200.0
2020-05-14,220.0,220.0,220.0
2020-05-21,220.0,220.0,220.0
2020-05-28,280.0,280.0,280.0
2020-06-04,245.0,245.0,245.0
2020-06-11,220.0,228.25,235.0
2020-06-18,180.0,182.49,185.0
2020-06-25,175.0,175.0,175.0
2020-07-02,170.0,170.0,170.0
2020-07-09,190.0,190.0,190.0
2020-07-16,200.0,200.0,200.0
2020-07-23,170.0,176.6,180.0
2020-07-29,160.0,161.65,165.0
2020-08-06,120.0,121.64,125.0
2020-08-13,110.0,110.0,110.0
2020-08-20,110.0,113.31,115.0
2020-08-27,120.0,120.0,120.0
2020-09-03,115.0,116.64,120.0
2020-09-10,140.0,140.0,140.0
2020-09-17,145.0,145.0,145.0
2020-09-24,130.0,130.0,130.0
2020-10-01,160.0,160.0,160.0
2020-10-08,175.0,175.0,175.0
2020-10-15,195.0,195.0,195.0
2020-10-22,185.0,185.0,185.0
2020-10-29,180.0,180.0,180.0
2020-11-05,225.0,225.0,225.0
2020-11-12,245.0,245.0,245.0
2020-11-19,260.0,260.0,260.0
2020-11-26,230.0,233.29,240.0
2020-12-03,255.0,255.0,255.0
2020-12-10,260.0,260.0,260.0
2020-12-17,245.0,245.0,245.0
2020-12-24,225.0,225.0,225.0
2020-12-31,180.0,183.32,185.0
2021-01-07,180.0,183.32,185.0
2021-01-14,170.0,170.0,170.0
2021-01-21,175.0,175.0,175.0
2021-01-28,200.0,203.32,205.0
2021-02-04,210.0,210.0,210.0
2021-02-11,230.0,230.0,230.0
2021-02-18,260.0,260.0,260.0
2021-02-25,265.0,265.0,265.0
2021-03-04,275.0,275.0,275.0
2021-03-11,275.0,275.0,275.0
2021-03-18,242.0,242.0,242.0
2021-03-25,278.0,278.0,278.0
2021-04-01,255.0,255.0,255.0
2021-04-08,272.0,272.0,272.0
2021-04-15,275.0,275.0,275.0
2021-04-22,270.0,270.0,270.0
2021-04-29,265.0,265.0,265.0
2021-05-06,265.0,265.0,265.0
2021-05-20,290.0,290.0,290.0
2021-05-27,190.0,190.0,190.0
2021-06-03,225.0,225.0,225.0
2021-06-10,193.0,193.0,193.0
2021-06-17,215.0,215.0,215.0
2021-06-24,220.0,226.62,230.0
2021-07-01,250.0,250.0,250.0
2021-07-08,215.0,215.0,215.0
2021-07-15,190.0,190.0,190.0
2021-07-29,155.0,155.0,155.0
2021-08-05,145.0,146.65,150.0
2021-08-12,160.0,161.65,165.0
2021-08-26,170.0,170.0,170.0
2021-09-02,200.0,200.0,200.0
2021-09-09,210.0,210.0,210.0
2021-09-16,225.0,225.0,225.0
2021-09-23,230.0,230.0,230.0
2021-09-30,230.0,230.0,230.0
2021-10-07,230.0,230.0,230.0
2021-10-14,230.0,230.0,230.0
2021-10-21,230.0,230.0,230.0
