Date,Min,Avg,Max
2021-07-29,148.0,148.0,148.0
2021-07-15,184.0,184.0,184.0
2021-07-08,181.0,181.0,181.0
2021-07-01,214.0,214.0,214.0
2021-06-24,231.0,231.0,231.0
2021-06-17,204.0,204.0,204.0
2021-06-10,184.0,184.0,184.0
2021-06-03,230.0,230.0,230.0
2021-05-27,264.0,264.0,264.0
2021-05-20,310.0,310.0,310.0
2021-05-06,274.0,274.0,274.0
2021-04-29,257.0,257.0,257.0
2021-04-22,259.0,259.0,259.0
2021-04-15,256.0,256.0,256.0
2021-04-08,257.0,257.0,257.0
2021-04-01,219.0,219.0,219.0
2021-03-25,244.0,244.0,244.0
2021-03-18,219.0,219.0,219.0
2021-03-11,240.0,240.0,240.0
2021-03-04,249.0,249.0,249.0
2021-02-25,232.0,232.0,232.0
2021-02-18,224.0,224.0,224.0
2021-02-11,222.0,222.0,222.0
2021-02-04,208.0,208.0,208.0
2021-01-28,202.0,202.0,202.0
2021-01-21,170.0,170.0,170.0
2021-01-14,167.0,167.0,167.0
2021-01-07,165.0,165.0,165.0
2020-12-31,186.0,186.0,186.0
2020-12-24,207.0,207.0,207.0
2020-12-17,220.0,220.0,220.0
2020-12-10,223.0,223.0,223.0
2020-12-03,220.0,220.0,220.0
2020-11-26,205.0,205.0,205.0
2020-11-19,222.0,222.0,222.0
2020-11-12,214.0,214.0,214.0
2020-11-05,200.0,200.0,200.0
2020-10-29,182.0,182.0,182.0
2020-10-22,180.0,180.0,180.0
2020-10-15,189.0,189.0,189.0
2020-10-08,164.0,164.0,164.0
2020-10-01,152.0,152.0,152.0
2020-09-24,147.0,147.0,147.0
2020-09-17,164.0,164.0,164.0
2020-09-10,152.0,152.0,152.0
2020-09-03,129.0,129.0,129.0
2020-08-27,122.0,122.0,122.0
2020-08-20,135.0,135.0,135.0
2020-08-13,119.0,119.0,119.0
2020-08-06,140.0,140.0,140.0
2020-07-29,154.0,154.0,154.0
2020-07-23,172.0,172.0,172.0
2020-07-16,195.0,195.0,195.0
2020-07-09,198.0,198.0,198.0
2020-07-02,195.0,195.0,195.0
2020-06-25,192.0,192.0,192.0
2020-06-18,202.0,202.0,202.0
2020-06-11,192.0,192.0,192.0
2020-06-04,219.0,219.0,219.0
2020-05-28,197.0,197.0,197.0
2020-05-21,198.0,198.0,198.0
2020-05-14,182.0,182.0,182.0
2020-05-07,190.0,190.0,190.0
2020-04-30,155.0,155.0,155.0
2020-04-23,144.0,144.0,144.0
2020-04-16,132.0,132.0,132.0
2020-04-09,123.0,123.0,123.0
2020-04-02,122.0,122.0,122.0
2020-03-26,125.0,125.0,125.0
2020-03-19,158.0,158.0,158.0
2020-03-12,170.0,170.0,170.0
2020-03-05,150.0,150.0,150.0
2020-02-27,145.0,145.0,145.0
2020-02-20,149.0,149.0,149.0
2020-02-13,167.0,167.0,167.0
2020-02-06,168.0,168.0,168.0
2020-01-30,172.0,172.0,172.0
2020-01-23,172.0,172.0,172.0
2020-01-16,172.0,172.0,172.0
2020-01-09,155.0,155.0,155.0
2020-01-02,152.0,152.0,152.0
2019-12-26,160.0,160.0,160.0
2019-12-19,136.0,136.0,136.0
2019-12-12,132.0,132.0,132.0
2019-12-05,136.0,136.0,136.0
2019-11-28,134.0,134.0,134.0
2019-11-21,140.0,140.0,140.0
2019-11-14,146.0,146.0,146.0
2019-11-07,154.0,154.0,154.0
2019-10-31,165.0,165.0,165.0
2019-10-24,152.0,152.0,152.0
2019-10-17,160.0,160.0,160.0
2019-10-10,142.0,142.0,142.0
2019-10-03,177.0,177.0,177.0
2019-09-26,210.0,210.0,210.0
2019-09-19,217.0,217.0,217.0
2019-09-12,182.0,182.0,182.0
2019-09-05,172.0,172.0,172.0
