Date,Min,Avg,Max
2019-09-05,220.0,220.0,220.0
2019-09-12,210.0,210.0,210.0
2019-09-19,220.0,220.0,220.0
2019-09-26,220.0,220.0,220.0
2019-10-03,200.0,200.0,200.0
2019-10-10,180.0,180.0,180.0
2019-10-17,180.0,180.0,180.0
2019-10-24,180.0,180.0,180.0
2019-10-31,180.0,180.0,180.0
2019-11-07,170.0,170.0,170.0
2019-11-14,170.0,171.0,172.0
2019-11-21,160.0,160.0,160.0
2019-11-28,160.0,160.0,160.0
2019-12-05,145.0,145.0,145.0
2019-12-12,150.0,150.0,150.0
2019-12-19,160.0,160.0,160.0
2019-12-26,170.0,170.0,170.0
2020-01-02,170.0,170.0,170.0
2020-01-09,170.0,170.0,170.0
2020-01-16,170.0,174.93,180.0
2020-01-23,190.0,190.0,190.0
2020-01-30,200.0,200.0,200.0
2020-02-06,190.0,190.0,190.0
2020-02-13,180.0,180.0,180.0
2020-02-20,170.0,170.0,170.0
2020-02-27,160.0,160.0,160.0
2020-03-05,160.0,160.0,160.0
2020-03-12,180.0,180.0,180.0
2020-03-19,165.0,165.0,165.0
2020-03-26,150.0,150.0,150.0
2020-04-02,150.0,150.0,150.0
2020-04-09,150.0,150.0,150.0
2020-04-16,150.0,150.0,150.0
2020-04-23,150.0,150.0,150.0
2020-04-30,165.0,165.0,165.0
2020-05-07,210.0,210.0,210.0
2020-05-14,220.0,220.0,220.0
2020-05-21,250.0,250.0,250.0
2020-05-28,250.0,250.0,250.0
2020-06-04,250.0,250.0,250.0
2020-06-11,200.0,200.0,200.0
2020-06-18,220.0,220.0,220.0
2020-06-25,200.0,200.0,200.0
2020-07-02,200.0,200.0,200.0
2020-07-09,200.0,200.0,200.0
2020-07-16,220.0,220.0,220.0
2020-07-23,200.0,200.0,200.0
2020-07-29,190.0,190.0,190.0
2020-08-06,180.0,180.0,180.0
2020-08-13,160.0,160.0,160.0
2020-08-20,150.0,150.0,150.0
2020-08-27,140.0,140.0,140.0
2020-09-03,140.0,140.0,140.0
2020-09-10,166.0,166.0,166.0
2020-09-17,170.0,170.0,170.0
2020-09-24,170.0,170.0,170.0
2020-10-01,180.0,180.0,180.0
2020-10-08,190.0,190.0,190.0
2020-10-15,220.0,220.0,220.0
2020-10-22,210.0,210.0,210.0
2020-10-29,200.0,200.0,200.0
2020-11-05,220.0,220.0,220.0
2020-11-12,260.0,260.0,260.0
2020-11-19,260.0,260.0,260.0
2020-11-26,220.0,220.0,220.0
2020-12-03,260.0,260.0,260.0
2020-12-10,260.0,260.0,260.0
2020-12-17,250.0,250.0,250.0
2020-12-24,235.0,235.0,235.0
2020-12-31,210.0,210.0,210.0
2021-01-07,180.0,180.0,180.0
2021-01-14,190.0,190.0,190.0
2021-01-21,200.0,200.0,200.0
2021-01-28,230.0,230.0,230.0
2021-02-04,230.0,234.95,240.0
2021-02-11,230.0,234.95,240.0
2021-02-18,270.0,270.0,270.0
2021-02-25,270.0,270.0,270.0
2021-03-04,280.0,284.96,290.0
2021-03-11,280.0,280.0,280.0
2021-03-18,270.0,270.0,270.0
2021-03-25,270.0,276.63,280.0
2021-04-01,260.0,260.0,260.0
2021-04-08,290.0,290.0,290.0
2021-04-15,280.0,280.0,280.0
2021-04-22,270.0,270.0,270.0
2021-04-29,270.0,270.0,270.0
2021-05-06,320.0,320.0,320.0
2021-05-20,350.0,350.0,350.0
2021-05-27,290.0,290.0,290.0
2021-06-03,250.0,250.0,250.0
2021-06-10,210.0,210.0,210.0
2021-06-17,220.0,220.0,220.0
2021-06-24,240.0,240.0,240.0
2021-07-01,230.0,230.0,230.0
2021-07-08,210.0,210.0,210.0
2021-07-15,190.0,190.0,190.0
2021-07-29,160.0,160.0,160.0
2021-08-05,150.0,150.0,150.0
2021-08-12,180.0,180.0,180.0
2021-08-26,190.0,190.0,190.0
2021-09-02,220.0,220.0,220.0
2021-09-09,220.0,224.94,230.0
2021-09-16,250.0,250.0,250.0
2021-09-23,240.0,240.0,240.0
2021-09-30,240.0,240.0,240.0
2021-10-07,240.0,240.0,240.0
