Date,Min,Avg,Max
9/5/2019,90,129.37,200
9/12/2019,100,129.95,200
9/19/2019,100,130.66,200
9/26/2019,100,130.87,200
10/3/2019,100,130.87,200
10/10/2019,100,131.49,200
10/17/2019,100,131.49,200
10/24/2019,100,132.07,200
10/31/2019,100,132.07,200
11/7/2019,100,132.07,200
11/14/2019,100,132.86,200
11/21/2019,100,132.86,200
11/28/2019,100,132.99,200
12/5/2019,100,132.99,200
12/12/2019,100,133.03,200
12/19/2019,100,133.31,200
12/26/2019,100,133.31,200
1/2/2020,100,133.89,200
1/9/2020,100,134.48,200
1/16/2020,100,136.27,200
1/23/2020,100,136.27,200
1/30/2020,100,136.27,200
2/6/2020,100,136.27,200
2/13/2020,100,136.87,200
2/20/2020,100,136.87,200
2/27/2020,100,136.9,200
3/5/2020,100,136.9,200
3/12/2020,100,136.9,200
3/19/2020,100,136.9,200
3/26/2020,100,136.9,200
4/2/2020,100,136.9,200
4/9/2020,100,136.9,200
4/16/2020,100,136.9,200
4/23/2020,100,136.9,200
4/30/2020,100,136.9,200
5/7/2020,100,136.9,200
5/14/2020,100,136.9,200
5/21/2020,100,136.9,200
5/28/2020,100,136.9,200
6/4/2020,100,137.99,200
6/11/2020,100,137.99,200
6/18/2020,100,137.99,200
6/25/2020,100,137.99,200
7/2/2020,100,138.51,200
7/9/2020,100,138.51,200
7/16/2020,100,139.66,200
7/23/2020,100,140.05,200
7/29/2020,100,140.31,200
8/6/2020,100,140.31,200
8/13/2020,100,140.9,200
8/20/2020,100,140.9,200
8/27/2020,100,140.9,200
9/3/2020,100,142.17,200
9/10/2020,100,142.17,200
9/17/2020,100,142.17,200
9/24/2020,100,142.73,200
10/1/2020,100,142.73,200
10/8/2020,100,142.73,200
10/15/2020,100,144.03,200
10/22/2020,100,145.04,200
10/29/2020,100,145.48,200
11/5/2020,100,145.48,200
11/12/2020,100,147.07,200
11/19/2020,100,147.65,200
11/26/2020,100,148.18,200
12/3/2020,100,148.53,200
12/10/2020,100,148.99,200
12/17/2020,100,148.99,200
12/24/2020,100,149.98,200
12/31/2020,100,149.98,200
1/7/2021,100,150.33,200
1/14/2021,100,150.33,200
1/21/2021,100,151.02,200
1/28/2021,100,151.02,200
2/4/2021,100,152.07,200
2/11/2021,100,152.07,200
2/18/2021,100,152.82,200
2/25/2021,100,152.82,200
3/4/2021,100,152.82,200
3/11/2021,100,153.56,200
3/18/2021,100,153.56,200
3/25/2021,110,154.29,200
4/1/2021,110,154.29,200
4/8/2021,110,154.5,200
4/15/2021,110,154.5,200
4/22/2021,110,154.5,200
4/29/2021,110,155.52,220
5/6/2021,110,155.52,220
5/20/2021,110,157.58,250
5/27/2021,110,157.58,250
6/3/2021,110,158.1,250
6/10/2021,110,158.34,250
6/17/2021,110,158.85,250
6/24/2021,110,158.85,250
7/1/2021,110,159.01,250
7/8/2021,110,159.96,250
7/15/2021,110,160.18,250
7/29/2021,110,160.18,250
8/5/2021,110,160.18,250
8/12/2021,110,160.18,250
8/26/2021,110,160.18,250
9/2/2021,110,160.18,250
9/9/2021,110,160.85,250
2021-09-16,110.0,160.85,250.0
2021-09-23,110.0,160.85,250.0
