Date,Min,Avg,Max
2019-09-05,100.0,107.81,120.0
2019-09-12,100.0,110.83,120.0
2019-09-19,100.0,111.42,120.0
2019-09-26,100.0,114.54,120.0
2019-10-03,100.0,114.54,120.0
2019-10-10,100.0,114.54,120.0
2019-10-17,100.0,114.54,120.0
2019-10-24,100.0,114.54,120.0
2019-10-31,100.0,114.54,120.0
2019-11-07,100.0,114.54,120.0
2019-11-14,100.0,115.14,120.0
2019-11-21,100.0,115.14,120.0
2019-11-28,100.0,115.14,120.0
2019-12-05,100.0,115.14,120.0
2019-12-12,100.0,115.14,120.0
2019-12-19,100.0,119.34,120.0
2019-12-26,100.0,119.34,120.0
2020-01-02,100.0,119.34,120.0
2020-01-09,100.0,119.34,120.0
2020-01-16,100.0,119.34,120.0
2020-01-23,100.0,119.34,120.0
2020-01-30,100.0,119.34,120.0
2020-02-06,100.0,119.34,120.0
2020-02-13,100.0,119.34,120.0
2020-02-20,100.0,119.34,120.0
2020-02-27,100.0,119.9,140.0
2020-03-05,100.0,119.9,140.0
2020-03-12,100.0,119.9,140.0
2020-03-19,100.0,119.9,140.0
2020-03-26,100.0,119.9,140.0
2020-04-02,100.0,119.9,140.0
2020-04-09,100.0,119.9,140.0
2020-04-16,100.0,119.9,140.0
2020-04-23,100.0,119.9,140.0
2020-04-30,100.0,119.9,140.0
2020-05-07,100.0,119.9,140.0
2020-05-14,100.0,119.9,140.0
2020-05-21,100.0,119.9,140.0
2020-05-28,100.0,119.9,140.0
2020-06-04,100.0,119.9,140.0
2020-06-11,100.0,119.9,140.0
2020-06-18,100.0,119.9,140.0
2020-06-25,100.0,119.9,140.0
2020-07-02,100.0,119.9,140.0
2020-07-09,100.0,119.9,140.0
2020-07-16,100.0,119.9,140.0
2020-07-23,100.0,119.9,140.0
2020-07-29,100.0,119.9,140.0
2020-08-06,100.0,119.9,140.0
2020-08-13,100.0,119.9,140.0
2020-08-20,100.0,119.9,140.0
2020-08-27,100.0,119.9,140.0
2020-09-03,100.0,119.9,140.0
2020-09-10,100.0,119.9,140.0
2020-09-17,100.0,119.9,140.0
2020-09-24,100.0,119.9,140.0
2020-10-01,100.0,119.9,140.0
2020-10-08,100.0,119.9,140.0
2020-10-15,100.0,119.9,140.0
2020-10-22,120.0,134.99,140.0
2020-10-29,120.0,134.99,140.0
2020-11-05,120.0,134.99,140.0
2020-11-12,120.0,135.62,140.0
2020-11-19,120.0,136.47,150.0
2020-11-26,120.0,136.47,150.0
2020-12-03,120.0,136.47,150.0
2020-12-10,120.0,136.47,150.0
2020-12-17,120.0,136.47,150.0
2020-12-24,130.0,138.33,150.0
2020-12-31,130.0,138.33,150.0
2021-01-07,130.0,138.33,150.0
2021-01-14,130.0,138.33,150.0
2021-01-21,130.0,139.58,150.0
2021-01-28,130.0,139.58,150.0
2021-02-04,130.0,139.58,150.0
2021-02-11,130.0,139.58,150.0
2021-02-18,130.0,139.58,150.0
2021-02-25,130.0,139.58,150.0
2021-03-04,130.0,139.58,150.0
2021-03-11,130.0,141.75,150.0
2021-03-18,130.0,141.75,150.0
2021-03-25,130.0,141.75,150.0
2021-04-01,130.0,141.75,150.0
2021-04-08,130.0,141.75,150.0
2021-04-15,130.0,141.75,150.0
2021-04-22,130.0,141.75,150.0
2021-04-29,130.0,141.75,150.0
2021-05-06,130.0,141.75,150.0
2021-05-20,130.0,141.75,150.0
2021-05-27,130.0,141.75,150.0
2021-06-03,130.0,141.75,150.0
2021-06-10,130.0,141.75,150.0
2021-06-17,130.0,141.75,150.0
2021-06-24,130.0,141.75,150.0
2021-07-01,130.0,142.04,150.0
2021-07-08,130.0,142.04,150.0
2021-07-15,130.0,142.04,150.0
2021-07-29,130.0,142.04,150.0
2021-08-05,130.0,142.04,150.0
2021-08-12,130.0,142.04,150.0
2021-08-26,130.0,142.04,150.0
2021-09-02,130.0,142.04,150.0
2021-09-09,130.0,142.04,150.0
2021-09-16,130.0,142.04,150.0
2021-09-23,130.0,142.04,150.0
2021-09-30,130.0,142.04,150.0
2021-10-07,130.0,142.04,150.0
2021-10-14,130.0,142.04,150.0
2021-10-21,130.0,142.04,150.0
2021-10-28,130.0,142.04,150.0
2021-12-02,130.0,142.04,150.0
