Date,Min,Avg,Max
2021-07-29,200.0,209.84,220.0
2021-07-15,200.0,209.84,220.0
2021-07-08,190.0,199.83,210.0
2021-07-01,190.0,199.83,210.0
2021-06-24,190.0,199.83,210.0
2021-06-17,190.0,199.83,210.0
2021-06-10,180.0,189.82,200.0
2021-06-03,180.0,184.95,190.0
2021-05-27,170.0,174.95,180.0
2021-05-20,170.0,174.95,180.0
2021-05-06,170.0,174.95,180.0
2021-04-29,170.0,174.95,180.0
2021-04-22,170.0,174.95,180.0
2021-04-15,170.0,174.95,180.0
2021-04-08,170.0,174.95,180.0
2021-04-01,170.0,174.95,180.0
2021-03-25,170.0,174.95,180.0
2021-03-18,170.0,174.95,180.0
2021-03-11,170.0,174.95,180.0
2021-03-04,170.0,174.95,180.0
2021-02-25,170.0,174.95,180.0
2021-02-18,170.0,174.95,180.0
2021-02-11,170.0,174.95,180.0
2021-02-04,170.0,174.95,180.0
2021-01-28,170.0,174.95,180.0
2021-01-21,170.0,174.95,180.0
2021-01-14,170.0,174.95,180.0
2021-01-07,170.0,174.95,180.0
2020-12-31,170.0,174.95,180.0
2020-12-24,170.0,174.95,180.0
2020-12-17,170.0,174.95,180.0
2020-12-10,170.0,174.95,180.0
2020-12-03,170.0,174.95,180.0
2020-11-26,170.0,174.95,180.0
2020-11-19,170.0,174.95,180.0
2020-11-12,170.0,174.95,180.0
2020-11-05,170.0,174.95,180.0
2020-10-29,170.0,174.95,180.0
2020-10-22,170.0,174.95,180.0
2020-10-15,170.0,174.95,180.0
2020-10-08,170.0,174.95,180.0
2020-10-01,170.0,174.95,180.0
2020-09-24,170.0,174.95,180.0
2020-09-17,170.0,174.95,180.0
2020-09-10,170.0,174.95,180.0
2020-09-03,170.0,174.95,180.0
2020-08-27,170.0,174.95,180.0
2020-08-20,170.0,174.95,180.0
2020-08-13,170.0,174.95,180.0
2020-08-06,170.0,174.95,180.0
2020-07-29,170.0,174.95,180.0
2020-07-23,170.0,174.95,180.0
2020-07-16,170.0,174.95,180.0
2020-07-09,150.0,159.79,170.0
2020-07-02,150.0,159.79,170.0
2020-06-25,150.0,159.79,170.0
2020-06-18,150.0,159.79,170.0
2020-06-11,150.0,159.79,170.0
2020-06-04,150.0,159.79,170.0
2020-05-28,130.0,139.76,150.0
2020-05-21,130.0,139.76,150.0
2020-05-14,599.0,599.0,599.0
2020-05-07,130.0,139.76,150.0
2020-04-30,130.0,139.76,150.0
2020-04-23,130.0,139.76,150.0
2020-04-16,130.0,139.76,150.0
2020-04-09,130.0,139.76,150.0
2020-04-02,130.0,139.76,150.0
2020-03-26,130.0,139.76,150.0
2020-03-19,130.0,139.76,150.0
2020-03-12,130.0,139.76,150.0
2020-03-05,130.0,139.76,150.0
2020-02-27,130.0,139.76,150.0
2020-02-20,130.0,139.76,150.0
2020-02-13,130.0,139.76,150.0
2020-02-06,130.0,139.76,150.0
2020-01-30,130.0,139.76,150.0
2020-01-23,130.0,139.76,150.0
2020-01-16,130.0,139.76,150.0
2020-01-09,130.0,139.76,150.0
2020-01-02,130.0,139.76,150.0
2019-12-26,130.0,139.76,150.0
2019-12-19,130.0,139.76,150.0
2019-12-12,130.0,139.76,150.0
2019-12-05,130.0,139.76,150.0
2019-11-28,130.0,139.76,150.0
2019-11-21,130.0,139.76,150.0
2019-11-14,130.0,139.76,150.0
2019-11-07,130.0,139.76,150.0
2019-10-31,130.0,139.76,150.0
2019-10-24,130.0,139.76,150.0
2019-10-17,120.0,129.74,140.0
2019-10-10,120.0,129.74,140.0
2019-10-03,110.0,119.72,130.0
2019-09-26,110.0,119.72,130.0
2019-09-19,110.0,119.72,130.0
2019-09-12,100.0,109.7,120.0
2019-09-05,90.0,104.56,120.0
2021-08-06,200.0,209.84,220.0
2021-08-12,200.0,209.84,220.0
2021-08-26,200.0,209.84,220.0
2021-09-02,200.0,209.84,220.0
2021-09-09,200.0,209.84,220.0
