Date,Min,Avg,Max
2021-07-29,140.0,140.0,140.0
2021-07-15,140.0,140.0,140.0
2021-07-08,140.0,140.0,140.0
2021-07-01,140.0,140.0,140.0
2021-06-24,140.0,140.0,140.0
2021-06-17,140.0,140.0,140.0
2021-06-10,140.0,140.0,140.0
2021-06-03,140.0,140.0,140.0
2021-05-27,140.0,140.0,140.0
2021-05-20,140.0,140.0,140.0
2021-05-06,140.0,140.0,140.0
2021-04-29,140.0,140.0,140.0
2021-04-22,140.0,140.0,140.0
2021-04-15,140.0,140.0,140.0
2021-04-08,140.0,140.0,140.0
2021-04-01,140.0,140.0,140.0
2021-03-25,140.0,140.0,140.0
2021-03-18,140.0,140.0,140.0
2021-03-11,140.0,140.0,140.0
2021-03-04,140.0,140.0,140.0
2021-02-25,140.0,140.0,140.0
2021-02-18,140.0,140.0,140.0
2021-02-11,140.0,140.0,140.0
2021-02-04,140.0,140.0,140.0
2021-01-28,140.0,140.0,140.0
2021-01-21,140.0,140.0,140.0
2021-01-14,140.0,140.0,140.0
2021-01-07,140.0,140.0,140.0
2020-12-31,140.0,140.0,140.0
2020-12-24,140.0,140.0,140.0
2020-12-17,140.0,140.0,140.0
2020-12-10,140.0,140.0,140.0
2020-12-03,140.0,140.0,140.0
2020-11-26,140.0,140.0,140.0
2020-11-19,140.0,140.0,140.0
2020-11-12,140.0,140.0,140.0
2020-11-05,140.0,140.0,140.0
2020-10-29,140.0,140.0,140.0
2020-10-22,140.0,140.0,140.0
2020-10-15,140.0,140.0,140.0
2020-10-08,140.0,140.0,140.0
2020-10-01,140.0,140.0,140.0
2020-09-24,140.0,140.0,140.0
2020-09-17,140.0,140.0,140.0
2020-09-10,140.0,140.0,140.0
2020-09-03,140.0,140.0,140.0
2020-08-27,140.0,140.0,140.0
2020-08-20,140.0,140.0,140.0
2020-08-13,140.0,140.0,140.0
2020-08-06,140.0,140.0,140.0
2020-07-29,140.0,140.0,140.0
2020-07-23,140.0,140.0,140.0
2020-07-16,140.0,140.0,140.0
2020-07-09,140.0,140.0,140.0
2020-07-02,140.0,140.0,140.0
2020-06-25,140.0,140.0,140.0
2020-06-18,140.0,140.0,140.0
2020-06-11,140.0,140.0,140.0
2020-06-04,140.0,140.0,140.0
2020-05-28,140.0,140.0,140.0
2020-05-21,140.0,140.0,140.0
2020-05-14,140.0,140.0,140.0
2020-05-07,140.0,140.0,140.0
2020-04-30,140.0,140.0,140.0
2020-04-23,140.0,140.0,140.0
2020-04-16,140.0,140.0,140.0
2020-04-09,140.0,140.0,140.0
2020-04-02,140.0,140.0,140.0
2020-03-26,140.0,140.0,140.0
2020-03-19,140.0,140.0,140.0
2020-03-12,140.0,140.0,140.0
2020-03-05,140.0,140.0,140.0
2020-02-27,140.0,140.0,140.0
2020-02-20,140.0,140.0,140.0
2020-02-13,140.0,140.0,140.0
2020-02-06,130.0,130.0,130.0
2020-01-30,130.0,130.0,130.0
2020-01-23,130.0,130.0,130.0
2020-01-16,130.0,130.0,130.0
2020-01-09,130.0,130.0,130.0
2020-01-02,130.0,130.0,130.0
2019-12-26,130.0,130.0,130.0
2019-12-19,130.0,130.0,130.0
2019-12-12,130.0,130.0,130.0
2019-12-05,130.0,130.0,130.0
2019-11-28,130.0,130.0,130.0
2019-11-21,130.0,130.0,130.0
2019-11-14,130.0,130.0,130.0
2019-11-07,130.0,130.0,130.0
2019-10-31,130.0,130.0,130.0
2019-10-24,130.0,130.0,130.0
2019-10-17,130.0,130.0,130.0
2019-10-10,130.0,130.0,130.0
2019-10-03,130.0,130.0,130.0
2019-09-26,130.0,130.0,130.0
2019-09-19,130.0,130.0,130.0
2019-09-12,130.0,130.0,130.0
2019-09-05,130.0,130.0,130.0
