Date,Min,Avg,Max
9/5/2019,40,66.23,100
9/12/2019,40,66.45,100
9/19/2019,40,66.57,100
9/26/2019,40,66.57,100
10/3/2019,40,66.57,100
10/10/2019,40,66.57,100
10/17/2019,40,66.62,100
10/24/2019,40,66.62,100
10/31/2019,40,66.62,100
11/7/2019,40,66.62,100
11/14/2019,40,67.2,100
11/21/2019,40,67.22,100
11/28/2019,40,67.22,100
12/5/2019,40,67.22,100
12/12/2019,40,67.22,100
12/19/2019,40,67.96,100
12/26/2019,40,67.96,100
1/2/2020,40,68.37,100
1/9/2020,40,68.37,100
1/16/2020,40,70.47,100
1/23/2020,40,71.19,100
1/30/2020,40,71.19,100
2/6/2020,40,71.19,100
2/13/2020,40,71.4,100
2/20/2020,40,71.4,100
2/27/2020,40,71.45,100
3/5/2020,40,71.47,100
3/12/2020,40,71.47,100
3/19/2020,40,71.47,100
3/26/2020,40,71.47,100
4/2/2020,40,71.47,100
4/9/2020,40,71.47,100
4/16/2020,40,71.47,100
4/23/2020,40,71.47,100
4/30/2020,40,71.47,100
5/7/2020,40,71.47,100
5/14/2020,40,71.47,100
5/21/2020,40,71.47,100
5/28/2020,40,71.47,100
6/4/2020,40,71.47,100
6/11/2020,40,71.47,100
6/18/2020,40,71.47,100
6/25/2020,40,71.47,100
7/2/2020,40,71.91,100
7/9/2020,40,71.91,100
7/16/2020,40,71.91,100
7/23/2020,40,72.47,100
7/29/2020,40,72.47,100
8/6/2020,40,72.47,100
8/13/2020,40,72.56,100
8/20/2020,40,72.56,100
8/27/2020,40,72.56,100
9/3/2020,40,72.56,100
9/10/2020,50,72.76,100
9/17/2020,50,72.76,100
9/24/2020,50,73.17,100
10/1/2020,50,73.17,100
10/8/2020,50,73.17,100
10/15/2020,50,73.74,100
10/22/2020,50,73.97,100
10/29/2020,50,73.97,100
11/5/2020,50,73.97,100
11/12/2020,50,74.53,100
11/19/2020,50,74.94,120
11/26/2020,60,75.46,120
12/3/2020,60,75.46,120
12/10/2020,60,75.5,120
12/17/2020,60,75.5,120
12/24/2020,60,75.73,120
12/31/2020,60,75.75,120
1/7/2021,60,75.75,120
1/14/2021,60,75.76,120
1/21/2021,60,75.76,120
1/28/2021,60,75.76,120
2/4/2021,60,76.91,120
2/11/2021,60,77.37,120
2/18/2021,60,77.37,120
2/25/2021,60,77.37,120
3/4/2021,60,77.37,120
3/11/2021,60,77.83,140
3/18/2021,60,77.83,140
3/25/2021,60,77.91,140
4/1/2021,60,77.91,140
4/8/2021,60,78.26,140
4/15/2021,60,78.26,140
4/22/2021,60,78.26,140
4/29/2021,60,78.26,140
5/6/2021,60,78.26,140
5/20/2021,60,78.67,140
5/27/2021,60,78.67,140
6/3/2021,60,79.08,140
6/10/2021,60,79.08,140
6/17/2021,60,79.16,140
6/24/2021,60,79.45,140
7/1/2021,60,79.45,140
7/8/2021,60,79.88,140
7/15/2021,60,79.88,140
7/29/2021,60,79.88,140
8/5/2021,60,80.52,140
8/12/2021,60,80.52,140
8/26/2021,60,80.52,140
9/2/2021,60,80.52,140
9/9/2021,60,80.52,140
2021-09-16,60.0,80.52,140.0
