Date,Min,Avg,Max
2019-09-05,1095.0,1139.33,1150.0
2019-09-12,1095.0,1139.33,1150.0
2019-09-19,1120.0,1142.33,1150.0
2019-09-26,1120.0,1144.95,1170.0
2019-10-03,1120.0,1144.95,1170.0
2019-10-10,1120.0,1146.98,1180.0
2019-10-17,1120.0,1146.98,1180.0
2019-10-24,1120.0,1146.98,1180.0
2019-10-31,1120.0,1146.98,1180.0
2019-11-07,1120.0,1146.98,1180.0
2019-11-14,1120.0,1155.36,1180.0
2019-11-21,1120.0,1155.76,1180.0
2019-11-28,1120.0,1155.76,1180.0
2019-12-05,1120.0,1157.23,1180.0
2019-12-12,1125.0,1166.09,1185.0
2019-12-19,1150.0,1170.56,1185.0
2019-12-26,1160.0,1171.75,1185.0
2020-01-02,1170.0,1177.02,1200.0
2020-01-09,1170.0,1179.36,1200.0
2020-01-16,1170.0,1181.12,1200.0
2020-01-23,1170.0,1181.12,1200.0
2020-01-30,1170.0,1206.69,1300.0
2020-02-06,1170.0,1271.65,1300.0
2020-02-13,1270.0,1298.22,1300.0
2020-02-20,1270.0,1298.22,1300.0
2020-02-27,1270.0,1298.22,1300.0
2020-03-05,1270.0,1298.22,1300.0
2020-03-12,1270.0,1298.22,1300.0
2020-03-19,1270.0,1298.22,1300.0
2020-03-26,1270.0,1298.22,1300.0
2020-04-02,1240.0,1287.44,1300.0
2020-04-09,1220.0,1282.63,1300.0
2020-04-16,1220.0,1282.63,1300.0
2020-04-23,1220.0,1275.52,1300.0
2020-04-30,1220.0,1275.52,1300.0
2020-05-07,1220.0,1275.52,1300.0
2020-05-14,1220.0,1275.52,1300.0
2020-05-21,1220.0,1277.28,1300.0
2020-05-28,1220.0,1277.28,1300.0
2020-06-04,1220.0,1277.28,1300.0
2020-06-11,1240.0,1278.5,1300.0
2020-06-18,1240.0,1278.5,1300.0
2020-06-25,1240.0,1278.5,1300.0
2020-07-02,1240.0,1278.5,1300.0
2020-07-09,1220.0,1268.98,1300.0
2020-07-16,1220.0,1265.46,1300.0
2020-07-23,1220.0,1265.46,1300.0
2020-07-29,1220.0,1265.46,1300.0
2020-08-06,1220.0,1261.95,1300.0
2020-08-13,1220.0,1260.6,1300.0
2020-08-20,1220.0,1251.54,1300.0
2020-08-27,1220.0,1253.01,1300.0
2020-09-03,1220.0,1254.54,1300.0
2020-09-10,1220.0,1255.08,1300.0
2020-09-17,1220.0,1259.51,1300.0
2020-09-24,1220.0,1262.47,1300.0
2020-10-01,1240.0,1263.47,1300.0
2020-10-08,1240.0,1264.36,1300.0
2020-10-15,1265.0,1267.03,1300.0
2020-10-22,1265.0,1267.03,1300.0
2020-10-29,1265.0,1267.03,1300.0
2020-11-05,1265.0,1265.0,1265.0
2020-11-12,1265.0,1265.0,1265.0
2020-11-19,1265.0,1265.0,1265.0
2020-11-26,1265.0,1265.0,1265.0
2020-12-03,1265.0,1272.0,1295.0
2020-12-10,1265.0,1275.51,1295.0
2020-12-17,1265.0,1282.56,1295.0
2020-12-24,1265.0,1286.1,1295.0
2020-12-31,1265.0,1293.57,1355.0
2021-01-07,1255.0,1313.08,1355.0
2021-01-14,1295.0,1340.97,1355.0
2021-01-21,1320.0,1375.69,1495.0
2021-01-28,1320.0,1432.22,1495.0
2021-02-04,1335.0,1468.0,1495.0
2021-02-11,1495.0,1495.0,1495.0
2021-02-18,1495.0,1495.0,1495.0
2021-02-25,1495.0,1495.0,1495.0
2021-03-04,1495.0,1495.0,1495.0
2021-03-11,1495.0,1495.0,1495.0
2021-03-18,1495.0,1500.23,1540.0
2021-03-25,1495.0,1510.73,1540.0
2021-04-01,1495.0,1529.29,1540.0
2021-04-08,1495.0,1534.05,1540.0
2021-04-15,1540.0,1540.0,1540.0
2021-04-22,1540.0,1540.0,1540.0
2021-04-29,1540.0,1540.0,1540.0
2021-05-06,1540.0,1540.0,1540.0
2021-05-20,1540.0,1540.0,1540.0
2021-05-27,1540.0,1540.0,1540.0
2021-06-03,1540.0,1540.0,1540.0
2021-06-10,1540.0,1540.0,1540.0
2021-06-17,1540.0,1543.47,1600.0
2021-06-24,1540.0,1565.19,1730.0
2021-07-01,1540.0,1565.19,1730.0
2021-07-08,1540.0,1576.23,1730.0
2021-07-15,1540.0,1637.57,1730.0
2021-07-29,1540.0,1657.77,1730.0
2021-08-05,1540.0,1669.0,1730.0
2021-08-12,1540.0,1675.17,1730.0
2021-08-26,1560.0,1689.61,1745.0
2021-09-02,1560.0,1693.32,1745.0
2021-09-09,1650.0,1713.96,1745.0
2021-09-16,1665.0,1738.48,1765.0
2021-09-23,1665.0,1744.17,1765.0
2021-09-30,1665.0,1744.17,1765.0
2021-10-07,1665.0,1744.17,1765.0
