Date,Min,Avg,Max
9/5/2019,1145,1145,1145
9/12/2019,1145,1145,1145
9/19/2019,1145,1145,1145
9/26/2019,1145,1145,1145
10/3/2019,1145,1145,1145
10/10/2019,1180,1180,1180
10/17/2019,1180,1180,1180
10/24/2019,1180,1180,1180
10/31/2019,1180,1180,1180
11/7/2019,1180,1180,1180
11/14/2019,1180,1180,1180
11/21/2019,1180,1180,1180
11/28/2019,1180,1180,1180
12/5/2019,1180,1180,1180
12/12/2019,1185,1185,1185
12/19/2019,1185,1185,1185
12/26/2019,1185,1185,1185
1/2/2020,1200,1200,1200
1/9/2020,1200,1200,1200
1/16/2020,1200,1200,1200
1/23/2020,1200,1200,1200
1/30/2020,1200,1200,1200
2/6/2020,1300,1300,1300
2/13/2020,1300,1300,1300
2/20/2020,1300,1300,1300
2/27/2020,1300,1300,1300
3/5/2020,1300,1300,1300
3/12/2020,1300,1300,1300
3/19/2020,1300,1300,1300
3/26/2020,1300,1300,1300
4/2/2020,1300,1300,1300
4/9/2020,1300,1300,1300
4/16/2020,1300,1300,1300
4/23/2020,1300,1300,1300
4/30/2020,1300,1300,1300
5/7/2020,1300,1300,1300
5/14/2020,1300,1300,1300
5/21/2020,1300,1300,1300
5/28/2020,1300,1300,1300
6/4/2020,1300,1300,1300
6/11/2020,1300,1300,1300
6/18/2020,1300,1300,1300
6/25/2020,1300,1300,1300
7/2/2020,1300,1300,1300
7/9/2020,1300,1300,1300
7/16/2020,1300,1300,1300
7/23/2020,1300,1300,1300
7/29/2020,1300,1300,1300
8/6/2020,1300,1300,1300
8/13/2020,1300,1300,1300
8/20/2020,1300,1300,1300
8/27/2020,1300,1300,1300
9/3/2020,1300,1300,1300
9/10/2020,1300,1300,1300
9/17/2020,1300,1300,1300
9/24/2020,1300,1300,1300
10/1/2020,1265,1265,1265
10/8/2020,1265,1265,1265
10/15/2020,1265,1265,1265
10/22/2020,1265,1265,1265
10/29/2020,1265,1265,1265
11/5/2020,1265,1265,1265
11/12/2020,1265,1265,1265
11/19/2020,1265,1265,1265
11/26/2020,1265,1265,1265
12/3/2020,1265,1265,1265
12/10/2020,1265,1265,1265
12/17/2020,1265,1265,1265
12/24/2020,1265,1265,1265
12/31/2020,1275,1275,1275
1/7/2021,1295,1295,1295
1/14/2021,1355,1355,1355
1/21/2021,1360,1360,1360
1/28/2021,1495,1495,1495
2/4/2021,1495,1495,1495
2/11/2021,1495,1495,1495
2/18/2021,1495,1495,1495
2/25/2021,1495,1495,1495
3/4/2021,1495,1495,1495
3/11/2021,1495,1495,1495
3/18/2021,1540,1540,1540
3/25/2021,1540,1540,1540
4/1/2021,1540,1540,1540
4/8/2021,1540,1540,1540
4/15/2021,1540,1540,1540
4/22/2021,1540,1540,1540
4/29/2021,1540,1540,1540
5/6/2021,1540,1540,1540
5/20/2021,1540,1540,1540
5/27/2021,1540,1540,1540
6/3/2021,1540,1540,1540
6/10/2021,1540,1540,1540
6/17/2021,1540,1540,1540
6/24/2021,1570,1570,1570
7/1/2021,1570,1570,1570
7/8/2021,1570,1570,1570
7/15/2021,1665,1665,1665
7/29/2021,1665,1665,1665
8/5/2021,1665,1665,1665
8/12/2021,1665,1665,1665
8/26/2021,1745,1745,1745
9/2/2021,1745,1745,1745
9/9/2021,1745,1745,1745
