Date,Min,Avg,Max
2019-09-05,80.0,107.79,160.0
2019-09-12,80.0,107.92,160.0
2019-09-19,80.0,107.97,160.0
2019-09-26,80.0,108.16,160.0
2019-10-03,80.0,108.41,160.0
2019-10-10,80.0,108.41,160.0
2019-10-17,80.0,108.41,160.0
2019-10-24,80.0,107.75,160.0
2019-10-31,80.0,107.43,160.0
2019-11-07,80.0,107.43,160.0
2019-11-14,80.0,107.43,160.0
2019-11-21,80.0,107.43,160.0
2019-11-28,80.0,107.43,160.0
2019-12-05,80.0,107.43,160.0
2019-12-12,80.0,107.63,160.0
2019-12-19,80.0,107.78,160.0
2019-12-26,80.0,107.78,160.0
2020-01-02,80.0,107.78,160.0
2020-01-09,80.0,107.78,160.0
2020-01-16,80.0,107.78,160.0
2020-01-23,80.0,107.78,160.0
2020-01-30,80.0,107.79,160.0
2020-02-06,80.0,107.79,160.0
2020-02-13,80.0,107.86,160.0
2020-02-20,80.0,107.99,160.0
2020-02-27,80.0,108.13,160.0
2020-03-05,80.0,108.2,160.0
2020-03-12,80.0,109.72,160.0
2020-03-19,80.0,109.99,160.0
2020-03-26,80.0,110.03,160.0
2020-04-02,80.0,107.2,160.0
2020-04-09,80.0,107.2,160.0
2020-04-16,80.0,107.26,160.0
2020-04-23,80.0,108.46,160.0
2020-04-30,80.0,109.63,160.0
2020-05-07,80.0,108.55,160.0
2020-05-14,80.0,109.58,160.0
2020-05-21,80.0,109.99,160.0
2020-05-28,80.0,110.03,160.0
2020-06-04,80.0,110.6,160.0
2020-06-11,80.0,111.22,160.0
2020-06-18,80.0,111.66,160.0
2020-06-25,80.0,111.66,160.0
2020-07-02,80.0,111.66,160.0
2020-07-09,80.0,111.66,160.0
2020-07-16,80.0,113.94,180.0
2020-07-23,80.0,115.94,180.0
2020-07-29,80.0,116.9,180.0
2020-08-06,90.0,117.79,180.0
2020-08-13,90.0,118.42,180.0
2020-08-20,90.0,118.59,180.0
2020-08-27,90.0,118.33,180.0
2020-09-03,90.0,118.8,180.0
2020-09-10,90.0,119.43,180.0
2020-09-17,90.0,119.56,180.0
2020-09-24,90.0,119.7,180.0
2020-10-01,90.0,119.7,180.0
2020-10-08,90.0,120.32,180.0
2020-10-15,90.0,120.44,180.0
2020-10-22,90.0,120.69,180.0
2020-10-29,90.0,120.69,180.0
2020-11-05,90.0,120.69,180.0
2020-11-12,90.0,120.87,180.0
2020-11-19,90.0,120.01,180.0
2020-11-26,90.0,120.01,180.0
2020-12-03,90.0,121.08,180.0
2020-12-10,90.0,121.02,180.0
2020-12-17,90.0,121.02,180.0
2020-12-24,90.0,121.64,180.0
2020-12-31,90.0,121.64,180.0
2021-01-07,90.0,121.84,180.0
2021-01-14,90.0,121.84,180.0
2021-01-21,90.0,121.84,180.0
2021-01-28,90.0,121.84,180.0
2021-02-04,90.0,121.84,180.0
2021-02-11,90.0,121.84,180.0
2021-02-18,90.0,121.88,180.0
2021-02-25,90.0,121.88,180.0
2021-03-04,90.0,122.45,200.0
2021-03-11,90.0,123.82,200.0
2021-03-18,90.0,123.99,200.0
2021-03-25,90.0,124.27,200.0
2021-04-01,90.0,124.5,200.0
2021-04-08,90.0,124.57,200.0
2021-04-15,90.0,124.57,200.0
2021-04-22,90.0,124.76,200.0
2021-04-29,90.0,124.76,200.0
2021-05-06,90.0,125.46,200.0
2021-05-20,90.0,125.67,200.0
2021-05-27,100.0,126.33,200.0
2021-06-03,100.0,127.0,200.0
2021-06-10,100.0,127.67,200.0
2021-06-17,100.0,127.74,200.0
2021-06-24,100.0,127.74,200.0
2021-07-01,100.0,127.74,200.0
2021-07-08,100.0,127.93,200.0
2021-07-15,100.0,128.15,200.0
2021-07-29,100.0,128.22,200.0
2021-08-05,100.0,128.56,200.0
2021-08-12,100.0,128.75,200.0
2021-08-26,100.0,129.51,200.0
2021-09-02,100.0,129.51,200.0
2021-09-09,100.0,129.57,200.0
2021-09-16,100.0,129.64,200.0
2021-09-23,100.0,129.74,200.0
2021-09-30,100.0,129.74,200.0
2021-10-07,100.0,129.74,200.0
2021-10-14,100.0,129.74,200.0
2021-10-21,100.0,129.74,200.0
2021-10-28,100.0,129.74,200.0
2021-12-02,100.0,129.74,200.0
2021-11-04,100.0,129.74,200.0
2021-11-11,100.0,129.74,200.0
2021-11-18,100.0,129.74,200.0
