Date,Min,Avg,Max
2019-09-05,92.0,92.0,92.0
2019-09-12,94.0,94.0,94.0
2019-09-19,100.0,100.0,100.0
2019-09-26,98.0,98.0,98.0
2019-10-03,108.0,108.0,108.0
2019-10-10,118.0,118.0,118.0
2019-10-17,114.0,114.0,114.0
2019-10-24,114.0,114.0,114.0
2019-10-31,112.0,112.0,112.0
2019-11-07,114.0,114.0,114.0
2019-11-14,106.0,106.0,106.0
2019-11-21,106.0,106.0,106.0
2019-11-28,106.0,106.0,106.0
2019-12-05,106.0,106.0,106.0
2019-12-12,120.0,120.0,120.0
2019-12-19,132.0,132.0,132.0
2019-12-26,130.0,130.0,130.0
2020-01-02,135.0,135.33,136.0
2020-01-09,140.0,140.0,140.0
2020-01-16,128.0,128.0,128.0
2020-01-23,120.0,120.0,120.0
2020-01-30,100.0,100.0,100.0
2020-02-06,90.0,92.65,94.0
2020-02-13,90.0,90.0,90.0
2020-02-20,88.0,88.0,88.0
2020-02-27,80.0,80.0,80.0
2020-03-05,94.0,94.0,94.0
2020-03-12,106.0,106.0,106.0
2020-03-19,98.0,98.0,98.0
2020-03-26,134.0,134.0,134.0
2020-04-02,112.0,112.0,112.0
2020-04-09,116.0,116.0,116.0
2020-04-16,106.0,106.0,106.0
2020-04-23,104.0,104.0,104.0
2020-04-30,90.0,90.0,90.0
2020-05-07,80.0,80.0,80.0
2020-05-14,84.0,84.0,84.0
2020-05-21,90.0,90.0,90.0
2020-05-28,90.0,90.0,90.0
2020-06-04,112.0,112.0,112.0
2020-06-11,115.0,115.0,115.0
2020-06-18,118.0,118.0,118.0
2020-06-25,120.0,120.0,120.0
2020-07-02,124.0,124.0,124.0
2020-07-09,126.0,126.0,126.0
2020-07-16,128.0,128.0,128.0
2020-07-23,130.0,130.0,130.0
2020-07-29,134.0,134.0,134.0
2020-08-06,134.0,134.0,134.0
2020-08-13,125.0,125.0,125.0
2020-08-20,110.0,110.0,110.0
2020-08-27,115.0,115.0,115.0
2020-09-03,126.0,126.0,126.0
2020-09-10,126.0,126.0,126.0
2020-09-17,137.0,137.0,137.0
2020-09-24,135.0,135.0,135.0
2020-10-01,140.0,140.0,140.0
2020-10-08,152.0,152.0,152.0
2020-10-15,165.0,165.0,165.0
2020-10-22,165.0,165.0,165.0
2020-10-29,162.0,162.0,162.0
2020-11-05,162.0,162.99,165.0
2020-11-12,160.0,160.0,160.0
2020-11-19,165.0,165.0,165.0
2020-11-26,174.0,174.0,174.0
2020-12-03,184.0,184.0,184.0
2020-12-10,188.0,188.0,188.0
2020-12-17,195.0,195.0,195.0
2020-12-24,196.0,196.0,196.0
2020-12-31,198.0,198.0,198.0
2021-01-07,182.0,182.0,182.0
2021-01-14,152.0,152.0,152.0
2021-01-21,144.0,144.0,144.0
2021-01-28,136.0,136.0,136.0
2021-02-04,134.0,134.0,134.0
2021-02-11,148.0,148.0,148.0
2021-02-18,140.0,140.0,140.0
2021-02-25,146.0,146.0,146.0
2021-03-04,148.0,148.0,148.0
2021-03-11,170.0,170.0,170.0
2021-03-18,165.0,165.0,165.0
2021-03-25,165.0,165.0,165.0
2021-04-01,165.0,165.0,165.0
2021-04-08,160.0,160.0,160.0
2021-04-15,160.0,160.0,160.0
2021-04-22,140.0,140.0,140.0
2021-04-29,140.0,140.0,140.0
2021-05-06,128.0,128.0,128.0
2021-05-20,144.0,144.0,144.0
2021-05-27,148.0,148.0,148.0
2021-06-03,150.0,150.0,150.0
2021-06-10,150.0,150.0,150.0
2021-06-17,146.0,146.0,146.0
2021-06-24,150.0,150.0,150.0
2021-07-01,150.0,150.0,150.0
2021-07-08,145.0,145.0,145.0
2021-07-15,154.0,154.0,154.0
2021-07-29,157.0,157.0,157.0
2021-08-05,152.0,152.0,152.0
2021-08-12,150.0,150.0,150.0
2021-08-26,156.0,156.0,156.0
2021-09-02,162.0,162.0,162.0
2021-09-09,176.0,176.0,176.0
2021-09-16,176.0,176.0,176.0
2021-09-23,180.0,180.0,180.0
2021-09-30,180.0,180.0,180.0
2021-10-07,180.0,180.0,180.0
