Date,Min,Avg,Max
2019-09-05,90.0,95.7,100.0
2019-09-12,90.0,92.4,100.0
2019-09-19,90.0,96.55,100.0
2019-09-26,90.0,93.22,100.0
2019-10-03,100.0,103.23,110.0
2019-10-10,110.0,111.64,115.0
2019-10-17,110.0,113.24,120.0
2019-10-24,115.0,116.64,120.0
2019-10-31,115.0,116.64,120.0
2019-11-07,115.0,116.64,120.0
2019-11-14,115.0,116.64,120.0
2019-11-21,110.0,113.24,120.0
2019-11-28,110.0,113.24,120.0
2019-12-05,110.0,113.24,120.0
2019-12-12,115.0,119.15,120.0
2019-12-19,120.0,122.43,130.0
2019-12-26,125.0,126.64,130.0
2020-01-02,130.0,131.62,140.0
2020-01-09,130.0,133.25,140.0
2020-01-16,130.0,137.43,140.0
2020-01-23,125.0,130.33,140.0
2020-01-30,110.0,120.66,130.0
2020-02-06,110.0,113.24,120.0
2020-02-13,100.0,106.41,120.0
2020-02-20,90.0,93.22,100.0
2020-02-27,80.0,83.2,90.0
2020-03-05,80.0,83.2,90.0
2020-03-12,90.0,96.55,100.0
2020-03-19,90.0,99.13,100.0
2020-03-26,120.0,126.58,130.0
2020-04-02,120.0,126.58,130.0
2020-04-09,120.0,126.58,130.0
2020-04-16,110.0,113.24,120.0
2020-04-23,100.0,103.23,110.0
2020-04-30,90.0,91.59,100.0
2020-05-07,90.0,92.4,100.0
2020-05-14,90.0,92.4,100.0
2020-05-21,90.0,92.4,100.0
2020-05-28,90.0,93.22,100.0
2020-06-04,100.0,103.23,110.0
2020-06-11,115.0,116.64,120.0
2020-06-18,115.0,116.64,120.0
2020-06-25,120.0,121.64,125.0
2020-07-02,110.0,113.24,120.0
2020-07-09,120.0,123.24,130.0
2020-07-16,120.0,123.24,130.0
2020-07-23,120.0,126.58,130.0
2020-07-29,130.0,132.43,140.0
2020-08-06,130.0,133.25,140.0
2020-08-13,130.0,136.58,140.0
2020-08-20,120.0,123.24,130.0
2020-08-27,120.0,123.24,130.0
2020-09-03,120.0,123.24,130.0
2020-09-10,120.0,123.24,130.0
2020-09-17,130.0,133.25,140.0
2020-09-24,140.0,143.26,150.0
2020-10-01,140.0,146.59,150.0
2020-10-08,150.0,152.44,160.0
2020-10-15,165.0,166.65,170.0
2020-10-22,170.0,171.63,180.0
2020-10-29,170.0,175.36,180.0
2020-11-05,170.0,175.36,180.0
2020-11-12,170.0,177.04,180.0
2020-11-19,180.0,180.82,185.0
2020-11-26,180.0,183.27,190.0
2020-12-03,185.0,188.74,190.0
2020-12-10,185.0,189.16,190.0
2020-12-17,195.0,198.32,200.0
2020-12-24,200.0,208.3,210.0
2020-12-31,200.0,208.3,210.0
2021-01-07,210.0,212.46,220.0
2021-01-14,170.0,180.77,190.0
2021-01-21,160.0,164.92,170.0
2021-01-28,140.0,144.08,150.0
2021-02-04,140.0,147.43,150.0
2021-02-11,140.0,149.1,155.0
2021-02-18,140.0,149.1,155.0
2021-02-25,140.0,148.29,150.0
2021-03-04,150.0,153.26,160.0
2021-03-11,160.0,162.48,165.0
2021-03-18,160.0,163.29,170.0
2021-03-25,165.0,169.98,175.0
2021-04-01,165.0,167.32,170.0
2021-04-08,160.0,164.97,170.0
2021-04-15,160.0,164.97,170.0
2021-04-22,150.0,154.95,160.0
2021-04-29,140.0,142.48,145.0
2021-05-06,130.0,134.91,140.0
2021-05-20,145.0,149.97,155.0
2021-05-27,150.0,152.44,160.0
2021-06-03,150.0,157.05,160.0
2021-06-10,150.0,157.05,160.0
2021-06-17,150.0,157.05,160.0
2021-06-24,150.0,157.05,160.0
2021-07-01,150.0,157.05,160.0
2021-07-08,160.0,162.86,170.0
2021-07-15,160.0,162.46,170.0
2021-07-29,170.0,170.82,175.0
2021-08-05,160.0,166.6,170.0
2021-08-12,160.0,166.6,170.0
2021-08-26,160.0,162.44,170.0
2021-09-02,160.0,165.76,170.0
2021-09-09,170.0,172.05,180.0
2021-09-16,170.0,176.6,180.0
2021-09-23,170.0,177.45,180.0
2021-09-30,170.0,177.45,180.0
2021-10-07,170.0,177.45,180.0
2021-10-14,170.0,177.45,180.0
