Date,Min,Avg,Max
2021-07-29,165.0,168.74,170.0
2021-07-15,160.0,162.86,170.0
2021-07-08,157.0,159.5,160.0
2021-07-01,155.0,159.16,160.0
2021-06-24,153.0,155.9,160.0
2021-06-17,154.0,155.24,160.0
2021-06-10,154.0,155.65,160.0
2021-06-03,155.0,155.0,155.0
2021-05-27,148.0,150.24,155.0
2021-05-20,146.0,150.07,155.0
2021-05-06,137.0,146.22,160.0
2021-04-29,150.0,152.45,160.0
2021-04-22,155.0,157.9,160.0
2021-04-15,167.0,170.56,180.0
2021-04-08,167.0,170.56,180.0
2021-04-01,167.0,169.75,170.0
2021-03-25,170.0,171.63,180.0
2021-03-18,170.0,170.0,170.0
2021-03-11,170.0,170.0,170.0
2021-03-04,156.0,159.33,160.0
2021-02-25,153.0,155.47,160.0
2021-02-18,150.0,153.68,160.0
2021-02-11,148.0,149.5,150.0
2021-02-04,140.0,143.76,150.0
2021-01-28,138.0,143.1,150.0
2021-01-21,153.0,158.98,160.0
2021-01-14,160.0,162.46,170.0
2021-01-07,197.0,199.32,205.0
2020-12-31,205.0,209.57,215.0
2020-12-24,202.0,207.81,210.0
2020-12-17,198.0,201.88,210.0
2020-12-10,189.0,192.39,200.0
2020-12-03,182.0,185.64,190.0
2020-11-26,176.0,179.74,185.0
2020-11-19,170.0,175.46,180.0
2020-11-12,167.0,171.37,180.0
2020-11-05,170.0,173.27,180.0
2020-10-29,170.0,170.0,170.0
2020-10-22,166.0,169.33,170.0
2020-10-15,163.0,168.15,170.0
2020-10-08,153.0,157.73,160.0
2020-10-01,140.0,142.87,150.0
2020-09-24,139.0,141.96,150.0
2020-09-17,138.0,139.33,140.0
2020-09-10,130.0,132.14,135.0
2020-09-03,128.0,129.5,130.0
2020-08-27,120.0,120.0,120.0
2020-08-20,120.0,121.61,130.0
2020-08-13,125.0,130.85,136.0
2020-08-06,133.0,135.57,140.0
2020-07-29,130.0,132.87,140.0
2020-07-23,130.0,131.23,135.0
2020-07-16,130.0,130.41,135.0
2020-07-09,127.0,131.13,135.0
2020-07-02,125.0,129.15,130.0
2020-06-25,121.0,125.62,130.0
2020-06-18,120.0,122.06,125.0
2020-06-11,116.0,118.99,120.0
2020-06-04,110.0,112.04,120.0
2020-05-28,100.0,100.0,100.0
2020-05-21,100.0,100.0,100.0
2020-05-14,100.0,104.88,110.0
2020-05-07,98.0,101.9,110.0
2020-04-30,90.0,93.35,100.0
2020-04-23,108.0,112.09,120.0
2020-04-16,115.0,117.06,120.0
2020-04-09,120.0,125.04,130.0
2020-04-02,120.0,126.61,130.0
2020-03-26,125.0,128.7,135.0
2020-03-19,100.0,104.85,110.0
2020-03-12,105.0,107.89,110.0
2020-03-05,95.0,99.15,100.0
2020-02-27,85.0,89.46,100.0
2020-02-20,92.0,96.04,100.0
2020-02-13,100.0,104.44,115.0
2020-02-06,105.0,108.29,115.0
2020-01-30,115.0,119.15,120.0
2020-01-23,120.0,125.88,130.0
2020-01-16,127.0,131.53,140.0
2020-01-09,137.0,139.5,140.0
2020-01-02,135.0,137.48,140.0
2019-12-26,135.0,135.82,140.0
2019-12-19,127.0,129.5,130.0
2019-12-12,120.0,121.64,125.0
2019-12-05,110.0,117.04,120.0
2019-11-28,105.0,110.11,115.0
2019-11-21,111.0,115.62,120.0
2019-11-14,110.0,114.54,120.0
2019-11-07,115.0,118.31,120.0
2019-10-31,115.0,118.31,120.0
2019-10-24,117.0,119.49,120.0
2019-10-17,115.0,117.89,120.0
2019-10-10,115.0,117.89,120.0
2019-10-03,110.0,111.62,120.0
2019-09-26,100.0,105.61,110.0
2019-09-19,100.0,101.62,110.0
2019-09-12,94.0,98.64,100.0
2019-09-05,94.0,98.64,100.0
2021-08-06,160.0,164.92,170.0
2021-08-12,153.0,158.56,160.0
