Date,Min,Avg,Max
2019-09-05,90.0,92.19,100.0
2019-09-12,90.0,92.49,100.0
2019-09-19,90.0,99.28,100.0
2019-09-26,90.0,99.51,105.0
2019-10-03,103.0,109.16,110.0
2019-10-10,110.0,113.0,115.0
2019-10-17,115.0,119.3,120.0
2019-10-24,118.0,119.82,120.0
2019-10-31,115.0,119.26,120.0
2019-11-07,115.0,118.95,120.0
2019-11-14,110.0,118.15,120.0
2019-11-21,115.0,118.52,120.0
2019-11-28,112.0,116.71,120.0
2019-12-05,110.0,115.21,120.0
2019-12-12,120.0,120.0,120.0
2019-12-19,125.0,126.19,130.0
2019-12-26,128.0,129.88,130.0
2020-01-02,130.0,130.59,140.0
2020-01-09,135.0,138.71,140.0
2020-01-16,138.0,139.82,140.0
2020-01-23,128.0,131.73,140.0
2020-01-30,115.0,119.16,130.0
2020-02-06,100.0,102.5,110.0
2020-02-13,95.0,101.3,110.0
2020-02-20,95.0,97.54,100.0
2020-02-27,85.0,87.84,90.0
2020-03-05,90.0,90.59,95.0
2020-03-12,95.0,99.78,105.0
2020-03-19,100.0,105.39,110.0
2020-03-26,125.0,129.68,135.0
2020-04-02,120.0,126.74,130.0
2020-04-09,120.0,120.45,125.0
2020-04-16,112.0,119.06,125.0
2020-04-23,100.0,109.36,120.0
2020-04-30,90.0,97.48,100.0
2020-05-07,85.0,96.45,100.0
2020-05-14,95.0,98.15,100.0
2020-05-21,93.0,97.96,100.0
2020-05-28,95.0,99.84,100.0
2020-06-04,110.0,110.45,115.0
2020-06-11,116.0,119.75,120.0
2020-06-18,115.0,120.17,125.0
2020-06-25,110.0,120.71,125.0
2020-07-02,115.0,123.29,130.0
2020-07-09,125.0,128.6,135.0
2020-07-16,130.0,130.75,135.0
2020-07-23,130.0,132.05,140.0
2020-07-29,130.0,133.74,140.0
2020-08-06,135.0,138.68,140.0
2020-08-13,135.0,139.11,140.0
2020-08-20,120.0,124.45,130.0
2020-08-27,120.0,122.67,130.0
2020-09-03,125.0,128.59,130.0
2020-09-10,130.0,134.57,140.0
2020-09-17,140.0,140.0,140.0
2020-09-24,135.0,141.7,145.0
2020-10-01,144.0,145.12,150.0
2020-10-08,150.0,152.21,160.0
2020-10-15,160.0,162.65,165.0
2020-10-22,165.0,166.08,170.0
2020-10-29,165.0,169.14,170.0
2020-11-05,165.0,169.51,175.0
2020-11-12,170.0,171.2,175.0
2020-11-19,170.0,174.59,180.0
2020-11-26,175.0,178.35,180.0
2020-12-03,180.0,184.89,190.0
2020-12-10,189.0,190.42,195.0
2020-12-17,195.0,198.35,200.0
2020-12-24,200.0,204.04,210.0
2020-12-31,205.0,208.41,210.0
2021-01-07,205.0,208.32,210.0
2021-01-14,178.0,180.41,190.0
2021-01-21,150.0,159.06,160.0
2021-01-28,150.0,150.29,160.0
2021-02-04,140.0,145.9,150.0
2021-02-11,140.0,150.04,155.0
2021-02-18,150.0,157.84,160.0
2021-02-25,150.0,151.03,160.0
2021-03-04,150.0,152.68,160.0
2021-03-11,155.0,160.74,165.0
2021-03-18,160.0,164.67,170.0
2021-03-25,160.0,164.97,170.0
2021-04-01,160.0,167.09,170.0
2021-04-08,165.0,168.77,170.0
2021-04-15,160.0,166.03,170.0
2021-04-22,155.0,161.17,170.0
2021-04-29,150.0,153.29,160.0
2021-05-06,140.0,145.33,160.0
2021-05-20,140.0,148.6,150.0
2021-05-27,145.0,149.85,150.0
2021-06-03,150.0,153.59,160.0
2021-06-10,150.0,155.57,160.0
2021-06-17,150.0,155.27,160.0
2021-06-24,155.0,157.25,160.0
2021-07-01,155.0,157.4,160.0
2021-07-08,160.0,160.89,170.0
2021-07-15,160.0,161.78,170.0
2021-07-29,165.0,168.32,170.0
2021-08-05,160.0,165.71,170.0
2021-08-12,155.0,161.62,170.0
2021-08-26,160.0,164.19,170.0
2021-09-02,160.0,166.92,170.0
2021-09-09,170.0,172.68,180.0
2021-09-16,175.0,179.39,180.0
2021-09-23,175.0,179.53,185.0
2021-09-30,175.0,179.53,185.0
2021-10-07,175.0,179.53,185.0
2021-10-14,175.0,179.53,185.0
2021-10-21,175.0,179.53,185.0
2021-10-28,175.0,179.53,185.0
2021-12-02,175.0,179.53,185.0
2021-11-04,175.0,179.53,185.0
2021-11-11,175.0,179.53,185.0
2021-11-18,175.0,179.53,185.0
2021-11-25,175.0,179.53,185.0
2021-12-08,175.0,179.53,185.0
2021-12-15,175.0,179.53,185.0
