Date,Min,Avg,Max
2019-09-05,100.0,104.92,110.0
2019-09-12,105.0,109.92,115.0
2019-09-19,110.0,114.93,120.0
2019-09-26,110.0,114.93,120.0
2019-10-03,110.0,114.93,120.0
2019-10-10,110.0,114.93,120.0
2019-10-17,110.0,114.93,120.0
2019-10-24,115.0,119.93,125.0
2019-10-31,120.0,124.93,130.0
2019-11-07,120.0,124.93,130.0
2019-11-14,130.0,134.94,140.0
2019-11-21,130.0,134.94,140.0
2019-11-28,130.0,134.94,140.0
2019-12-05,130.0,134.94,140.0
2019-12-12,130.0,134.94,140.0
2019-12-19,130.0,134.94,140.0
2019-12-26,130.0,134.94,140.0
2020-01-02,130.0,134.94,140.0
2020-01-09,135.0,139.94,145.0
2020-01-16,135.0,139.94,145.0
2020-01-23,135.0,139.94,145.0
2020-01-30,135.0,139.94,145.0
2020-02-06,130.0,134.94,140.0
2020-02-13,130.0,134.94,140.0
2020-02-20,120.0,124.93,130.0
2020-02-27,110.0,114.93,120.0
2020-03-05,110.0,114.93,120.0
2020-03-12,110.0,114.93,120.0
2020-03-19,110.0,114.93,120.0
2020-03-26,110.0,114.93,120.0
2020-04-02,120.0,124.93,130.0
2020-04-09,120.0,124.93,130.0
2020-04-16,120.0,124.93,130.0
2020-04-23,120.0,124.93,130.0
2020-04-30,115.0,119.93,125.0
2020-05-07,110.0,114.93,120.0
2020-05-14,110.0,114.93,120.0
2020-05-21,100.0,104.92,110.0
2020-05-28,100.0,104.92,110.0
2020-06-04,100.0,104.92,110.0
2020-06-11,100.0,104.92,110.0
2020-06-18,105.0,109.92,115.0
2020-06-25,110.0,114.93,120.0
2020-07-02,120.0,124.93,130.0
2020-07-09,120.0,124.93,130.0
2020-07-16,130.0,134.94,140.0
2020-07-23,130.0,134.94,140.0
2020-07-29,130.0,134.94,140.0
2020-08-06,130.0,134.94,140.0
2020-08-13,130.0,134.94,140.0
2020-08-20,120.0,124.93,130.0
2020-08-27,120.0,124.93,130.0
2020-09-03,130.0,134.94,140.0
2020-09-10,130.0,134.94,140.0
2020-09-17,140.0,144.94,150.0
2020-09-24,140.0,144.94,150.0
2020-10-01,140.0,144.94,150.0
2020-10-08,170.0,174.95,180.0
2020-10-15,175.0,179.98,185.0
2020-10-22,180.0,184.95,190.0
2020-10-29,180.0,184.95,190.0
2020-11-05,180.0,184.95,190.0
2020-11-12,175.0,179.95,185.0
2020-11-19,185.0,189.96,195.0
2020-11-26,175.0,179.98,185.0
2020-12-03,185.0,189.98,195.0
2020-12-10,210.0,217.47,220.0
2020-12-17,215.0,219.98,225.0
2020-12-24,220.0,224.96,230.0
2020-12-31,220.0,224.96,230.0
2021-01-07,210.0,219.91,230.0
2021-01-14,190.0,194.96,200.0
2021-01-21,170.0,174.95,180.0
2021-01-28,150.0,154.95,160.0
2021-02-04,150.0,154.95,160.0
2021-02-11,150.0,154.95,160.0
2021-02-18,160.0,164.95,170.0
2021-02-25,150.0,154.95,160.0
2021-03-04,150.0,154.95,160.0
2021-03-11,180.0,184.95,190.0
2021-03-18,170.0,174.95,180.0
2021-03-25,180.0,184.95,190.0
2021-04-01,180.0,184.95,190.0
2021-04-08,170.0,174.95,180.0
2021-04-15,170.0,174.95,180.0
2021-04-22,170.0,174.95,180.0
2021-04-29,165.0,169.95,175.0
2021-05-06,160.0,164.95,170.0
2021-05-20,150.0,154.95,160.0
2021-05-27,155.0,159.95,165.0
2021-06-03,160.0,164.95,170.0
2021-06-10,160.0,164.95,170.0
2021-06-17,160.0,164.95,170.0
2021-06-24,160.0,164.95,170.0
2021-07-01,150.0,154.95,160.0
2021-07-08,150.0,154.95,160.0
2021-07-15,160.0,164.95,170.0
2021-07-29,170.0,174.95,180.0
2021-08-05,170.0,174.95,180.0
2021-08-12,170.0,174.95,180.0
2021-08-26,160.0,169.8,180.0
2021-09-02,170.0,174.95,180.0
2021-09-09,180.0,184.95,190.0
2021-09-16,180.0,189.82,200.0
2021-09-23,180.0,189.82,200.0
2021-09-30,180.0,189.82,200.0
