Date,Min,Avg,Max
2019-09-05,90.0,93.31,95.0
2019-09-12,93.0,94.79,100.0
2019-09-19,98.0,99.65,105.0
2019-09-26,100.0,101.31,105.0
2019-10-03,105.0,108.45,110.0
2019-10-10,112.0,114.32,120.0
2019-10-17,113.0,114.85,120.0
2019-10-24,114.0,117.18,120.0
2019-10-31,110.0,113.03,120.0
2019-11-07,113.0,114.39,120.0
2019-11-14,106.0,108.3,115.0
2019-11-21,108.0,109.84,115.0
2019-11-28,102.0,104.64,110.0
2019-12-05,109.0,109.99,115.0
2019-12-12,117.0,119.44,125.0
2019-12-19,124.0,124.67,125.0
2019-12-26,129.0,130.97,140.0
2020-01-02,130.0,131.3,140.0
2020-01-09,134.0,135.72,140.0
2020-01-16,124.0,126.03,135.0
2020-01-23,120.0,120.65,125.0
2020-01-30,112.0,114.97,120.0
2020-02-06,100.0,101.61,110.0
2020-02-13,92.0,95.49,100.0
2020-02-20,89.0,90.36,100.0
2020-02-27,82.0,83.7,90.0
2020-03-05,92.0,93.59,95.0
2020-03-12,100.0,103.09,110.0
2020-03-19,98.0,99.65,105.0
2020-03-26,120.0,122.41,130.0
2020-04-02,116.0,118.45,120.0
2020-04-09,118.0,120.29,130.0
2020-04-16,112.0,114.45,120.0
2020-04-23,102.0,105.27,115.0
2020-04-30,86.0,89.29,95.0
2020-05-07,95.0,97.97,100.0
2020-05-14,95.0,97.63,100.0
2020-05-21,93.0,94.71,100.0
2020-05-28,95.0,97.3,100.0
2020-06-04,109.0,110.96,120.0
2020-06-11,113.0,114.72,120.0
2020-06-18,116.0,118.97,125.0
2020-06-25,118.0,119.52,125.0
2020-07-02,120.0,122.04,130.0
2020-07-09,124.0,127.37,130.0
2020-07-16,125.0,127.58,130.0
2020-07-23,127.0,129.32,135.0
2020-07-29,128.0,129.39,135.0
2020-08-06,130.0,130.33,135.0
2020-08-13,122.0,126.28,130.0
2020-08-20,115.0,116.64,120.0
2020-08-27,115.0,117.71,120.0
2020-09-03,125.0,125.66,130.0
2020-09-10,127.0,128.79,130.0
2020-09-17,135.0,137.58,140.0
2020-09-24,136.0,138.52,140.0
2020-10-01,140.0,140.99,145.0
2020-10-08,150.0,152.24,160.0
2020-10-15,159.0,161.57,170.0
2020-10-22,163.0,165.18,170.0
2020-10-29,164.0,167.04,170.0
2020-11-05,164.0,167.04,170.0
2020-11-12,164.0,167.38,170.0
2020-11-19,168.0,171.59,185.0
2020-11-26,170.0,175.36,185.0
2020-12-03,179.0,181.88,190.0
2020-12-10,186.0,190.87,200.0
2020-12-17,193.0,197.11,200.0
2020-12-24,199.0,201.76,210.0
2020-12-31,202.0,204.78,210.0
2021-01-07,194.0,196.72,200.0
2021-01-14,144.0,151.23,165.0
2021-01-21,150.0,152.59,165.0
2021-01-28,135.0,139.25,150.0
2021-02-04,138.0,141.29,150.0
2021-02-11,145.0,148.98,155.0
2021-02-18,147.0,149.32,155.0
2021-02-25,150.0,152.3,160.0
2021-03-04,153.0,154.72,160.0
2021-03-11,163.0,166.8,180.0
2021-03-18,164.0,167.99,180.0
2021-03-25,164.0,167.99,180.0
2021-04-01,164.0,167.99,180.0
2021-04-08,164.0,167.99,180.0
2021-04-15,164.0,167.99,180.0
2021-04-22,142.0,149.09,160.0
2021-04-29,146.0,150.27,160.0
2021-05-06,134.0,137.76,145.0
2021-05-20,142.0,146.37,150.0
2021-05-27,145.0,147.85,150.0
2021-06-03,148.0,151.42,160.0
2021-06-10,151.0,154.16,160.0
2021-06-17,151.0,154.16,160.0
2021-06-24,150.0,153.82,160.0
2021-07-01,151.0,154.5,160.0
2021-07-08,154.0,156.38,160.0
2021-07-15,156.0,158.93,160.0
2021-07-29,161.0,164.91,170.0
2021-08-05,152.0,156.5,160.0
2021-08-12,150.0,150.99,155.0
2021-08-26,157.0,159.06,160.0
2021-09-02,160.0,163.32,165.0
2021-09-09,166.0,169.12,175.0
2021-09-16,173.0,174.66,180.0
2021-09-23,176.0,178.12,180.0
2021-09-30,176.0,178.12,180.0
2021-10-07,176.0,178.12,180.0
2021-10-14,176.0,178.12,180.0
2021-10-21,176.0,178.12,180.0
2021-10-28,176.0,178.12,180.0
2021-12-02,176.0,178.12,180.0
2021-11-04,176.0,178.12,180.0
2021-11-11,176.0,178.12,180.0
