Date,Min,Avg,Max
9/5/2019,95,95,95
9/12/2019,100,100,100
9/19/2019,100,100,100
9/26/2019,105,105,105
10/3/2019,110,110,110
10/10/2019,120,120,120
10/17/2019,120,120,120
10/24/2019,120,120,120
10/31/2019,115,115,115
11/7/2019,120,120,120
11/14/2019,110,110,110
11/21/2019,110,110,110
11/28/2019,110,110,110
12/5/2019,110,110,110
12/12/2019,120,120,120
12/19/2019,125,125,125
12/26/2019,130,130,130
1/2/2020,130,130,130
1/9/2020,130,130,130
1/16/2020,125,125,125
1/23/2020,120,120,120
1/30/2020,110,110,110
2/6/2020,100,100,100
2/13/2020,100,100,100
2/20/2020,90,90,90
2/27/2020,85,85,85
3/5/2020,90,90,90
3/12/2020,100,100,100
3/19/2020,100,100,100
3/26/2020,125,125,125
4/2/2020,120,120,120
4/9/2020,120,120,120
4/16/2020,120,120,120
4/23/2020,100,100,100
4/30/2020,80,80,80
5/7/2020,90,90,90
5/14/2020,95,95,95
5/21/2020,95,95,95
5/28/2020,100,100,100
6/4/2020,110,110,110
6/11/2020,110,110,110
6/18/2020,120,120,120
6/25/2020,120,120,120
7/2/2020,120,120,120
7/9/2020,125,125,125
7/16/2020,130,130,130
7/23/2020,130,130,130
7/29/2020,130,130,130
8/6/2020,130,130,130
8/13/2020,130,130,130
8/20/2020,120,120,120
8/27/2020,120,120,120
9/3/2020,130,130,130
9/10/2020,130,130,130
9/17/2020,140,140,140
9/24/2020,140,140,140
10/1/2020,140,140,140
10/8/2020,160,160,160
10/15/2020,180,180,180
10/22/2020,170,170,170
10/29/2020,170,170,170
11/5/2020,165,168.32,170
11/12/2020,165,168.32,170
11/19/2020,170,171.65,175
11/26/2020,175,178.32,180
12/3/2020,180,180,180
12/10/2020,200,200,200
12/17/2020,200,200,200
12/24/2020,210,210,210
12/31/2020,210,210,210
1/7/2021,200,200,200
1/14/2021,170,173.27,180
1/21/2021,150,150,150
1/28/2021,135,136.65,140
2/4/2021,130,130,130
2/11/2021,145,145,145
2/18/2021,145,145,145
2/25/2021,150,150,150
3/4/2021,150,150,150
3/11/2021,170,170,170
3/18/2021,170,170,170
3/25/2021,170,170,170
4/1/2021,170,170,170
4/8/2021,170,170,170
4/15/2021,160,160,160
4/22/2021,155,155,155
4/29/2021,140,140,140
5/6/2021,130,130,130
5/20/2021,150,150,150
5/27/2021,150,150,150
6/3/2021,150,150,150
6/10/2021,150,150,150
6/17/2021,150,150,150
6/24/2021,150,150,150
7/1/2021,150,150,150
7/8/2021,150,150,150
7/15/2021,160,160,160
7/29/2021,160,160,160
8/5/2021,160,160,160
8/12/2021,150,150,150
8/26/2021,160,160,160
9/2/2021,165,165,165
9/9/2021,170,170,170
2021-09-16,180.0,180.0,180.0
