Date,Min,Avg,Max
2019-09-05,200.0,200.0,200.0
2019-09-12,200.0,200.0,200.0
2019-09-19,200.0,200.0,200.0
2019-09-26,200.0,200.0,200.0
2019-10-03,200.0,200.0,200.0
2019-10-10,200.0,200.0,200.0
2019-10-17,200.0,200.0,200.0
2019-10-24,200.0,200.0,200.0
2019-10-31,200.0,200.0,200.0
2019-11-07,200.0,200.0,200.0
2019-11-14,200.0,200.0,200.0
2019-11-21,200.0,200.0,200.0
2019-11-28,200.0,200.0,200.0
2019-12-05,200.0,200.0,200.0
2019-12-12,200.0,200.0,200.0
2019-12-19,200.0,200.0,200.0
2019-12-26,230.0,230.0,230.0
2020-01-02,230.0,230.0,230.0
2020-01-09,230.0,230.0,230.0
2020-01-16,230.0,230.0,230.0
2020-01-23,230.0,230.0,230.0
2020-01-30,230.0,230.0,230.0
2020-02-06,230.0,230.0,230.0
2020-02-13,230.0,230.0,230.0
2020-02-20,230.0,230.0,230.0
2020-02-27,230.0,230.0,230.0
2020-03-05,230.0,230.0,230.0
2020-03-12,230.0,230.0,230.0
2020-03-19,230.0,230.0,230.0
2020-03-26,230.0,230.0,230.0
2020-04-02,230.0,230.0,230.0
2020-04-09,230.0,230.0,230.0
2020-04-16,230.0,230.0,230.0
2020-04-23,230.0,230.0,230.0
2020-04-30,230.0,230.0,230.0
2020-05-07,230.0,230.0,230.0
2020-05-14,230.0,230.0,230.0
2020-05-21,230.0,230.0,230.0
2020-05-28,230.0,230.0,230.0
2020-06-04,230.0,230.0,230.0
2020-06-11,230.0,230.0,230.0
2020-06-18,230.0,230.0,230.0
2020-06-25,230.0,230.0,230.0
2020-07-02,230.0,230.0,230.0
2020-07-09,230.0,230.0,230.0
2020-07-16,230.0,230.0,230.0
2020-07-23,230.0,230.0,230.0
2020-07-29,230.0,230.0,230.0
2020-08-06,230.0,230.0,230.0
2020-08-13,230.0,230.0,230.0
2020-08-20,230.0,230.0,230.0
2020-08-27,230.0,230.0,230.0
2020-09-03,230.0,230.0,230.0
2020-09-10,230.0,230.0,230.0
2020-09-17,230.0,230.0,230.0
2020-09-24,230.0,230.0,230.0
2020-10-01,230.0,230.0,230.0
2020-10-08,230.0,230.0,230.0
2020-10-15,230.0,230.0,230.0
2020-10-22,230.0,230.0,230.0
2020-10-29,230.0,230.0,230.0
2020-11-05,230.0,230.0,230.0
2020-11-12,230.0,230.0,230.0
2020-11-19,230.0,230.0,230.0
2020-11-26,230.0,230.0,230.0
2020-12-03,230.0,230.0,230.0
2020-12-10,230.0,230.0,230.0
2020-12-17,230.0,230.0,230.0
2020-12-24,230.0,230.0,230.0
2020-12-31,230.0,230.0,230.0
2021-01-07,230.0,230.0,230.0
2021-01-14,230.0,230.0,230.0
2021-01-21,230.0,230.0,230.0
2021-01-28,230.0,230.0,230.0
2021-02-04,230.0,230.0,230.0
2021-02-11,230.0,230.0,230.0
2021-02-18,230.0,230.0,230.0
2021-02-25,230.0,230.0,230.0
2021-03-04,230.0,230.0,230.0
2021-03-11,230.0,230.0,230.0
2021-03-18,230.0,230.0,230.0
2021-03-25,230.0,230.0,230.0
2021-04-01,230.0,230.0,230.0
2021-04-08,230.0,230.0,230.0
2021-04-15,230.0,230.0,230.0
2021-04-22,230.0,230.0,230.0
2021-04-29,230.0,230.0,230.0
2021-05-06,230.0,230.0,230.0
2021-05-20,230.0,230.0,230.0
2021-05-27,230.0,230.0,230.0
2021-06-03,230.0,230.0,230.0
2021-06-10,230.0,230.0,230.0
2021-06-17,230.0,230.0,230.0
2021-06-24,230.0,230.0,230.0
2021-07-01,230.0,230.0,230.0
2021-07-08,230.0,230.0,230.0
2021-07-15,230.0,230.0,230.0
2021-07-29,230.0,230.0,230.0
2021-08-05,230.0,230.0,230.0
2021-08-12,230.0,230.0,230.0
2021-08-26,230.0,230.0,230.0
2021-09-02,230.0,230.0,230.0
2021-09-09,230.0,230.0,230.0
2021-09-16,230.0,230.0,230.0
2021-09-23,230.0,230.0,230.0
2021-09-30,230.0,230.0,230.0
2021-10-07,230.0,230.0,230.0
2021-10-14,230.0,230.0,230.0
2021-10-21,230.0,230.0,230.0
