Date,Min,Avg,Max
2019-09-05,170.0,170.0,170.0
2019-09-12,170.0,170.0,170.0
2019-09-19,170.0,170.0,170.0
2019-09-26,170.0,170.0,170.0
2019-10-03,170.0,170.0,170.0
2019-10-10,170.0,170.0,170.0
2019-10-17,170.0,170.0,170.0
2019-10-24,170.0,170.0,170.0
2019-10-31,170.0,170.0,170.0
2019-11-07,170.0,170.0,170.0
2019-11-14,170.0,170.0,170.0
2019-11-21,170.0,170.0,170.0
2019-11-28,170.0,170.0,170.0
2019-12-05,170.0,170.0,170.0
2019-12-12,170.0,170.0,170.0
2019-12-19,210.0,210.0,210.0
2019-12-26,210.0,210.0,210.0
2020-01-02,210.0,210.0,210.0
2020-01-09,210.0,210.0,210.0
2020-01-16,210.0,210.0,210.0
2020-01-23,210.0,210.0,210.0
2020-01-30,210.0,210.0,210.0
2020-02-06,210.0,210.0,210.0
2020-02-13,210.0,210.0,210.0
2020-02-20,210.0,210.0,210.0
2020-02-27,210.0,210.0,210.0
2020-03-05,210.0,210.0,210.0
2020-03-12,210.0,210.0,210.0
2020-03-19,210.0,210.0,210.0
2020-03-26,210.0,210.0,210.0
2020-04-02,210.0,210.0,210.0
2020-04-09,210.0,210.0,210.0
2020-04-16,210.0,210.0,210.0
2020-04-23,210.0,210.0,210.0
2020-04-30,210.0,210.0,210.0
2020-05-07,210.0,210.0,210.0
2020-05-14,210.0,210.0,210.0
2020-05-21,210.0,210.0,210.0
2020-05-28,210.0,210.0,210.0
2020-06-04,210.0,210.0,210.0
2020-06-11,210.0,210.0,210.0
2020-06-18,210.0,210.0,210.0
2020-06-25,210.0,210.0,210.0
2020-07-02,210.0,210.0,210.0
2020-07-09,210.0,210.0,210.0
2020-07-16,210.0,210.0,210.0
2020-07-23,210.0,210.0,210.0
2020-07-29,210.0,210.0,210.0
2020-08-06,210.0,210.0,210.0
2020-08-13,210.0,210.0,210.0
2020-08-20,210.0,210.0,210.0
2020-08-27,210.0,210.0,210.0
2020-09-03,210.0,210.0,210.0
2020-09-10,210.0,210.0,210.0
2020-09-17,210.0,210.0,210.0
2020-09-24,210.0,210.0,210.0
2020-10-01,210.0,210.0,210.0
2020-10-08,210.0,210.0,210.0
2020-10-15,210.0,210.0,210.0
2020-10-22,210.0,210.0,210.0
2020-10-29,210.0,210.0,210.0
2020-11-05,210.0,210.0,210.0
2020-11-12,210.0,210.0,210.0
2020-11-19,210.0,210.0,210.0
2020-11-26,210.0,210.0,210.0
2020-12-03,210.0,210.0,210.0
2020-12-10,210.0,210.0,210.0
2020-12-17,210.0,210.0,210.0
2020-12-24,210.0,210.0,210.0
2020-12-31,210.0,210.0,210.0
2021-01-07,210.0,210.0,210.0
2021-01-14,210.0,210.0,210.0
2021-01-21,210.0,210.0,210.0
2021-01-28,210.0,210.0,210.0
2021-02-04,210.0,210.0,210.0
2021-02-11,210.0,210.0,210.0
2021-02-18,210.0,210.0,210.0
2021-02-25,210.0,210.0,210.0
2021-03-04,210.0,210.0,210.0
2021-03-11,210.0,210.0,210.0
2021-03-18,210.0,210.0,210.0
2021-03-25,210.0,210.0,210.0
2021-04-01,210.0,210.0,210.0
2021-04-08,210.0,210.0,210.0
2021-04-15,210.0,210.0,210.0
2021-04-22,210.0,210.0,210.0
2021-04-29,210.0,210.0,210.0
2021-05-06,210.0,210.0,210.0
2021-05-20,210.0,210.0,210.0
2021-05-27,210.0,210.0,210.0
2021-06-03,210.0,210.0,210.0
2021-06-10,210.0,210.0,210.0
2021-06-17,210.0,210.0,210.0
2021-06-24,210.0,210.0,210.0
2021-07-01,210.0,210.0,210.0
2021-07-08,210.0,210.0,210.0
2021-07-15,210.0,210.0,210.0
2021-07-29,210.0,210.0,210.0
2021-08-05,210.0,210.0,210.0
2021-08-12,210.0,210.0,210.0
2021-08-26,210.0,210.0,210.0
2021-09-02,210.0,210.0,210.0
2021-09-09,210.0,210.0,210.0
2021-09-16,210.0,210.0,210.0
2021-09-23,210.0,210.0,210.0
2021-09-30,210.0,210.0,210.0
