Date,Min,Avg,Max
2021-07-29,240.0,240.0,240.0
2021-07-15,240.0,240.0,240.0
2021-07-08,240.0,240.0,240.0
2021-07-01,240.0,240.0,240.0
2021-06-24,240.0,240.0,240.0
2021-06-17,240.0,240.0,240.0
2021-06-10,240.0,240.0,240.0
2021-06-03,240.0,240.0,240.0
2021-05-27,240.0,240.0,240.0
2021-05-20,240.0,240.0,240.0
2021-05-06,240.0,240.0,240.0
2021-04-29,240.0,240.0,240.0
2021-04-22,240.0,240.0,240.0
2021-04-15,240.0,240.0,240.0
2021-04-08,240.0,240.0,240.0
2021-04-01,240.0,240.0,240.0
2021-03-25,240.0,240.0,240.0
2021-03-18,240.0,240.0,240.0
2021-03-11,240.0,240.0,240.0
2021-03-04,240.0,240.0,240.0
2021-02-25,240.0,240.0,240.0
2021-02-18,240.0,240.0,240.0
2021-02-11,240.0,240.0,240.0
2021-02-04,240.0,240.0,240.0
2021-01-28,240.0,240.0,240.0
2021-01-21,230.0,230.0,230.0
2021-01-14,230.0,230.0,230.0
2021-01-07,230.0,230.0,230.0
2020-12-31,230.0,230.0,230.0
2020-12-24,230.0,230.0,230.0
2020-12-17,230.0,230.0,230.0
2020-12-10,230.0,230.0,230.0
2020-12-03,230.0,230.0,230.0
2020-11-26,230.0,230.0,230.0
2020-11-19,230.0,230.0,230.0
2020-11-12,230.0,230.0,230.0
2020-11-05,230.0,230.0,230.0
2020-10-29,230.0,230.0,230.0
2020-10-22,230.0,230.0,230.0
2020-10-15,230.0,230.0,230.0
2020-10-08,230.0,230.0,230.0
2020-10-01,230.0,230.0,230.0
2020-09-24,230.0,230.0,230.0
2020-09-17,230.0,230.0,230.0
2020-09-10,230.0,230.0,230.0
2020-09-03,230.0,230.0,230.0
2020-08-27,230.0,230.0,230.0
2020-08-20,230.0,230.0,230.0
2020-08-13,230.0,230.0,230.0
2020-08-06,230.0,230.0,230.0
2020-07-29,230.0,230.0,230.0
2020-07-23,230.0,230.0,230.0
2020-07-16,230.0,230.0,230.0
2020-07-09,230.0,230.0,230.0
2020-07-02,230.0,230.0,230.0
2020-06-25,230.0,230.0,230.0
2020-06-18,230.0,230.0,230.0
2020-06-11,230.0,230.0,230.0
2020-06-04,230.0,230.0,230.0
2020-05-28,230.0,230.0,230.0
2020-05-21,230.0,230.0,230.0
2020-05-14,230.0,230.0,230.0
2020-05-07,230.0,230.0,230.0
2020-04-30,230.0,230.0,230.0
2020-04-23,230.0,230.0,230.0
2020-04-16,230.0,230.0,230.0
2020-04-09,230.0,230.0,230.0
2020-04-02,230.0,230.0,230.0
2020-03-26,230.0,230.0,230.0
2020-03-19,230.0,230.0,230.0
2020-03-12,230.0,230.0,230.0
2020-03-05,230.0,230.0,230.0
2020-02-27,230.0,230.0,230.0
2020-02-20,230.0,230.0,230.0
2020-02-13,230.0,230.0,230.0
2020-02-06,230.0,230.0,230.0
2020-01-30,230.0,230.0,230.0
2020-01-23,230.0,230.0,230.0
2020-01-16,230.0,230.0,230.0
2020-01-09,230.0,230.0,230.0
2020-01-02,230.0,230.0,230.0
2019-12-26,230.0,230.0,230.0
2019-12-19,230.0,230.0,230.0
2019-12-12,230.0,230.0,230.0
2019-12-05,230.0,230.0,230.0
2019-11-28,230.0,230.0,230.0
2019-11-21,200.0,200.0,200.0
2019-11-14,200.0,200.0,200.0
2019-11-07,200.0,200.0,200.0
2019-10-31,200.0,200.0,200.0
2019-10-24,180.0,189.82,200.0
2019-10-17,180.0,189.82,200.0
2019-10-10,180.0,189.82,200.0
2019-10-03,180.0,189.82,200.0
2019-09-26,180.0,189.82,200.0
2019-09-19,180.0,189.82,200.0
2019-09-12,180.0,189.82,200.0
2019-09-05,180.0,189.82,200.0
2021-08-06,250.0,250.0,250.0
2021-08-12,250.0,250.0,250.0
