Date,Min,Avg,Max
2021-07-29,220.0,220.0,220.0
2021-07-15,220.0,220.0,220.0
2021-07-08,220.0,220.0,220.0
2021-07-01,220.0,220.0,220.0
2021-06-24,220.0,220.0,220.0
2021-06-17,220.0,220.0,220.0
2021-06-10,200.0,200.0,200.0
2021-06-03,200.0,200.0,200.0
2021-05-27,200.0,200.0,200.0
2021-05-20,200.0,200.0,200.0
2021-05-06,200.0,200.0,200.0
2021-04-29,200.0,200.0,200.0
2021-04-22,200.0,200.0,200.0
2021-04-15,200.0,200.0,200.0
2021-04-08,200.0,200.0,200.0
2021-04-01,200.0,200.0,200.0
2021-03-25,200.0,200.0,200.0
2021-03-18,200.0,200.0,200.0
2021-03-11,200.0,200.0,200.0
2021-03-04,200.0,200.0,200.0
2021-02-25,200.0,200.0,200.0
2021-02-18,200.0,200.0,200.0
2021-02-11,200.0,200.0,200.0
2021-02-04,200.0,200.0,200.0
2021-01-28,190.0,190.0,190.0
2021-01-21,190.0,190.0,190.0
2021-01-14,190.0,190.0,190.0
2021-01-07,190.0,190.0,190.0
2020-12-31,190.0,190.0,190.0
2020-12-24,190.0,190.0,190.0
2020-12-17,190.0,190.0,190.0
2020-12-10,190.0,190.0,190.0
2020-12-03,190.0,190.0,190.0
2020-11-26,190.0,190.0,190.0
2020-11-19,190.0,190.0,190.0
2020-11-12,190.0,190.0,190.0
2020-11-05,190.0,190.0,190.0
2020-10-29,190.0,190.0,190.0
2020-10-22,190.0,190.0,190.0
2020-10-15,190.0,190.0,190.0
2020-10-08,190.0,190.0,190.0
2020-10-01,190.0,190.0,190.0
2020-09-24,190.0,190.0,190.0
2020-09-17,190.0,190.0,190.0
2020-09-10,190.0,190.0,190.0
2020-09-03,190.0,190.0,190.0
2020-08-27,190.0,190.0,190.0
2020-08-20,190.0,190.0,190.0
2020-08-13,190.0,190.0,190.0
2020-08-06,190.0,190.0,190.0
2020-07-29,190.0,190.0,190.0
2020-07-23,190.0,190.0,190.0
2020-07-16,190.0,190.0,190.0
2020-07-09,190.0,190.0,190.0
2020-07-02,190.0,190.0,190.0
2020-06-25,190.0,190.0,190.0
2020-06-18,190.0,190.0,190.0
2020-06-11,190.0,190.0,190.0
2020-06-04,190.0,190.0,190.0
2020-05-28,190.0,190.0,190.0
2020-05-21,190.0,190.0,190.0
2020-05-14,190.0,190.0,190.0
2020-05-07,190.0,190.0,190.0
2020-04-30,190.0,190.0,190.0
2020-04-23,190.0,190.0,190.0
2020-04-16,190.0,190.0,190.0
2020-04-09,190.0,190.0,190.0
2020-04-02,190.0,190.0,190.0
2020-03-26,190.0,190.0,190.0
2020-03-19,190.0,190.0,190.0
2020-03-12,190.0,190.0,190.0
2020-03-05,190.0,190.0,190.0
2020-02-27,190.0,190.0,190.0
2020-02-20,190.0,190.0,190.0
2020-02-13,190.0,190.0,190.0
2020-02-06,190.0,190.0,190.0
2020-01-30,190.0,190.0,190.0
2020-01-23,190.0,190.0,190.0
2020-01-16,190.0,190.0,190.0
2020-01-09,190.0,190.0,190.0
2020-01-02,190.0,190.0,190.0
2019-12-26,190.0,190.0,190.0
2019-12-19,190.0,190.0,190.0
2019-12-12,190.0,190.0,190.0
2019-12-05,190.0,190.0,190.0
2019-11-28,190.0,190.0,190.0
2019-11-21,190.0,190.0,190.0
2019-11-14,190.0,190.0,190.0
2019-11-07,190.0,190.0,190.0
2019-10-31,190.0,190.0,190.0
2019-10-24,190.0,190.0,190.0
2019-10-17,190.0,190.0,190.0
2019-10-10,190.0,190.0,190.0
2019-10-03,190.0,190.0,190.0
2019-09-26,190.0,190.0,190.0
2019-09-19,190.0,190.0,190.0
2019-09-12,190.0,190.0,190.0
2019-09-05,190.0,190.0,190.0
2021-08-06,220.0,220.0,220.0
2021-08-12,220.0,220.0,220.0
2021-08-26,220.0,220.0,220.0
