Date,Min,Avg,Max
9/5/2019,500,643.2,850
9/12/2019,500,644.13,850
9/19/2019,500,644.22,850
9/26/2019,500,644.65,850
10/3/2019,500,644.65,850
10/10/2019,500,644.65,850
10/17/2019,500,649.58,850
10/24/2019,500,650.4,850
10/31/2019,500,651.42,850
11/7/2019,500,652.87,850
11/14/2019,500,659.87,850
11/21/2019,500,660.35,850
11/28/2019,500,662.21,850
12/5/2019,500,666.36,850
12/12/2019,500,666.71,850
12/19/2019,500,667.6,850
12/26/2019,500,668.14,850
1/2/2020,500,671.83,900
1/9/2020,500,671.83,900
1/16/2020,500,672.71,900
1/23/2020,500,677.88,900
1/30/2020,500,682.35,900
2/6/2020,500,689.1,950
2/13/2020,500,689.01,950
2/20/2020,500,689.01,950
2/27/2020,500,686.71,950
3/5/2020,500,686.71,950
3/12/2020,500,686.53,950
3/19/2020,500,686.53,950
3/26/2020,500,687.84,950
4/2/2020,500,687.75,950
4/9/2020,500,687.75,950
4/16/2020,500,691.28,950
4/23/2020,500,692.1,950
4/30/2020,500,692.1,950
5/7/2020,500,692.65,950
5/14/2020,500,692.65,950
5/21/2020,500,692.65,950
5/28/2020,500,692.65,950
6/4/2020,500,692.65,950
6/11/2020,500,691.22,950
6/18/2020,500,691.22,950
6/25/2020,500,691.22,950
7/2/2020,500,691.22,950
7/9/2020,500,691.22,950
7/16/2020,500,691.22,950
7/23/2020,500,691.69,950
7/29/2020,500,691.69,950
8/6/2020,500,690.04,900
8/13/2020,500,683.81,900
8/20/2020,500,683.81,900
8/27/2020,500,683.81,900
9/3/2020,500,686.62,900
9/10/2020,500,686.62,900
9/17/2020,500,688.25,900
9/24/2020,500,688.25,900
10/1/2020,500,688.69,900
10/8/2020,500,688.69,900
10/15/2020,500,688.69,900
10/22/2020,500,688.69,900
10/29/2020,500,688.69,900
11/5/2020,500,701.7,1000
11/12/2020,500,702.15,1000
11/19/2020,500,702.15,1000
11/26/2020,500,709.48,1100
12/3/2020,500,717.15,1200
12/10/2020,500,722.42,1200
12/17/2020,500,722.61,1200
12/24/2020,500,728.96,1300
12/31/2020,500,729.78,1300
1/7/2021,500,735.73,1300
1/14/2021,500,740.89,1300
1/21/2021,500,740.61,1300
1/28/2021,500,742.89,1300
2/4/2021,500,743.25,1300
2/11/2021,500,743.25,1300
2/18/2021,500,743.35,1300
2/25/2021,500,743.25,1300
3/4/2021,500,739.56,1200
3/11/2021,500,739.56,1200
3/18/2021,500,742.15,1200
3/25/2021,500,742.15,1200
4/1/2021,500,742.15,1200
4/8/2021,500,732.34,1050
4/15/2021,500,732.34,1050
4/22/2021,500,732.34,1050
4/29/2021,500,732.34,1050
5/6/2021,500,732.34,1050
5/20/2021,500,734.19,1050
5/27/2021,500,734.19,1050
6/3/2021,500,734.19,1050
6/10/2021,500,734.19,1050
6/17/2021,500,734.19,1050
6/24/2021,500,736.76,1050
7/1/2021,500,733.58,1050
7/8/2021,500,733.22,1050
7/15/2021,500,733.22,1050
7/29/2021,500,733.22,1050
8/5/2021,500,733.22,1050
8/12/2021,500,734.05,1050
8/26/2021,500,734.05,1050
9/2/2021,500,734.05,1050
9/9/2021,500,734.05,1050
