Date,Min,Avg,Max
2021-07-29,850.0,850.0,850.0
2021-07-15,850.0,850.0,850.0
2021-07-08,850.0,850.0,850.0
2021-07-01,850.0,850.0,850.0
2021-06-24,850.0,850.0,850.0
2021-06-17,850.0,850.0,850.0
2021-06-10,850.0,850.0,850.0
2021-06-03,850.0,850.0,850.0
2021-05-27,850.0,850.0,850.0
2021-05-20,850.0,850.0,850.0
2021-05-06,850.0,850.0,850.0
2021-04-29,850.0,850.0,850.0
2021-04-22,850.0,850.0,850.0
2021-04-15,850.0,850.0,850.0
2021-04-08,850.0,850.0,850.0
2021-04-01,850.0,850.0,850.0
2021-03-25,850.0,850.0,850.0
2021-03-18,850.0,850.0,850.0
2021-03-11,850.0,850.0,850.0
2021-03-04,850.0,850.0,850.0
2021-02-25,850.0,850.0,850.0
2021-02-18,850.0,850.0,850.0
2021-02-11,850.0,850.0,850.0
2021-02-04,850.0,850.0,850.0
2021-01-28,850.0,850.0,850.0
2021-01-21,850.0,850.0,850.0
2021-01-14,850.0,850.0,850.0
2021-01-07,850.0,850.0,850.0
2020-12-31,850.0,850.0,850.0
2020-12-24,850.0,850.0,850.0
2020-12-17,850.0,850.0,850.0
2020-12-10,850.0,850.0,850.0
2020-12-03,850.0,850.0,850.0
2020-11-26,850.0,850.0,850.0
2020-11-19,850.0,850.0,850.0
2020-11-12,850.0,850.0,850.0
2020-11-05,850.0,850.0,850.0
2020-10-29,850.0,850.0,850.0
2020-10-22,850.0,850.0,850.0
2020-10-15,850.0,850.0,850.0
2020-10-08,850.0,850.0,850.0
2020-10-01,850.0,850.0,850.0
2020-09-24,850.0,850.0,850.0
2020-09-17,850.0,850.0,850.0
2020-09-10,800.0,816.33,850.0
2020-09-03,800.0,816.33,850.0
2020-08-27,800.0,816.33,850.0
2020-08-20,800.0,816.33,850.0
2020-08-13,800.0,816.33,850.0
2020-08-06,800.0,816.33,850.0
2020-07-29,800.0,816.33,850.0
2020-07-23,800.0,816.33,850.0
2020-07-16,800.0,816.33,850.0
2020-07-09,800.0,816.33,850.0
2020-07-02,800.0,816.33,850.0
2020-06-25,800.0,816.33,850.0
2020-06-18,800.0,816.33,850.0
2020-06-11,800.0,816.33,850.0
2020-06-04,800.0,816.33,850.0
2020-05-28,800.0,816.33,850.0
2020-05-21,800.0,816.33,850.0
2020-05-14,800.0,816.33,850.0
2020-05-07,800.0,816.33,850.0
2020-04-30,800.0,816.33,850.0
2020-04-23,800.0,816.33,850.0
2020-04-16,800.0,800.0,800.0
2020-04-09,800.0,800.0,800.0
2020-04-02,800.0,800.0,800.0
2020-03-26,800.0,800.0,800.0
2020-03-19,800.0,800.0,800.0
2020-03-12,800.0,800.0,800.0
2020-03-05,800.0,800.0,800.0
2020-02-27,800.0,800.0,800.0
2020-02-20,800.0,800.0,800.0
2020-02-13,800.0,800.0,800.0
2020-02-06,800.0,800.0,800.0
2020-01-30,800.0,800.0,800.0
2020-01-23,800.0,800.0,800.0
2020-01-16,800.0,800.0,800.0
2020-01-09,800.0,800.0,800.0
2020-01-02,800.0,800.0,800.0
2019-12-26,800.0,800.0,800.0
2019-12-19,800.0,800.0,800.0
2019-12-12,800.0,800.0,800.0
2019-12-05,800.0,800.0,800.0
2019-11-28,800.0,800.0,800.0
2019-11-21,800.0,800.0,800.0
2019-11-14,800.0,800.0,800.0
2019-11-07,800.0,800.0,800.0
2019-10-31,800.0,800.0,800.0
2019-10-24,800.0,800.0,800.0
2019-10-17,750.0,782.97,800.0
2019-10-10,750.0,782.97,800.0
2019-10-03,750.0,782.97,800.0
2019-09-26,750.0,782.97,800.0
2019-09-19,750.0,782.97,800.0
2019-09-12,750.0,782.97,800.0
2019-09-05,750.0,782.97,800.0
2021-08-06,850.0,850.0,850.0
