Date,Min,Avg,Max
2021-07-29,1000.0,1000.0,1000.0
2021-07-15,1000.0,1000.0,1000.0
2021-07-08,1000.0,1000.0,1000.0
2021-07-01,1000.0,1000.0,1000.0
2021-06-24,1000.0,1000.0,1000.0
2021-06-17,1000.0,1000.0,1000.0
2021-06-10,1000.0,1000.0,1000.0
2021-06-03,1000.0,1000.0,1000.0
2021-05-27,1000.0,1000.0,1000.0
2021-05-20,1000.0,1000.0,1000.0
2021-05-06,1000.0,1000.0,1000.0
2021-04-29,1000.0,1000.0,1000.0
2021-04-22,1000.0,1000.0,1000.0
2021-04-15,1000.0,1000.0,1000.0
2021-04-08,1000.0,1000.0,1000.0
2021-04-01,1200.0,1200.0,1200.0
2021-03-25,1200.0,1200.0,1200.0
2021-03-18,1200.0,1200.0,1200.0
2021-03-11,1200.0,1200.0,1200.0
2021-03-04,1200.0,1200.0,1200.0
2021-02-25,1200.0,1274.24,1300.0
2021-02-18,1200.0,1274.24,1300.0
2021-02-11,1200.0,1274.24,1300.0
2021-02-04,1200.0,1274.24,1300.0
2021-01-28,1200.0,1274.24,1300.0
2021-01-21,1200.0,1274.24,1300.0
2021-01-14,1200.0,1274.24,1300.0
2021-01-07,1200.0,1274.24,1300.0
2020-12-31,1200.0,1274.24,1300.0
2020-12-24,1200.0,1274.24,1300.0
2020-12-17,1100.0,1174.18,1200.0
2020-12-10,1100.0,1174.18,1200.0
2020-12-03,1100.0,1174.18,1200.0
2020-11-26,1000.0,1074.1,1100.0
2020-11-19,1000.0,1000.0,1000.0
2020-11-12,1000.0,1000.0,1000.0
2020-11-05,1000.0,1000.0,1000.0
2020-10-29,900.0,900.0,900.0
2020-10-22,900.0,900.0,900.0
2020-10-15,900.0,900.0,900.0
2020-10-08,900.0,900.0,900.0
2020-10-01,900.0,900.0,900.0
2020-09-24,900.0,900.0,900.0
2020-09-17,900.0,900.0,900.0
2020-09-10,900.0,900.0,900.0
2020-09-03,900.0,900.0,900.0
2020-08-27,900.0,900.0,900.0
2020-08-20,900.0,900.0,900.0
2020-08-13,900.0,900.0,900.0
2020-08-06,900.0,900.0,900.0
2020-07-29,900.0,937.25,950.0
2020-07-23,900.0,937.25,950.0
2020-07-16,900.0,937.25,950.0
2020-07-09,900.0,937.25,950.0
2020-07-02,900.0,937.25,950.0
2020-06-25,900.0,937.25,950.0
2020-06-18,900.0,937.25,950.0
2020-06-11,900.0,937.25,950.0
2020-06-04,900.0,937.25,950.0
2020-05-28,900.0,937.25,950.0
2020-05-21,900.0,937.25,950.0
2020-05-14,900.0,937.25,950.0
2020-05-07,900.0,937.25,950.0
2020-04-30,900.0,937.25,950.0
2020-04-23,900.0,937.25,950.0
2020-04-16,900.0,937.25,950.0
2020-04-09,900.0,937.25,950.0
2020-04-02,900.0,937.25,950.0
2020-03-26,900.0,937.25,950.0
2020-03-19,900.0,937.25,950.0
2020-03-12,900.0,937.25,950.0
2020-03-05,900.0,937.25,950.0
2020-02-27,900.0,937.25,950.0
2020-02-20,900.0,937.25,950.0
2020-02-13,900.0,937.25,950.0
2020-02-06,900.0,937.25,950.0
2020-01-30,800.0,843.58,850.0
2020-01-23,800.0,843.58,850.0
2020-01-16,750.0,795.71,800.0
2020-01-09,750.0,795.71,800.0
2020-01-02,750.0,795.71,800.0
2019-12-26,750.0,795.71,800.0
2019-12-19,750.0,795.71,800.0
2019-12-12,750.0,795.71,800.0
2019-12-05,750.0,795.71,800.0
2019-11-28,750.0,795.71,800.0
2019-11-21,750.0,795.71,800.0
2019-11-14,750.0,795.71,800.0
2019-11-07,750.0,795.71,800.0
2019-10-31,750.0,795.71,800.0
2019-10-24,750.0,795.71,800.0
2019-10-17,750.0,795.71,800.0
2019-10-10,750.0,795.71,800.0
2019-10-03,750.0,795.71,800.0
2019-09-26,750.0,795.71,800.0
2019-09-19,750.0,795.71,800.0
2019-09-12,750.0,795.71,800.0
2019-09-05,750.0,795.71,800.0
2021-08-06,1000.0,1000.0,1000.0
2021-08-12,1000.0,1000.0,1000.0
2021-08-26,1000.0,1000.0,1000.0
2021-09-02,1000.0,1000.0,1000.0
