Date,Min,Avg,Max
9/5/2019,180,253.39,340
9/12/2019,180,253.16,360
9/19/2019,180,257.42,360
9/26/2019,190,257.2,360
10/3/2019,180,254.96,320
10/10/2019,180,255.68,320
10/17/2019,180,258.97,320
10/24/2019,220,270.23,320
10/31/2019,220,274.97,320
11/7/2019,240,283.21,360
11/14/2019,240,291.18,380
11/21/2019,240,290.9,380
11/28/2019,240,289.12,380
12/5/2019,240,285.77,400
12/12/2019,230,284.63,400
12/19/2019,240,285.14,400
12/26/2019,220,281.38,400
1/2/2020,220,281.46,380
1/9/2020,240,290.43,380
1/16/2020,240,296.78,400
1/23/2020,240,295.51,400
1/30/2020,230,306.41,400
2/6/2020,300,375.75,480
2/13/2020,300,383.74,520
2/20/2020,300,376.53,500
2/27/2020,300,374.74,520
3/5/2020,270,364.75,580
3/12/2020,280,356.62,420
3/19/2020,250,331.26,400
3/26/2020,200,339.83,450
4/2/2020,200,342.68,450
4/9/2020,120,301.48,440
4/16/2020,120,274.7,420
4/23/2020,130,281.99,400
4/30/2020,130,269.74,400
5/7/2020,120,266.46,400
5/14/2020,120,267.06,400
5/21/2020,140,271.57,400
5/28/2020,140,262.17,400
6/4/2020,140,254.24,400
6/11/2020,180,246.83,380
6/18/2020,160,233.82,350
6/25/2020,170,231.63,350
7/2/2020,150,227.32,360
7/9/2020,150,226.41,360
7/16/2020,170,233.93,360
7/23/2020,160,231.93,350
7/29/2020,150,222.81,360
8/6/2020,160,223.93,400
8/13/2020,160,226.47,340
8/20/2020,180,228.67,340
8/27/2020,180,226.55,320
9/3/2020,180,231.35,320
9/10/2020,180,225.41,360
9/17/2020,160,225.67,320
9/24/2020,160,225.13,360
10/1/2020,160,229.69,400
10/8/2020,160,230.33,400
10/15/2020,160,227.76,400
10/22/2020,160,227.44,400
10/29/2020,160,228.07,400
11/5/2020,180,237.68,400
11/12/2020,160,235.3,400
11/19/2020,170,234.65,400
11/26/2020,180,236.65,400
12/3/2020,180,233.76,400
12/10/2020,180,236.25,400
12/17/2020,200,247.83,400
12/24/2020,200,246.49,440
12/31/2020,200,242.94,440
1/7/2021,200,243.3,440
1/14/2021,200,243.34,400
1/21/2021,200,242.79,400
1/28/2021,180,244.34,400
2/4/2021,180,245.39,400
2/11/2021,200,243.69,400
2/18/2021,200,243.62,400
2/25/2021,200,244.88,400
3/4/2021,180,227.59,370
3/11/2021,170,212.47,280
3/18/2021,100,203.98,300
3/25/2021,80,187.41,300
4/1/2021,80,188.74,300
4/8/2021,80,184.46,300
4/15/2021,80,177.11,280
4/22/2021,80,171.93,280
4/29/2021,80,170.95,280
5/6/2021,100,170.66,280
5/20/2021,100,172.89,280
5/27/2021,100,167.58,280
6/3/2021,100,176.82,260
6/10/2021,100,179.53,280
6/17/2021,120,188.01,280
6/24/2021,120,192.74,280
7/1/2021,120,200.54,300
7/8/2021,160,217.2,300
7/15/2021,160,223.15,320
7/29/2021,160,224.61,280
8/5/2021,170,234.01,320
8/12/2021,170,244.43,320
8/26/2021,190,257.17,320
9/2/2021,190,270.98,320
9/9/2021,190,274.61,340
2021-09-16,190.0,270.41,350.0
2021-09-23,150.0,264.67,340.0
