Date,Min,Avg,Max
2019-09-05,240.0,240.0,240.0
2019-09-12,240.0,240.0,240.0
2019-09-19,240.0,240.0,240.0
2019-09-26,240.0,240.0,240.0
2019-10-03,240.0,240.0,240.0
2019-10-10,240.0,240.0,240.0
2019-10-17,240.0,240.0,240.0
2019-10-24,240.0,240.0,240.0
2019-10-31,240.0,240.0,240.0
2019-11-07,280.0,280.0,280.0
2019-11-14,280.0,280.0,280.0
2019-11-21,280.0,280.0,280.0
2019-11-28,280.0,280.0,280.0
2019-12-05,280.0,280.0,280.0
2019-12-12,280.0,280.0,280.0
2019-12-19,240.0,240.0,240.0
2019-12-26,240.0,240.0,240.0
2020-01-02,240.0,240.0,240.0
2020-01-09,280.0,280.0,280.0
2020-01-16,280.0,280.0,280.0
2020-01-23,280.0,280.0,280.0
2020-01-30,280.0,286.51,300.0
2020-02-06,360.0,366.55,380.0
2020-02-13,400.0,400.0,400.0
2020-02-20,400.0,400.0,400.0
2020-02-27,380.0,393.22,400.0
2020-03-05,360.0,360.0,360.0
2020-03-12,360.0,360.0,360.0
2020-03-19,320.0,320.0,320.0
2020-03-26,360.0,360.0,360.0
2020-04-02,360.0,360.0,360.0
2020-04-09,360.0,360.0,360.0
2020-04-16,200.0,247.71,380.0
2020-04-23,200.0,243.29,360.0
2020-04-30,200.0,200.0,200.0
2020-05-07,200.0,200.0,200.0
2020-05-14,200.0,200.0,200.0
2020-05-21,200.0,212.53,240.0
2020-05-28,240.0,240.0,240.0
2020-06-04,240.0,240.0,240.0
2020-06-11,240.0,240.0,240.0
2020-06-18,200.0,212.53,240.0
2020-06-25,200.0,212.53,240.0
2020-07-02,200.0,212.53,240.0
2020-07-09,200.0,212.53,240.0
2020-07-16,200.0,212.53,240.0
2020-07-23,200.0,212.53,240.0
2020-07-29,200.0,212.53,240.0
2020-08-06,200.0,200.0,200.0
2020-08-13,200.0,200.0,200.0
2020-08-20,200.0,212.53,240.0
2020-08-27,200.0,212.53,240.0
2020-09-03,200.0,212.53,240.0
2020-09-10,200.0,212.53,240.0
2020-09-17,200.0,212.53,240.0
2020-09-24,200.0,212.53,240.0
2020-10-01,200.0,212.53,240.0
2020-10-08,200.0,200.0,200.0
2020-10-15,200.0,200.0,200.0
2020-10-22,200.0,200.0,200.0
2020-10-29,200.0,200.0,200.0
2020-11-05,200.0,212.53,240.0
2020-11-12,200.0,212.53,240.0
2020-11-19,200.0,200.0,200.0
2020-11-26,200.0,200.0,200.0
2020-12-03,180.0,193.1,200.0
2020-12-10,200.0,206.46,220.0
2020-12-17,240.0,240.0,240.0
2020-12-24,240.0,240.0,240.0
2020-12-31,240.0,240.0,240.0
2021-01-07,240.0,240.0,240.0
2021-01-14,200.0,225.85,240.0
2021-01-21,200.0,225.85,240.0
2021-01-28,200.0,225.85,240.0
2021-02-04,200.0,225.85,240.0
2021-02-11,200.0,212.53,240.0
2021-02-18,240.0,240.0,240.0
2021-02-25,240.0,240.0,240.0
2021-03-04,200.0,200.0,200.0
2021-03-11,200.0,200.0,200.0
2021-03-18,180.0,186.43,200.0
2021-03-25,180.0,186.43,200.0
2021-04-01,180.0,186.43,200.0
2021-04-08,180.0,180.0,180.0
2021-04-15,180.0,180.0,180.0
2021-04-22,160.0,173.07,180.0
2021-04-29,160.0,173.07,180.0
2021-05-06,160.0,173.07,180.0
2021-05-20,160.0,160.0,160.0
2021-05-27,160.0,160.0,160.0
2021-06-03,160.0,160.0,160.0
2021-06-10,160.0,160.0,160.0
2021-06-17,160.0,160.0,160.0
2021-06-24,180.0,193.1,200.0
2021-07-01,200.0,200.0,200.0
2021-07-08,240.0,240.0,240.0
2021-07-15,240.0,240.0,240.0
2021-07-29,240.0,240.0,240.0
2021-08-05,240.0,240.0,240.0
2021-08-12,280.0,280.0,280.0
2021-08-26,280.0,280.0,280.0
2021-09-02,280.0,280.0,280.0
2021-09-09,280.0,280.0,280.0
2021-09-16,280.0,280.0,280.0
2021-09-23,280.0,280.0,280.0
2021-09-30,280.0,280.0,280.0
2021-10-07,280.0,280.0,280.0
2021-10-14,280.0,280.0,280.0
2021-10-21,280.0,280.0,280.0
2021-10-28,280.0,280.0,280.0
2021-12-02,280.0,280.0,280.0
2021-11-04,280.0,280.0,280.0
2021-11-11,280.0,280.0,280.0
2021-11-18,280.0,280.0,280.0
2021-11-25,280.0,280.0,280.0
2021-12-08,280.0,280.0,280.0
