Date,Min,Avg,Max
2019-09-05,240.0,283.27,320.0
2019-09-12,280.0,298.39,320.0
2019-09-19,280.0,295.94,320.0
2019-09-26,280.0,292.94,320.0
2019-10-03,280.0,292.94,320.0
2019-10-10,260.0,291.63,320.0
2019-10-17,280.0,292.33,320.0
2019-10-24,280.0,292.94,320.0
2019-10-31,280.0,301.6,320.0
2019-11-07,280.0,312.01,360.0
2019-11-14,300.0,318.15,380.0
2019-11-21,300.0,319.39,380.0
2019-11-28,300.0,318.77,380.0
2019-12-05,300.0,326.51,400.0
2019-12-12,300.0,326.51,400.0
2019-12-19,300.0,332.78,400.0
2019-12-26,300.0,335.89,400.0
2020-01-02,300.0,329.66,380.0
2020-01-09,300.0,328.49,380.0
2020-01-16,300.0,328.97,400.0
2020-01-23,300.0,328.97,400.0
2020-01-30,300.0,325.39,400.0
2020-02-06,400.0,420.81,480.0
2020-02-13,440.0,457.96,520.0
2020-02-20,400.0,436.94,500.0
2020-02-27,400.0,463.76,520.0
2020-03-05,440.0,486.9,580.0
2020-03-12,300.0,347.71,400.0
2020-03-19,260.0,305.17,360.0
2020-03-26,200.0,297.95,360.0
2020-04-02,220.0,282.89,340.0
2020-04-09,200.0,238.99,300.0
2020-04-16,200.0,241.99,300.0
2020-04-23,200.0,236.29,300.0
2020-04-30,200.0,226.58,300.0
2020-05-07,200.0,249.62,300.0
2020-05-14,200.0,264.84,300.0
2020-05-21,260.0,286.3,320.0
2020-05-28,220.0,278.54,300.0
2020-06-04,220.0,269.89,300.0
2020-06-11,220.0,269.55,300.0
2020-06-18,260.0,279.7,300.0
2020-06-25,260.0,283.32,320.0
2020-07-02,220.0,276.89,300.0
2020-07-09,240.0,279.37,300.0
2020-07-16,240.0,280.54,300.0
2020-07-23,260.0,283.86,300.0
2020-07-29,260.0,291.7,320.0
2020-08-06,260.0,292.88,320.0
2020-08-13,240.0,289.46,340.0
2020-08-20,240.0,290.24,340.0
2020-08-27,260.0,289.4,320.0
2020-09-03,280.0,293.14,320.0
2020-09-10,280.0,297.59,360.0
2020-09-17,280.0,297.84,320.0
2020-09-24,300.0,326.66,360.0
2020-10-01,320.0,348.15,400.0
2020-10-08,320.0,364.96,400.0
2020-10-15,320.0,367.4,400.0
2020-10-22,300.0,342.57,400.0
2020-10-29,320.0,348.09,400.0
2020-11-05,320.0,353.45,400.0
2020-11-12,320.0,353.19,400.0
2020-11-19,320.0,356.29,400.0
2020-11-26,320.0,360.78,400.0
2020-12-03,320.0,364.32,400.0
2020-12-10,320.0,365.45,400.0
2020-12-17,320.0,370.24,400.0
2020-12-24,320.0,371.31,440.0
2020-12-31,320.0,372.02,440.0
2021-01-07,320.0,372.02,440.0
2021-01-14,320.0,363.42,400.0
2021-01-21,320.0,360.99,400.0
2021-01-28,320.0,362.15,400.0
2021-02-04,320.0,358.14,400.0
2021-02-11,320.0,360.18,400.0
2021-02-18,320.0,363.81,400.0
2021-02-25,320.0,368.57,400.0
2021-03-04,200.0,218.13,240.0
2021-03-11,180.0,212.26,240.0
2021-03-18,180.0,206.36,240.0
2021-03-25,150.0,177.42,220.0
2021-04-01,150.0,176.34,220.0
2021-04-08,150.0,172.01,200.0
2021-04-15,150.0,176.01,200.0
2021-04-22,150.0,168.26,200.0
2021-04-29,150.0,173.43,200.0
2021-05-06,160.0,174.24,200.0
2021-05-20,160.0,196.38,240.0
2021-05-27,180.0,201.09,240.0
2021-06-03,180.0,204.79,240.0
2021-06-10,180.0,215.27,260.0
2021-06-17,200.0,225.13,250.0
2021-06-24,200.0,227.46,280.0
2021-07-01,200.0,234.73,300.0
2021-07-08,200.0,244.56,300.0
2021-07-15,200.0,236.44,260.0
2021-07-29,200.0,235.66,280.0
2021-08-05,200.0,239.08,280.0
2021-08-12,200.0,244.9,280.0
2021-08-26,200.0,242.27,280.0
2021-09-02,200.0,240.24,280.0
2021-09-09,220.0,249.22,280.0
2021-09-16,240.0,252.24,280.0
2021-09-23,220.0,250.6,280.0
2021-09-30,220.0,250.6,280.0
2021-10-07,220.0,250.6,280.0
2021-10-14,220.0,250.6,280.0
2021-10-21,220.0,250.6,280.0
