Date,Min,Avg,Max
2019-09-05,240.0,244.31,260.0
2019-09-12,240.0,244.31,260.0
2019-09-19,240.0,244.31,260.0
2019-09-26,240.0,244.31,260.0
2019-10-03,240.0,244.31,260.0
2019-10-10,240.0,244.31,260.0
2019-10-17,240.0,244.31,260.0
2019-10-24,240.0,259.49,280.0
2019-10-31,240.0,265.98,280.0
2019-11-07,260.0,275.43,280.0
2019-11-14,260.0,275.43,280.0
2019-11-21,260.0,275.43,280.0
2019-11-28,260.0,275.43,280.0
2019-12-05,240.0,250.58,280.0
2019-12-12,240.0,244.31,260.0
2019-12-19,240.0,244.31,260.0
2019-12-26,240.0,244.31,260.0
2020-01-02,240.0,246.49,260.0
2020-01-09,240.0,253.15,260.0
2020-01-16,280.0,284.33,300.0
2020-01-23,280.0,280.0,280.0
2020-01-30,280.0,297.27,320.0
2020-02-06,380.0,397.73,400.0
2020-02-13,360.0,368.64,400.0
2020-02-20,350.0,356.64,360.0
2020-02-27,320.0,330.83,360.0
2020-03-05,320.0,322.16,340.0
2020-03-12,320.0,332.97,360.0
2020-03-19,280.0,297.27,320.0
2020-03-26,280.0,306.22,320.0
2020-04-02,300.0,313.19,320.0
2020-04-09,160.0,210.32,320.0
2020-04-16,150.0,157.72,160.0
2020-04-23,150.0,157.72,160.0
2020-04-30,180.0,193.1,200.0
2020-05-07,180.0,197.67,200.0
2020-05-14,200.0,221.73,240.0
2020-05-21,200.0,221.73,240.0
2020-05-28,220.0,228.67,240.0
2020-06-04,220.0,233.14,240.0
2020-06-11,220.0,233.14,240.0
2020-06-18,180.0,195.15,220.0
2020-06-25,180.0,193.1,200.0
2020-07-02,160.0,181.37,200.0
2020-07-09,180.0,206.0,220.0
2020-07-16,180.0,206.0,220.0
2020-07-23,180.0,206.0,220.0
2020-07-29,180.0,203.83,220.0
2020-08-06,180.0,193.1,200.0
2020-08-13,180.0,184.26,200.0
2020-08-20,180.0,184.26,200.0
2020-08-27,180.0,184.26,200.0
2020-09-03,180.0,195.37,200.0
2020-09-10,180.0,195.37,200.0
2020-09-17,180.0,193.1,200.0
2020-09-24,180.0,193.1,200.0
2020-10-01,180.0,193.1,200.0
2020-10-08,180.0,197.67,200.0
2020-10-15,180.0,197.67,200.0
2020-10-22,180.0,197.67,200.0
2020-10-29,180.0,197.67,200.0
2020-11-05,180.0,197.67,200.0
2020-11-12,180.0,197.67,200.0
2020-11-19,180.0,197.67,200.0
2020-11-26,180.0,197.67,200.0
2020-12-03,200.0,204.28,220.0
2020-12-10,200.0,204.28,220.0
2020-12-17,240.0,240.0,240.0
2020-12-24,240.0,240.0,240.0
2020-12-31,200.0,214.79,240.0
2021-01-07,200.0,214.79,240.0
2021-01-14,200.0,221.73,240.0
2021-01-21,200.0,214.99,240.0
2021-01-28,200.0,214.99,240.0
2021-02-04,200.0,214.99,240.0
2021-02-11,200.0,217.08,240.0
2021-02-18,200.0,217.08,240.0
2021-02-25,200.0,217.08,240.0
2021-03-04,200.0,217.08,240.0
2021-03-11,180.0,194.26,200.0
2021-03-18,180.0,188.63,200.0
2021-03-25,180.0,188.63,200.0
2021-04-01,200.0,200.0,200.0
2021-04-08,200.0,200.0,200.0
2021-04-15,160.0,171.97,180.0
2021-04-22,160.0,171.97,180.0
2021-04-29,160.0,171.97,180.0
2021-05-06,160.0,171.97,180.0
2021-05-20,160.0,175.11,200.0
2021-05-27,160.0,160.0,160.0
2021-06-03,160.0,160.0,160.0
2021-06-10,160.0,165.35,180.0
2021-06-17,160.0,177.17,200.0
2021-06-24,160.0,188.37,200.0
2021-07-01,180.0,197.67,200.0
2021-07-08,200.0,202.13,220.0
2021-07-15,240.0,240.0,240.0
2021-07-29,240.0,240.0,240.0
2021-08-05,240.0,240.0,240.0
2021-08-12,260.0,270.93,280.0
2021-08-26,260.0,273.17,280.0
2021-09-02,260.0,273.17,280.0
2021-09-09,260.0,274.32,280.0
2021-09-16,260.0,273.17,280.0
2021-09-23,280.0,284.33,300.0
2021-09-30,280.0,284.33,300.0
2021-10-07,280.0,284.33,300.0
2021-10-14,280.0,284.33,300.0
