Date,Min,Avg,Max
2021-07-29,260.0,269.88,280.0
2021-07-15,250.0,254.97,260.0
2021-07-08,250.0,254.97,260.0
2021-07-01,240.0,244.97,250.0
2021-06-24,240.0,244.97,250.0
2021-06-17,240.0,244.97,250.0
2021-06-10,210.0,219.85,230.0
2021-06-03,210.0,219.85,230.0
2021-05-27,240.0,244.97,250.0
2021-05-20,240.0,244.97,250.0
2021-05-06,240.0,244.97,250.0
2021-04-29,240.0,244.97,250.0
2021-04-22,240.0,244.97,250.0
2021-04-15,250.0,254.97,260.0
2021-04-08,250.0,254.97,260.0
2021-04-01,250.0,254.97,260.0
2021-03-25,260.0,269.88,280.0
2021-03-18,260.0,269.88,280.0
2021-03-11,260.0,269.88,280.0
2021-03-04,260.0,269.88,280.0
2021-02-25,280.0,289.89,300.0
2021-02-18,280.0,289.89,300.0
2021-02-11,280.0,289.89,300.0
2021-02-04,280.0,289.89,300.0
2021-01-28,280.0,289.89,300.0
2021-01-21,280.0,289.89,300.0
2021-01-14,280.0,289.89,300.0
2021-01-07,280.0,289.89,300.0
2020-12-31,280.0,289.89,300.0
2020-12-24,280.0,289.89,300.0
2020-12-17,280.0,289.89,300.0
2020-12-10,280.0,289.89,300.0
2020-12-03,300.0,309.89,320.0
2020-11-26,310.0,324.86,340.0
2020-11-19,320.0,329.9,340.0
2020-11-12,320.0,329.9,340.0
2020-11-05,320.0,329.9,340.0
2020-10-29,320.0,329.9,340.0
2020-10-22,320.0,329.9,340.0
2020-10-15,320.0,334.72,360.0
2020-10-08,320.0,339.61,360.0
2020-10-01,310.0,319.9,330.0
2020-09-24,290.0,294.97,300.0
2020-09-17,300.0,309.89,320.0
2020-09-10,300.0,309.89,320.0
2020-09-03,300.0,309.89,320.0
2020-08-27,300.0,309.89,320.0
2020-08-20,280.0,289.89,300.0
2020-08-13,320.0,329.9,340.0
2020-08-06,380.0,389.91,400.0
2020-07-29,350.0,354.98,360.0
2020-07-23,320.0,329.9,340.0
2020-07-16,340.0,349.9,360.0
2020-07-09,340.0,349.9,360.0
2020-07-02,340.0,349.9,360.0
2020-06-25,320.0,329.9,340.0
2020-06-18,330.0,339.9,350.0
2020-06-11,310.0,314.97,320.0
2020-06-04,280.0,289.89,300.0
2020-05-28,300.0,309.89,320.0
2020-05-21,340.0,349.9,360.0
2020-05-14,899.0,899.0,899.0
2020-05-07,340.0,349.9,360.0
2020-04-30,330.0,339.9,350.0
2020-04-23,340.0,349.9,360.0
2020-04-16,360.0,369.91,380.0
2020-04-09,340.0,349.9,360.0
2020-04-02,380.0,389.91,400.0
2020-03-26,390.0,399.92,410.0
2020-03-19,380.0,389.91,400.0
2020-03-12,400.0,404.98,410.0
2020-03-05,390.0,394.98,400.0
2020-02-27,390.0,394.98,400.0
2020-02-20,390.0,394.98,400.0
2020-02-13,380.0,389.91,400.0
2020-02-06,360.0,369.91,380.0
2020-01-30,360.0,369.91,380.0
2020-01-23,380.0,389.91,400.0
2020-01-16,380.0,389.91,400.0
2020-01-09,360.0,369.91,380.0
2020-01-02,340.0,349.9,360.0
2019-12-26,320.0,329.9,340.0
2019-12-19,340.0,349.9,360.0
2019-12-12,340.0,349.9,360.0
2019-12-05,330.0,339.9,350.0
2019-11-28,340.0,349.9,360.0
2019-11-21,320.0,329.9,340.0
2019-11-14,340.0,349.9,360.0
2019-11-07,310.0,319.9,330.0
2019-10-31,300.0,309.89,320.0
2019-10-24,290.0,299.89,310.0
2019-10-17,280.0,289.89,300.0
2019-10-10,270.0,279.88,290.0
2019-10-03,270.0,279.88,290.0
2019-09-26,280.0,291.59,300.0
2019-09-19,270.0,279.88,290.0
2019-09-12,260.0,269.88,280.0
2019-09-05,270.0,279.88,290.0
2021-08-06,270.0,279.88,290.0
2021-08-12,250.0,259.87,270.0
