Date,Min,Avg,Max
2019-09-05,100.0,142.51,210.0
2019-09-12,100.0,142.51,210.0
2019-09-19,100.0,143.56,210.0
2019-09-26,100.0,143.56,210.0
2019-10-03,100.0,143.56,210.0
2019-10-10,100.0,143.56,210.0
2019-10-17,100.0,143.56,210.0
2019-10-24,100.0,143.56,210.0
2019-10-31,100.0,143.56,210.0
2019-11-07,100.0,144.94,210.0
2019-11-14,100.0,144.94,210.0
2019-11-21,100.0,144.94,210.0
2019-11-28,100.0,144.94,210.0
2019-12-05,100.0,144.94,210.0
2019-12-12,100.0,144.94,210.0
2019-12-19,100.0,145.63,210.0
2019-12-26,100.0,146.36,210.0
2020-01-02,100.0,146.87,210.0
2020-01-09,100.0,147.05,210.0
2020-01-16,100.0,147.55,210.0
2020-01-23,100.0,147.55,210.0
2020-01-30,100.0,147.55,210.0
2020-02-06,100.0,147.55,210.0
2020-02-13,100.0,148.8,210.0
2020-02-20,100.0,148.8,210.0
2020-02-27,100.0,148.8,210.0
2020-03-05,100.0,150.11,210.0
2020-03-12,100.0,150.11,210.0
2020-03-19,100.0,150.11,210.0
2020-03-26,100.0,150.11,210.0
2020-04-02,100.0,150.11,210.0
2020-04-09,100.0,150.11,210.0
2020-04-16,100.0,150.11,210.0
2020-04-23,100.0,150.11,210.0
2020-04-30,100.0,150.11,210.0
2020-05-07,100.0,150.11,210.0
2020-05-14,100.0,150.11,210.0
2020-05-21,100.0,150.11,210.0
2020-05-28,100.0,150.11,210.0
2020-06-04,100.0,150.11,210.0
2020-06-11,100.0,150.11,210.0
2020-06-18,100.0,152.17,230.0
2020-06-25,100.0,152.17,230.0
2020-07-02,100.0,152.17,230.0
2020-07-09,100.0,154.91,230.0
2020-07-16,100.0,156.35,230.0
2020-07-23,100.0,156.35,230.0
2020-07-29,100.0,157.85,230.0
2020-08-06,100.0,157.85,230.0
2020-08-13,100.0,157.85,230.0
2020-08-20,100.0,158.83,230.0
2020-08-27,100.0,158.83,230.0
2020-09-03,100.0,158.83,230.0
2020-09-10,100.0,161.33,230.0
2020-09-17,100.0,163.12,230.0
2020-09-24,100.0,163.12,230.0
2020-10-01,100.0,163.12,230.0
2020-10-08,100.0,163.12,230.0
2020-10-15,100.0,163.12,230.0
2020-10-22,100.0,163.12,230.0
2020-10-29,100.0,163.12,230.0
2020-11-05,100.0,163.12,230.0
2020-11-12,100.0,163.84,230.0
2020-11-19,100.0,165.44,230.0
2020-11-26,100.0,165.44,230.0
2020-12-03,100.0,165.44,230.0
2020-12-10,100.0,165.44,230.0
2020-12-17,100.0,165.44,230.0
2020-12-24,100.0,165.44,230.0
2020-12-31,100.0,165.44,230.0
2021-01-07,100.0,165.44,230.0
2021-01-14,100.0,165.44,230.0
2021-01-21,100.0,165.44,230.0
2021-01-28,110.0,166.06,230.0
2021-02-04,110.0,166.69,230.0
2021-02-11,110.0,168.2,230.0
2021-02-18,110.0,168.89,230.0
2021-02-25,110.0,168.89,230.0
2021-03-04,110.0,168.89,230.0
2021-03-11,110.0,170.99,250.0
2021-03-18,110.0,171.85,250.0
2021-03-25,110.0,171.85,250.0
2021-04-01,110.0,171.85,250.0
2021-04-08,110.0,172.47,250.0
2021-04-15,110.0,172.47,250.0
2021-04-22,110.0,172.47,250.0
2021-04-29,110.0,172.47,250.0
2021-05-06,110.0,172.47,250.0
2021-05-20,110.0,172.47,250.0
2021-05-27,110.0,172.47,250.0
2021-06-03,110.0,172.47,250.0
2021-06-10,110.0,172.47,250.0
2021-06-17,110.0,172.47,250.0
2021-06-24,110.0,172.47,250.0
2021-07-01,110.0,172.47,250.0
2021-07-08,110.0,172.47,250.0
2021-07-15,110.0,172.47,250.0
2021-07-29,110.0,172.47,250.0
2021-08-05,110.0,172.47,250.0
2021-08-12,110.0,172.47,250.0
2021-08-26,110.0,172.47,250.0
2021-09-02,110.0,172.47,250.0
2021-09-09,110.0,172.47,250.0
2021-09-16,110.0,174.79,280.0
2021-09-23,110.0,175.2,280.0
2021-09-30,110.0,175.2,280.0
2021-10-07,110.0,175.2,280.0
