Date,Min,Avg,Max
2021-07-29,328.0,1328.0,328.0
2021-07-15,303.0,1303.0,303.0
2021-07-08,303.0,1303.0,303.0
2021-07-01,303.0,1303.0,303.0
2021-06-24,303.0,1303.0,303.0
2021-06-17,303.0,1303.0,303.0
2021-06-10,303.0,1303.0,303.0
2021-06-03,303.0,1303.0,303.0
2021-05-27,303.0,1303.0,303.0
2021-05-20,303.0,1303.0,303.0
2021-05-06,303.0,1303.0,303.0
2021-04-29,303.0,1303.0,303.0
2021-04-22,303.0,1303.0,303.0
2021-04-15,303.0,1303.0,303.0
2021-04-08,303.0,1303.0,303.0
2021-04-01,296.0,1296.0,296.0
2021-03-25,296.0,1296.0,296.0
2021-03-18,296.0,1296.0,296.0
2021-03-11,296.0,1296.0,296.0
2021-03-04,296.0,1296.0,296.0
2021-02-25,296.0,1296.0,296.0
2021-02-18,260.0,1260.0,260.0
2021-02-11,260.0,1260.0,260.0
2021-02-04,260.0,1260.0,260.0
2021-01-28,250.0,1250.0,250.0
2021-01-21,2510.0,250.0,250.0
2021-01-14,250.0,250.0,250.0
2021-01-07,250.0,1250.0,250.0
2020-12-31,240.0,1240.0,240.0
2020-12-24,240.0,1240.0,240.0
2020-12-17,240.0,1240.0,240.0
2020-12-10,235.0,1236.65,240.0
2020-12-03,235.0,1235.0,235.0
2020-11-26,235.0,1235.0,235.0
2020-11-19,235.0,2135.0,235.0
2020-11-12,235.0,1235.0,235.0
2020-11-05,230.0,2130.0,230.0
2020-10-29,230.0,2130.0,230.0
2020-10-22,230.0,1230.0,230.0
2020-10-15,230.0,2130.0,230.0
2020-10-08,230.0,1230.0,230.0
2020-10-01,230.0,1230.0,230.0
2020-09-24,220.0,1220.0,220.0
2020-09-17,220.0,1220.0,220.0
2020-09-10,220.0,1220.0,220.0
2020-09-03,220.0,1220.0,220.0
2020-08-27,220.0,1220.0,220.0
2020-08-20,220.0,1220.0,220.0
2020-08-13,220.0,1220.0,220.0
2020-08-06,220.0,1220.0,220.0
2020-07-29,220.0,1220.0,220.0
2020-07-23,220.0,1220.0,220.0
2020-07-16,220.0,1220.0,220.0
2020-07-09,220.0,1220.0,220.0
2020-07-02,220.0,1220.0,220.0
2020-06-25,220.0,1220.0,220.0
2020-06-18,220.0,1220.0,220.0
2020-06-11,220.0,1220.0,220.0
2020-06-04,220.0,1220.0,220.0
2020-05-28,220.0,1220.0,220.0
2020-05-21,220.0,1220.0,220.0
2020-05-14,40.0,40.0,40.0
2020-05-07,220.0,1220.0,220.0
2020-04-30,220.0,1220.0,220.0
2020-04-23,220.0,1220.0,220.0
2020-04-16,220.0,1220.0,220.0
2020-04-09,220.0,1220.0,220.0
2020-04-02,220.0,1220.0,220.0
2020-03-26,220.0,1220.0,220.0
2020-03-19,220.0,1220.0,220.0
2020-03-12,220.0,1220.0,220.0
2020-03-05,220.0,1220.0,220.0
2020-02-27,220.0,1220.0,220.0
2020-02-20,220.0,1220.0,220.0
2020-02-13,220.0,1220.0,220.0
2020-02-06,220.0,1220.0,220.0
2020-01-30,220.0,1220.0,220.0
2020-01-23,220.0,1220.0,220.0
2020-01-16,220.0,1220.0,220.0
2020-01-09,220.0,1220.0,220.0
2020-01-02,220.0,1220.0,220.0
2019-12-26,205.0,1208.32,210.0
2019-12-19,205.0,1208.32,210.0
2019-12-12,200.0,1201.65,205.0
2019-12-05,200.0,1200.0,200.0
2019-11-28,200.0,1200.0,200.0
2019-11-21,2001.0,200.0,200.0
2019-11-14,200.0,1200.0,200.0
2019-11-07,200.0,1200.0,200.0
2019-10-31,200.0,1200.0,200.0
2019-10-24,200.0,1200.0,200.0
2019-10-17,200.0,1200.0,200.0
2019-10-10,2001.0,200.0,200.0
2019-10-03,200.0,200.0,200.0
2019-09-26,200.0,2100.0,200.0
2019-09-19,200.0,1200.0,200.0
2019-09-12,195.0,1195.0,195.0
2019-09-05,195.0,195.0,195.0
2021-08-06,328.0,1328.0,328.0
