Date,Min,Avg,Max
2021-07-29,341.0,341.0,341.0
2021-07-15,341.0,341.0,341.0
2021-07-08,341.0,341.0,341.0
2021-07-01,318.0,318.0,318.0
2021-06-24,318.0,318.0,318.0
2021-06-17,318.0,318.0,318.0
2021-06-10,318.0,318.0,318.0
2021-06-03,303.0,303.0,303.0
2021-05-27,303.0,303.0,303.0
2021-05-20,303.0,303.0,303.0
2021-05-06,303.0,303.0,303.0
2021-04-29,303.0,303.0,303.0
2021-04-22,303.0,303.0,303.0
2021-04-15,303.0,303.0,303.0
2021-04-08,303.0,303.0,303.0
2021-04-01,303.0,303.0,303.0
2021-03-25,303.0,303.0,303.0
2021-03-18,296.0,296.0,296.0
2021-03-11,296.0,296.0,296.0
2021-03-04,296.0,296.0,296.0
2021-02-25,296.0,296.0,296.0
2021-02-18,296.0,296.0,296.0
2021-02-11,296.0,296.0,296.0
2021-02-04,296.0,296.0,296.0
2021-01-28,296.0,296.0,296.0
2021-01-21,296.0,296.0,296.0
2021-01-14,296.0,296.0,296.0
2021-01-07,260.0,266.36,267.0
2020-12-31,255.0,255.0,255.0
2020-12-24,255.0,255.0,255.0
2020-12-17,255.0,255.0,255.0
2020-12-10,255.0,255.0,255.0
2020-12-03,255.0,255.0,255.0
2020-11-26,246.0,246.0,246.0
2020-11-19,246.0,246.0,246.0
2020-11-12,246.0,246.0,246.0
2020-11-05,246.0,246.0,246.0
2020-10-29,246.0,246.0,246.0
2020-10-22,246.0,246.0,246.0
2020-10-15,246.0,246.0,246.0
2020-10-08,246.0,246.0,246.0
2020-10-01,246.0,246.0,246.0
2020-09-24,246.0,246.0,246.0
2020-09-17,240.0,245.45,246.0
2020-09-10,240.0,241.09,242.0
2020-09-03,240.0,241.09,242.0
2020-08-27,240.0,241.09,242.0
2020-08-20,240.0,241.09,242.0
2020-08-13,240.0,241.09,242.0
2020-08-06,240.0,241.09,242.0
2020-07-29,240.0,241.09,242.0
2020-07-23,240.0,241.09,242.0
2020-07-16,240.0,241.09,242.0
2020-07-09,240.0,241.27,242.0
2020-07-02,240.0,241.27,242.0
2020-06-25,240.0,241.27,242.0
2020-06-18,240.0,241.27,242.0
2020-06-11,240.0,241.27,242.0
2020-06-04,240.0,241.27,242.0
2020-05-28,240.0,241.27,242.0
2020-05-21,240.0,241.27,242.0
2020-05-14,240.0,241.27,242.0
2020-05-07,240.0,243.4,254.0
2020-04-30,240.0,244.48,254.0
2020-04-23,240.0,249.13,254.0
2020-04-16,240.0,249.13,254.0
2020-04-09,240.0,249.13,254.0
2020-04-02,240.0,249.13,254.0
2020-03-26,240.0,249.13,254.0
2020-03-19,240.0,248.15,254.0
2020-03-12,240.0,248.15,254.0
2020-03-05,240.0,248.15,254.0
2020-02-27,230.0,246.57,254.0
2020-02-20,230.0,246.57,254.0
2020-02-13,230.0,243.1,254.0
2020-02-06,230.0,242.12,254.0
2020-01-30,210.0,227.7,250.0
2020-01-23,210.0,225.39,230.0
2020-01-16,210.0,219.07,220.0
2020-01-09,210.0,219.07,220.0
2020-01-02,210.0,219.07,220.0
2019-12-26,210.0,219.07,220.0
2019-12-19,210.0,219.07,220.0
2019-12-12,210.0,218.92,220.0
2019-12-05,210.0,218.92,220.0
2019-11-28,210.0,218.92,220.0
2019-11-21,210.0,218.92,220.0
2019-11-14,210.0,218.92,220.0
2019-11-07,210.0,218.92,220.0
2019-10-31,210.0,218.92,220.0
2019-10-24,210.0,218.92,220.0
2019-10-17,210.0,218.92,220.0
2019-10-10,210.0,218.92,220.0
2019-10-03,210.0,218.92,220.0
2019-09-26,210.0,218.92,220.0
2019-09-19,210.0,218.92,220.0
2019-09-12,210.0,218.0,220.0
2019-09-05,200.0,216.43,220.0
2021-08-06,328.0,328.0,328.0
2021-08-12,328.0,328.0,328.0
2021-08-26,346.0,346.0,346.0
2021-09-02,346.0,346.0,346.0
2021-09-09,346.0,346.0,346.0
