Date,Min,Avg,Max
2019-09-05,200.0,209.84,220.0
2019-09-12,200.0,209.84,220.0
2019-09-19,200.0,209.84,220.0
2019-09-26,220.0,223.32,225.0
2019-10-03,220.0,223.32,225.0
2019-10-10,220.0,223.32,225.0
2019-10-17,220.0,223.32,225.0
2019-10-24,220.0,223.32,225.0
2019-10-31,220.0,223.32,225.0
2019-11-07,220.0,223.32,225.0
2019-11-14,220.0,223.32,225.0
2019-11-21,220.0,223.32,225.0
2019-11-28,220.0,223.32,225.0
2019-12-05,220.0,223.32,225.0
2019-12-12,220.0,223.32,225.0
2019-12-19,220.0,223.32,225.0
2019-12-26,220.0,223.32,225.0
2020-01-02,230.0,230.0,230.0
2020-01-09,230.0,230.0,230.0
2020-01-16,230.0,230.0,230.0
2020-01-23,230.0,230.0,230.0
2020-01-30,230.0,230.0,230.0
2020-02-06,230.0,230.0,230.0
2020-02-13,255.0,255.0,255.0
2020-02-20,255.0,255.0,255.0
2020-02-27,255.0,255.0,255.0
2020-03-05,255.0,255.0,255.0
2020-03-12,255.0,255.0,255.0
2020-03-19,255.0,255.0,255.0
2020-03-26,255.0,255.0,255.0
2020-04-02,255.0,255.0,255.0
2020-04-09,255.0,255.0,255.0
2020-04-16,255.0,255.0,255.0
2020-04-23,255.0,255.0,255.0
2020-04-30,255.0,255.0,255.0
2020-05-07,255.0,255.0,255.0
2020-05-14,255.0,255.0,255.0
2020-05-21,255.0,255.0,255.0
2020-05-28,255.0,255.0,255.0
2020-06-04,255.0,255.0,255.0
2020-06-11,255.0,255.0,255.0
2020-06-18,255.0,255.0,255.0
2020-06-25,255.0,255.0,255.0
2020-07-02,255.0,255.0,255.0
2020-07-09,245.0,245.0,245.0
2020-07-16,245.0,245.0,245.0
2020-07-23,245.0,245.0,245.0
2020-07-29,245.0,245.0,245.0
2020-08-06,245.0,245.0,245.0
2020-08-13,245.0,245.0,245.0
2020-08-20,245.0,245.0,245.0
2020-08-27,245.0,245.0,245.0
2020-09-03,245.0,245.0,245.0
2020-09-10,245.0,245.0,245.0
2020-09-17,245.0,245.0,245.0
2020-09-24,244.0,244.0,244.0
2020-10-01,244.0,244.0,244.0
2020-10-08,244.0,244.0,244.0
2020-10-15,244.0,244.0,244.0
2020-10-22,244.0,244.0,244.0
2020-10-29,244.0,244.0,244.0
2020-11-05,244.0,244.0,244.0
2020-11-12,244.0,244.0,244.0
2020-11-19,244.0,244.0,244.0
2020-11-26,244.0,244.0,244.0
2020-12-03,244.0,244.0,244.0
2020-12-10,244.0,244.0,244.0
2020-12-17,244.0,244.0,244.0
2020-12-24,244.0,244.0,244.0
2020-12-31,244.0,244.0,244.0
2021-01-07,244.0,244.0,244.0
2021-01-14,255.0,255.0,255.0
2021-01-21,262.0,262.0,262.0
2021-01-28,262.0,262.0,262.0
2021-02-04,262.0,262.0,262.0
2021-02-11,262.0,262.0,262.0
2021-02-18,296.0,296.0,296.0
2021-02-25,296.0,296.0,296.0
2021-03-04,296.0,296.0,296.0
2021-03-11,296.0,296.0,296.0
2021-03-18,296.0,296.0,296.0
2021-03-25,296.0,296.0,296.0
2021-04-01,296.0,296.0,296.0
2021-04-08,296.0,296.0,296.0
2021-04-15,303.0,303.0,303.0
2021-04-22,303.0,303.0,303.0
2021-04-29,303.0,303.0,303.0
2021-05-06,303.0,303.0,303.0
2021-05-20,303.0,303.0,303.0
2021-05-27,303.0,303.0,303.0
2021-06-03,303.0,303.0,303.0
2021-06-10,303.0,303.0,303.0
2021-06-17,303.0,303.0,303.0
2021-06-24,305.0,305.0,305.0
2021-07-01,305.0,305.0,305.0
2021-07-08,305.0,305.0,305.0
2021-07-15,316.0,316.0,316.0
2021-07-29,316.0,316.0,316.0
2021-08-05,316.0,316.0,316.0
2021-08-12,341.0,341.0,341.0
2021-08-26,341.0,341.0,341.0
2021-09-02,341.0,341.0,341.0
2021-09-09,341.0,341.0,341.0
2021-09-16,341.0,341.0,341.0
2021-09-23,346.0,346.0,346.0
2021-09-30,346.0,346.0,346.0
2021-10-07,346.0,346.0,346.0
2021-10-14,346.0,346.0,346.0
2021-10-21,346.0,346.0,346.0
2021-10-28,346.0,346.0,346.0
2021-12-02,346.0,346.0,346.0
2021-11-04,346.0,346.0,346.0
2021-11-11,346.0,346.0,346.0
2021-11-18,346.0,346.0,346.0
2021-11-25,346.0,346.0,346.0
2021-12-08,346.0,346.0,346.0
2021-12-15,346.0,346.0,346.0
