Date,Min,Avg,Max
2021-07-29,341.0,1341.0,341.0
2021-07-15,341.0,1341.0,341.0
2021-07-08,316.0,1316.0,316.0
2021-07-01,316.0,1316.0,316.0
2021-06-24,303.0,1303.0,303.0
2021-06-17,303.0,1303.0,303.0
2021-06-10,303.0,1303.0,303.0
2021-06-03,303.0,1303.0,303.0
2021-05-27,303.0,1303.0,303.0
2021-05-20,303.0,1303.0,303.0
2021-05-06,303.0,1303.0,303.0
2021-04-29,303.0,1303.0,303.0
2021-04-22,303.0,1303.0,303.0
2021-04-15,303.0,1303.0,303.0
2021-04-08,303.0,1303.0,303.0
2021-04-01,303.0,1303.0,303.0
2021-03-25,303.0,1303.0,303.0
2021-03-18,296.0,1296.0,296.0
2021-03-11,296.0,1296.0,296.0
2021-03-04,296.0,1296.0,296.0
2021-02-25,296.0,1296.0,296.0
2021-02-18,296.0,1296.0,296.0
2021-02-11,296.0,1296.0,296.0
2021-02-04,296.0,1296.0,296.0
2021-01-28,296.0,1296.0,296.0
2021-01-21,2617.0,267.0,267.0
2021-01-14,267.0,267.0,267.0
2021-01-07,267.0,1267.0,267.0
2020-12-31,255.0,1255.0,255.0
2020-12-24,255.0,1255.0,255.0
2020-12-17,255.0,1255.0,255.0
2020-12-10,255.0,1255.0,255.0
2020-12-03,246.0,1246.0,246.0
2020-11-26,246.0,1246.0,246.0
2020-11-19,246.0,2146.0,246.0
2020-11-12,246.0,1246.0,246.0
2020-11-05,246.0,2146.0,246.0
2020-10-29,246.0,2146.0,246.0
2020-10-22,246.0,1246.0,246.0
2020-10-15,246.0,2146.0,246.0
2020-10-08,246.0,1246.0,246.0
2020-10-01,246.0,1246.0,246.0
2020-09-24,246.0,1246.0,246.0
2020-09-17,246.0,1246.0,246.0
2020-09-10,246.0,1246.0,246.0
2020-09-03,246.0,1246.0,246.0
2020-08-27,246.0,1246.0,246.0
2020-08-20,246.0,1246.0,246.0
2020-08-13,246.0,1248.64,254.0
2020-08-06,254.0,1254.0,254.0
2020-07-29,254.0,1254.0,254.0
2020-07-23,254.0,1254.0,254.0
2020-07-16,254.0,1254.0,254.0
2020-07-09,254.0,1254.0,254.0
2020-07-02,254.0,1254.0,254.0
2020-06-25,254.0,1254.0,254.0
2020-06-18,254.0,1254.0,254.0
2020-06-11,254.0,1254.0,254.0
2020-06-04,254.0,1254.0,254.0
2020-05-28,254.0,1254.0,254.0
2020-05-21,254.0,1254.0,254.0
2020-05-14,254.0,1254.0,254.0
2020-05-07,254.0,1254.0,254.0
2020-04-30,254.0,1254.0,254.0
2020-04-23,254.0,1254.0,254.0
2020-04-16,254.0,1254.0,254.0
2020-04-09,254.0,1254.0,254.0
2020-04-02,254.0,1254.0,254.0
2020-03-26,254.0,1254.0,254.0
2020-03-19,254.0,1254.0,254.0
2020-03-12,254.0,1254.0,254.0
2020-03-05,254.0,1254.0,254.0
2020-02-27,254.0,1254.0,254.0
2020-02-20,254.0,1254.0,254.0
2020-02-13,254.0,1254.0,254.0
2020-02-06,254.0,1254.0,254.0
2020-01-30,229.0,1229.0,229.0
2020-01-23,229.0,1229.0,229.0
2020-01-16,223.0,1223.0,223.0
2020-01-09,217.0,1217.0,217.0
2020-01-02,217.0,1217.0,217.0
2019-12-26,217.0,1217.0,217.0
2019-12-19,217.0,1217.0,217.0
2019-12-12,217.0,1217.0,217.0
2019-12-05,217.0,1217.0,217.0
2019-11-28,217.0,1217.0,217.0
2019-11-21,2171.0,217.0,217.0
2019-11-14,217.0,1217.0,217.0
2019-11-07,212.0,1212.0,212.0
2019-10-31,212.0,1212.0,212.0
2019-10-24,212.0,1212.0,212.0
2019-10-17,212.0,1212.0,212.0
2019-10-10,2121.0,212.0,212.0
2019-10-03,212.0,212.0,212.0
2019-09-26,212.0,2112.0,212.0
2019-09-19,212.0,1212.0,212.0
2019-09-12,212.0,2112.0,212.0
2019-09-05,212.0,1212.0,212.0
2021-08-06,341.0,1341.0,341.0
