Date,Min,Avg,Max
2019-09-05,520.0,543.72,570.0
2019-09-12,520.0,543.72,570.0
2019-09-19,520.0,546.38,570.0
2019-09-26,520.0,546.38,570.0
2019-10-03,520.0,546.68,570.0
2019-10-10,520.0,547.55,570.0
2019-10-17,520.0,547.55,570.0
2019-10-24,520.0,549.28,575.0
2019-10-31,520.0,549.28,575.0
2019-11-07,520.0,549.28,575.0
2019-11-14,520.0,552.56,575.0
2019-11-21,520.0,554.57,575.0
2019-11-28,520.0,554.57,575.0
2019-12-05,520.0,555.46,575.0
2019-12-12,545.0,560.97,575.0
2019-12-19,560.0,563.77,590.0
2019-12-26,560.0,566.09,590.0
2020-01-02,560.0,571.32,590.0
2020-01-09,560.0,573.97,590.0
2020-01-16,560.0,574.57,590.0
2020-01-23,560.0,574.57,590.0
2020-01-30,560.0,598.56,655.0
2020-02-06,560.0,631.28,660.0
2020-02-13,560.0,647.1,660.0
2020-02-20,560.0,647.1,660.0
2020-02-27,633.0,653.09,660.0
2020-03-05,633.0,653.09,660.0
2020-03-12,633.0,653.09,660.0
2020-03-19,633.0,653.09,660.0
2020-03-26,633.0,653.09,660.0
2020-04-02,620.0,647.18,655.0
2020-04-09,610.0,644.76,655.0
2020-04-16,610.0,644.7,655.0
2020-04-23,610.0,641.41,655.0
2020-04-30,610.0,641.41,655.0
2020-05-07,610.0,641.41,655.0
2020-05-14,610.0,641.41,655.0
2020-05-21,610.0,641.41,655.0
2020-05-28,610.0,641.41,655.0
2020-06-04,610.0,641.41,655.0
2020-06-11,610.0,641.7,660.0
2020-06-18,610.0,641.7,660.0
2020-06-25,610.0,641.7,660.0
2020-07-02,610.0,641.7,660.0
2020-07-09,610.0,638.48,655.0
2020-07-16,610.0,636.42,655.0
2020-07-23,610.0,636.42,655.0
2020-07-29,610.0,636.42,655.0
2020-08-06,610.0,634.67,655.0
2020-08-13,610.0,633.9,655.0
2020-08-20,618.0,629.41,655.0
2020-08-27,618.0,627.67,645.0
2020-09-03,618.0,628.05,645.0
2020-09-10,618.0,628.26,645.0
2020-09-17,618.0,630.02,645.0
2020-09-24,618.0,631.2,645.0
2020-10-01,618.0,632.8,645.0
2020-10-08,618.0,632.8,645.0
2020-10-15,630.0,634.99,645.0
2020-10-22,630.0,634.99,645.0
2020-10-29,630.0,634.99,645.0
2020-11-05,625.0,633.82,635.0
2020-11-12,625.0,633.82,635.0
2020-11-19,625.0,633.82,635.0
2020-11-26,625.0,633.82,635.0
2020-12-03,625.0,637.87,660.0
2020-12-10,625.0,643.12,660.0
2020-12-17,625.0,646.05,660.0
2020-12-24,625.0,649.87,660.0
2020-12-31,625.0,653.27,690.0
2021-01-07,625.0,661.71,690.0
2021-01-14,635.0,677.55,760.0
2021-01-21,650.0,697.47,760.0
2021-01-28,650.0,722.29,760.0
2021-02-04,668.0,728.96,760.0
2021-02-11,690.0,738.71,760.0
2021-02-18,690.0,747.15,760.0
2021-02-25,690.0,755.69,760.0
2021-03-04,690.0,755.69,760.0
2021-03-11,700.0,756.33,760.0
2021-03-18,700.0,758.07,775.0
2021-03-25,720.0,763.71,775.0
2021-04-01,720.0,766.35,775.0
2021-04-08,730.0,767.85,775.0
2021-04-15,730.0,769.62,775.0
2021-04-22,730.0,769.62,775.0
2021-04-29,730.0,769.62,775.0
2021-05-06,740.0,770.23,775.0
2021-05-20,750.0,771.73,775.0
2021-05-27,750.0,771.73,775.0
2021-06-03,750.0,772.62,775.0
2021-06-10,750.0,772.62,775.0
2021-06-17,750.0,774.63,810.0
2021-06-24,750.0,784.24,875.0
2021-07-01,750.0,789.86,875.0
2021-07-08,750.0,795.82,875.0
2021-07-15,760.0,816.08,875.0
2021-07-29,775.0,836.65,875.0
2021-08-05,775.0,840.63,875.0
2021-08-12,780.0,850.35,875.0
2021-08-26,780.0,855.36,885.0
2021-09-02,780.0,857.11,885.0
2021-09-09,800.0,862.34,885.0
2021-09-16,800.0,870.29,885.0
2021-09-23,800.0,874.13,885.0
2021-09-30,800.0,874.13,885.0
2021-10-07,800.0,874.13,885.0
2021-10-14,800.0,874.13,885.0
2021-10-21,800.0,874.13,885.0
2021-10-28,800.0,874.13,885.0
2021-12-02,800.0,874.13,885.0
