Date,Min,Avg,Max
2019-09-05,545.0,545.0,545.0
2019-09-12,545.0,545.0,545.0
2019-09-19,565.0,565.0,565.0
2019-09-26,565.0,565.0,565.0
2019-10-03,565.0,565.0,565.0
2019-10-10,565.0,565.0,565.0
2019-10-17,565.0,565.0,565.0
2019-10-24,565.0,565.0,565.0
2019-10-31,565.0,565.0,565.0
2019-11-07,565.0,565.0,565.0
2019-11-14,565.0,565.0,565.0
2019-11-21,565.0,565.0,565.0
2019-11-28,565.0,565.0,565.0
2019-12-05,565.0,565.0,565.0
2019-12-12,575.0,575.0,575.0
2019-12-19,575.0,575.0,575.0
2019-12-26,575.0,575.0,575.0
2020-01-02,590.0,590.0,590.0
2020-01-09,590.0,590.0,590.0
2020-01-16,590.0,590.0,590.0
2020-01-23,590.0,590.0,590.0
2020-01-30,655.0,655.0,655.0
2020-02-06,655.0,655.0,655.0
2020-02-13,655.0,655.0,655.0
2020-02-20,655.0,655.0,655.0
2020-02-27,655.0,655.0,655.0
2020-03-05,655.0,655.0,655.0
2020-03-12,655.0,655.0,655.0
2020-03-19,655.0,655.0,655.0
2020-03-26,655.0,655.0,655.0
2020-04-02,655.0,655.0,655.0
2020-04-09,655.0,655.0,655.0
2020-04-16,655.0,655.0,655.0
2020-04-23,655.0,655.0,655.0
2020-04-30,655.0,655.0,655.0
2020-05-07,655.0,655.0,655.0
2020-05-14,655.0,655.0,655.0
2020-05-21,655.0,655.0,655.0
2020-05-28,655.0,655.0,655.0
2020-06-04,655.0,655.0,655.0
2020-06-11,655.0,655.0,655.0
2020-06-18,655.0,655.0,655.0
2020-06-25,655.0,655.0,655.0
2020-07-02,655.0,655.0,655.0
2020-07-09,655.0,655.0,655.0
2020-07-16,655.0,655.0,655.0
2020-07-23,655.0,655.0,655.0
2020-07-29,655.0,655.0,655.0
2020-08-06,655.0,655.0,655.0
2020-08-13,655.0,655.0,655.0
2020-08-20,635.0,635.0,635.0
2020-08-27,635.0,635.0,635.0
2020-09-03,635.0,635.0,635.0
2020-09-10,635.0,635.0,635.0
2020-09-17,635.0,635.0,635.0
2020-09-24,635.0,635.0,635.0
2020-10-01,635.0,635.0,635.0
2020-10-08,635.0,635.0,635.0
2020-10-15,635.0,635.0,635.0
2020-10-22,635.0,635.0,635.0
2020-10-29,635.0,635.0,635.0
2020-11-05,635.0,635.0,635.0
2020-11-12,635.0,635.0,635.0
2020-11-19,635.0,635.0,635.0
2020-11-26,635.0,635.0,635.0
2020-12-03,635.0,635.0,635.0
2020-12-10,635.0,635.0,635.0
2020-12-17,635.0,635.0,635.0
2020-12-24,660.0,660.0,660.0
2020-12-31,660.0,660.0,660.0
2021-01-07,660.0,660.0,660.0
2021-01-14,690.0,690.0,690.0
2021-01-21,760.0,760.0,760.0
2021-01-28,760.0,760.0,760.0
2021-02-04,760.0,760.0,760.0
2021-02-11,760.0,760.0,760.0
2021-02-18,760.0,760.0,760.0
2021-02-25,760.0,760.0,760.0
2021-03-04,760.0,760.0,760.0
2021-03-11,760.0,760.0,760.0
2021-03-18,775.0,775.0,775.0
2021-03-25,775.0,775.0,775.0
2021-04-01,775.0,775.0,775.0
2021-04-08,775.0,775.0,775.0
2021-04-15,775.0,775.0,775.0
2021-04-22,775.0,775.0,775.0
2021-04-29,775.0,775.0,775.0
2021-05-06,775.0,775.0,775.0
2021-05-20,775.0,775.0,775.0
2021-05-27,775.0,775.0,775.0
2021-06-03,775.0,775.0,775.0
2021-06-10,775.0,775.0,775.0
2021-06-17,775.0,775.0,775.0
2021-06-24,775.0,775.0,775.0
2021-07-01,775.0,775.0,775.0
2021-07-08,775.0,775.0,775.0
2021-07-15,775.0,775.0,775.0
2021-07-29,840.0,840.0,840.0
2021-08-05,840.0,840.0,840.0
2021-08-12,840.0,840.0,840.0
2021-08-26,840.0,840.0,840.0
2021-09-02,840.0,840.0,840.0
2021-09-09,840.0,840.0,840.0
2021-09-16,840.0,840.0,840.0
2021-09-23,885.0,885.0,885.0
2021-09-30,885.0,885.0,885.0
2021-10-07,885.0,885.0,885.0
2021-10-14,885.0,885.0,885.0
2021-10-21,885.0,885.0,885.0
2021-10-28,885.0,885.0,885.0
