Date,Min,Avg,Max
2021-07-29,775.0,775.0,775.0
2021-07-15,775.0,775.0,775.0
2021-07-08,775.0,775.0,775.0
2021-07-01,775.0,775.0,775.0
2021-06-24,775.0,775.0,775.0
2021-06-17,775.0,775.0,775.0
2021-06-10,775.0,775.0,775.0
2021-06-03,775.0,775.0,775.0
2021-05-27,775.0,775.0,775.0
2021-05-20,775.0,775.0,775.0
2021-05-06,775.0,775.0,775.0
2021-04-29,775.0,775.0,775.0
2021-04-22,775.0,775.0,775.0
2021-04-15,775.0,775.0,775.0
2021-04-08,775.0,775.0,775.0
2021-04-01,760.0,760.0,760.0
2021-03-25,760.0,760.0,760.0
2021-03-18,760.0,760.0,760.0
2021-03-11,760.0,760.0,760.0
2021-03-04,760.0,760.0,760.0
2021-02-25,760.0,760.0,760.0
2021-02-18,690.0,690.0,690.0
2021-02-11,690.0,690.0,690.0
2021-02-04,690.0,690.0,690.0
2021-01-28,690.0,690.0,690.0
2021-01-21,690.0,690.0,690.0
2021-01-14,635.0,635.0,635.0
2021-01-07,635.0,635.0,635.0
2020-12-31,635.0,635.0,635.0
2020-12-24,635.0,635.0,635.0
2020-12-17,635.0,635.0,635.0
2020-12-10,635.0,635.0,635.0
2020-12-03,635.0,635.0,635.0
2020-11-26,635.0,635.0,635.0
2020-11-19,635.0,635.0,635.0
2020-11-12,635.0,635.0,635.0
2020-11-05,635.0,635.0,635.0
2020-10-29,635.0,635.0,635.0
2020-10-22,635.0,635.0,635.0
2020-10-15,635.0,635.0,635.0
2020-10-08,635.0,635.0,635.0
2020-10-01,635.0,635.0,635.0
2020-09-24,625.0,625.0,625.0
2020-09-17,625.0,625.0,625.0
2020-09-10,625.0,625.0,625.0
2020-09-03,625.0,625.0,625.0
2020-08-27,625.0,625.0,625.0
2020-08-20,625.0,625.0,625.0
2020-08-13,625.0,625.0,625.0
2020-08-06,625.0,625.0,625.0
2020-07-29,625.0,625.0,625.0
2020-07-23,625.0,625.0,625.0
2020-07-16,625.0,625.0,625.0
2020-07-09,630.0,630.0,630.0
2020-07-02,655.0,655.0,655.0
2020-06-25,655.0,655.0,655.0
2020-06-18,655.0,655.0,655.0
2020-06-11,655.0,655.0,655.0
2020-06-04,655.0,655.0,655.0
2020-05-28,655.0,655.0,655.0
2020-05-21,655.0,655.0,655.0
2020-05-14,655.0,655.0,655.0
2020-05-07,655.0,655.0,655.0
2020-04-30,655.0,655.0,655.0
2020-04-23,655.0,655.0,655.0
2020-04-16,655.0,655.0,655.0
2020-04-09,655.0,655.0,655.0
2020-04-02,655.0,655.0,655.0
2020-03-26,655.0,655.0,655.0
2020-03-19,655.0,655.0,655.0
2020-03-12,655.0,655.0,655.0
2020-03-05,655.0,655.0,655.0
2020-02-27,655.0,655.0,655.0
2020-02-20,560.0,560.0,560.0
2020-02-13,560.0,560.0,560.0
2020-02-06,560.0,560.0,560.0
2020-01-30,560.0,560.0,560.0
2020-01-23,560.0,560.0,560.0
2020-01-16,560.0,560.0,560.0
2020-01-09,560.0,560.0,560.0
2020-01-02,560.0,560.0,560.0
2019-12-26,560.0,560.0,560.0
2019-12-19,560.0,560.0,560.0
2019-12-12,560.0,560.0,560.0
2019-12-05,520.0,520.0,520.0
2019-11-28,520.0,520.0,520.0
2019-11-21,520.0,520.0,520.0
2019-11-14,520.0,520.0,520.0
2019-11-07,520.0,520.0,520.0
2019-10-31,520.0,520.0,520.0
2019-10-24,520.0,520.0,520.0
2019-10-17,520.0,520.0,520.0
2019-10-10,520.0,520.0,520.0
2019-10-03,520.0,520.0,520.0
2019-09-26,520.0,520.0,520.0
2019-09-19,520.0,520.0,520.0
2019-09-12,520.0,520.0,520.0
2019-09-05,520.0,520.0,520.0
2021-08-06,875.0,875.0,875.0
2021-08-12,875.0,875.0,875.0
2021-08-26,875.0,875.0,875.0
2021-09-02,875.0,875.0,875.0
2021-09-09,875.0,875.0,875.0
