Date,Min,Avg,Max
2021-07-29,130.0,145.78,180.0
2021-07-15,130.0,145.87,180.0
2021-07-08,130.0,146.21,180.0
2021-07-01,125.0,145.74,180.0
2021-06-24,125.0,146.39,180.0
2021-06-17,130.0,147.44,185.0
2021-06-10,130.0,149.22,185.0
2021-06-03,130.0,150.23,190.0
2021-05-27,130.0,150.44,190.0
2021-05-20,120.0,148.43,190.0
2021-05-06,120.0,147.66,190.0
2021-04-29,120.0,148.24,190.0
2021-04-22,120.0,147.19,190.0
2021-04-15,130.0,147.98,190.0
2021-04-08,130.0,151.9,200.0
2021-04-01,130.0,152.41,200.0
2021-03-25,130.0,152.78,200.0
2021-03-18,130.0,152.6,200.0
2021-03-11,135.0,153.44,200.0
2021-03-04,140.0,153.14,200.0
2021-02-25,140.0,152.8,200.0
2021-02-18,120.0,149.18,190.0
2021-02-11,120.0,145.72,190.0
2021-02-04,120.0,143.76,190.0
2021-01-28,120.0,142.19,190.0
2021-01-21,120.0,141.55,190.0
2021-01-14,110.0,140.27,190.0
2021-01-07,110.0,140.22,180.0
2020-12-31,110.0,138.9,180.0
2020-12-24,110.0,140.43,180.0
2020-12-17,110.0,140.57,180.0
2020-12-10,110.0,139.81,180.0
2020-12-03,110.0,140.17,180.0
2020-11-26,110.0,140.46,180.0
2020-11-19,120.0,141.52,180.0
2020-11-12,120.0,141.99,190.0
2020-11-05,120.0,143.4,190.0
2020-10-29,120.0,143.37,200.0
2020-10-22,120.0,143.53,200.0
2020-10-15,120.0,143.57,200.0
2020-10-08,120.0,143.59,200.0
2020-10-01,120.0,142.41,200.0
2020-09-24,120.0,142.14,195.0
2020-09-17,120.0,142.09,195.0
2020-09-10,130.0,141.81,180.0
2020-09-03,120.0,139.19,170.0
2020-08-27,120.0,136.6,175.0
2020-08-20,120.0,136.24,180.0
2020-08-13,120.0,135.75,180.0
2020-08-06,120.0,134.88,180.0
2020-07-29,120.0,135.05,180.0
2020-07-23,120.0,137.0,190.0
2020-07-16,110.0,137.38,190.0
2020-07-09,110.0,137.2,190.0
2020-07-02,110.0,137.08,190.0
2020-06-25,110.0,138.13,190.0
2020-06-18,110.0,139.04,190.0
2020-06-11,110.0,141.28,190.0
2020-06-04,110.0,143.23,190.0
2020-05-28,110.0,145.86,190.0
2020-05-21,110.0,147.61,190.0
2020-05-14,220.0,229.25,230.0
2020-05-07,130.0,154.68,200.0
2020-04-30,130.0,156.93,200.0
2020-04-23,140.0,158.52,200.0
2020-04-16,150.0,163.25,200.0
2020-04-09,140.0,162.79,200.0
2020-04-02,140.0,159.09,190.0
2020-03-26,120.0,152.76,190.0
2020-03-19,120.0,147.31,190.0
2020-03-12,125.0,148.04,190.0
2020-03-05,120.0,147.75,190.0
2020-02-27,130.0,151.09,190.0
2020-02-20,130.0,154.47,200.0
2020-02-13,140.0,157.12,200.0
2020-02-06,140.0,160.07,200.0
2020-01-30,140.0,161.91,210.0
2020-01-23,140.0,162.14,210.0
2020-01-16,150.0,161.74,190.0
2020-01-09,130.0,159.93,190.0
2020-01-02,120.0,147.84,190.0
2019-12-26,120.0,141.58,180.0
2019-12-19,100.0,138.77,180.0
2019-12-12,100.0,137.16,180.0
2019-12-05,120.0,136.0,180.0
2019-11-28,120.0,136.5,180.0
2019-11-21,120.0,136.84,180.0
2019-11-14,120.0,136.82,180.0
2019-11-07,120.0,136.03,180.0
2019-10-31,120.0,136.42,180.0
2019-10-24,120.0,136.76,180.0
2019-10-17,120.0,134.0,180.0
2019-10-10,110.0,132.36,180.0
2019-10-03,110.0,132.26,180.0
2019-09-26,110.0,131.78,180.0
2019-09-19,110.0,131.35,180.0
2019-09-12,110.0,131.17,180.0
2019-09-05,110.0,131.07,180.0
2021-08-06,130.0,146.14,180.0
2021-08-12,130.0,146.84,180.0
2021-08-26,135.0,151.02,180.0
2021-09-02,140.0,151.98,180.0
2021-09-09,135.0,152.11,180.0
