Date,Min,Avg,Max
2019-09-05,130.0,138.21,160.0
2019-09-12,130.0,137.92,160.0
2019-09-19,130.0,138.23,160.0
2019-09-26,130.0,138.23,160.0
2019-10-03,130.0,138.54,160.0
2019-10-10,130.0,138.54,160.0
2019-10-17,130.0,138.85,160.0
2019-10-24,130.0,140.31,160.0
2019-10-31,130.0,139.81,160.0
2019-11-07,130.0,139.54,160.0
2019-11-14,130.0,141.36,160.0
2019-11-21,130.0,141.36,160.0
2019-11-28,130.0,140.17,160.0
2019-12-05,130.0,140.17,160.0
2019-12-12,130.0,140.17,160.0
2019-12-19,130.0,140.48,160.0
2019-12-26,130.0,141.35,160.0
2020-01-02,130.0,147.06,160.0
2020-01-09,130.0,152.06,170.0
2020-01-16,150.0,161.87,180.0
2020-01-23,150.0,166.74,180.0
2020-01-30,150.0,166.07,180.0
2020-02-06,150.0,165.43,180.0
2020-02-13,150.0,164.86,180.0
2020-02-20,140.0,162.38,180.0
2020-02-27,130.0,161.39,180.0
2020-03-05,130.0,157.55,170.0
2020-03-12,130.0,152.43,160.0
2020-03-19,130.0,152.14,170.0
2020-03-26,130.0,153.65,170.0
2020-04-02,140.0,161.99,180.0
2020-04-09,140.0,168.75,180.0
2020-04-16,160.0,171.32,180.0
2020-04-23,160.0,171.02,180.0
2020-04-30,160.0,170.13,180.0
2020-05-07,160.0,169.22,180.0
2020-05-14,160.0,167.7,180.0
2020-05-21,160.0,166.78,180.0
2020-05-28,160.0,165.01,180.0
2020-06-04,160.0,165.01,180.0
2020-06-11,140.0,158.35,180.0
2020-06-18,140.0,154.36,160.0
2020-06-25,140.0,152.5,160.0
2020-07-02,140.0,151.59,160.0
2020-07-09,140.0,149.8,160.0
2020-07-16,140.0,149.21,160.0
2020-07-23,140.0,148.59,160.0
2020-07-29,140.0,149.53,160.0
2020-08-06,140.0,150.74,160.0
2020-08-13,140.0,150.45,160.0
2020-08-20,140.0,151.39,160.0
2020-08-27,140.0,151.39,160.0
2020-09-03,140.0,151.67,170.0
2020-09-10,140.0,153.74,170.0
2020-09-17,140.0,156.75,170.0
2020-09-24,150.0,158.93,170.0
2020-10-01,150.0,158.93,170.0
2020-10-08,150.0,159.24,170.0
2020-10-15,150.0,159.83,180.0
2020-10-22,140.0,159.19,180.0
2020-10-29,150.0,159.52,180.0
2020-11-05,150.0,159.52,180.0
2020-11-12,150.0,158.06,170.0
2020-11-19,150.0,158.06,170.0
2020-11-26,150.0,158.06,170.0
2020-12-03,150.0,157.75,170.0
2020-12-10,150.0,157.75,170.0
2020-12-17,150.0,157.75,170.0
2020-12-24,140.0,157.42,170.0
2020-12-31,140.0,157.11,170.0
2021-01-07,140.0,157.11,170.0
2021-01-14,140.0,157.71,170.0
2021-01-21,140.0,157.09,170.0
2021-01-28,140.0,157.09,170.0
2021-02-04,140.0,157.09,170.0
2021-02-11,140.0,157.09,170.0
2021-02-18,150.0,158.35,170.0
2021-02-25,150.0,159.52,180.0
2021-03-04,150.0,161.22,180.0
2021-03-11,150.0,163.59,180.0
2021-03-18,150.0,163.59,180.0
2021-03-25,160.0,165.56,180.0
2021-04-01,160.0,165.58,180.0
2021-04-08,160.0,164.99,180.0
2021-04-15,150.0,163.14,180.0
2021-04-22,150.0,161.98,180.0
2021-04-29,150.0,159.91,180.0
2021-05-06,150.0,159.91,180.0
2021-05-20,150.0,159.34,170.0
2021-05-27,150.0,158.41,170.0
2021-06-03,150.0,158.72,170.0
2021-06-10,150.0,159.01,170.0
2021-06-17,150.0,158.7,170.0
2021-06-24,150.0,158.7,170.0
2021-07-01,150.0,158.39,170.0
2021-07-08,150.0,155.98,160.0
2021-07-15,140.0,155.66,160.0
2021-07-29,150.0,155.98,160.0
2021-08-05,150.0,157.73,180.0
2021-08-12,150.0,158.35,180.0
2021-08-26,150.0,158.35,180.0
2021-09-02,150.0,162.94,180.0
2021-09-09,150.0,162.96,180.0
2021-09-16,150.0,166.01,180.0
2021-09-23,150.0,165.09,180.0
2021-09-30,150.0,165.09,180.0
2021-10-07,150.0,165.09,180.0
2021-10-14,150.0,165.09,180.0
2021-10-21,150.0,165.09,180.0
2021-10-28,150.0,165.09,180.0
2021-12-02,150.0,165.09,180.0
2021-11-04,150.0,165.09,180.0
2021-11-11,150.0,165.09,180.0
2021-11-18,150.0,165.09,180.0
