Date,Min,Avg,Max
2019-09-05,120.0,120.0,120.0
2019-09-12,110.0,116.57,120.0
2019-09-19,110.0,116.57,120.0
2019-09-26,110.0,116.57,120.0
2019-10-03,110.0,116.57,120.0
2019-10-10,110.0,118.27,120.0
2019-10-17,120.0,120.8,130.0
2019-10-24,110.0,118.27,120.0
2019-10-31,110.0,118.27,120.0
2019-11-07,110.0,118.27,120.0
2019-11-14,110.0,118.27,120.0
2019-11-21,110.0,118.27,120.0
2019-11-28,110.0,118.27,120.0
2019-12-05,110.0,118.27,120.0
2019-12-12,110.0,118.27,120.0
2019-12-19,110.0,118.27,120.0
2019-12-26,120.0,122.43,130.0
2020-01-02,130.0,138.28,140.0
2020-01-09,130.0,138.28,140.0
2020-01-16,130.0,139.14,140.0
2020-01-23,140.0,140.0,140.0
2020-01-30,140.0,140.0,140.0
2020-02-06,140.0,140.0,140.0
2020-02-13,140.0,140.0,140.0
2020-02-20,120.0,124.78,140.0
2020-02-27,120.0,120.0,120.0
2020-03-05,100.0,112.92,120.0
2020-03-12,100.0,112.92,120.0
2020-03-19,110.0,118.27,120.0
2020-03-26,120.0,120.0,120.0
2020-04-02,120.0,120.0,120.0
2020-04-09,120.0,120.0,120.0
2020-04-16,120.0,120.0,120.0
2020-04-23,120.0,120.0,120.0
2020-04-30,120.0,120.0,120.0
2020-05-07,130.0,132.43,140.0
2020-05-14,130.0,132.43,140.0
2020-05-21,130.0,132.43,140.0
2020-05-28,130.0,132.43,140.0
2020-06-04,130.0,132.43,140.0
2020-06-11,130.0,132.43,140.0
2020-06-18,130.0,132.43,140.0
2020-06-25,130.0,132.43,140.0
2020-07-02,130.0,132.43,140.0
2020-07-09,130.0,132.43,140.0
2020-07-16,130.0,132.43,140.0
2020-07-23,130.0,139.14,140.0
2020-07-29,140.0,140.0,140.0
2020-08-06,140.0,140.0,140.0
2020-08-13,140.0,144.08,150.0
2020-08-20,140.0,144.08,150.0
2020-08-27,140.0,144.08,150.0
2020-09-03,140.0,144.91,150.0
2020-09-10,140.0,144.91,150.0
2020-09-17,140.0,144.91,150.0
2020-09-24,140.0,148.29,150.0
2020-10-01,140.0,148.29,150.0
2020-10-08,140.0,148.29,150.0
2020-10-15,140.0,140.0,140.0
2020-10-22,120.0,123.24,130.0
2020-10-29,120.0,121.61,130.0
2020-11-05,120.0,121.61,130.0
2020-11-12,120.0,121.61,130.0
2020-11-19,110.0,119.86,130.0
2020-11-26,120.0,128.15,140.0
2020-12-03,130.0,134.08,140.0
2020-12-10,130.0,134.08,140.0
2020-12-17,120.0,125.55,140.0
2020-12-24,120.0,131.29,140.0
2020-12-31,120.0,131.29,140.0
2021-01-07,120.0,131.29,140.0
2021-01-14,120.0,131.29,140.0
2021-01-21,120.0,131.29,140.0
2021-01-28,120.0,131.29,140.0
2021-02-04,120.0,131.29,140.0
2021-02-11,120.0,131.29,140.0
2021-02-18,120.0,131.29,140.0
2021-02-25,120.0,131.29,140.0
2021-03-04,120.0,131.29,140.0
2021-03-11,120.0,131.29,140.0
2021-03-18,120.0,131.29,140.0
2021-03-25,120.0,131.29,140.0
2021-04-01,120.0,131.29,140.0
2021-04-08,120.0,131.29,140.0
2021-04-15,120.0,131.29,140.0
2021-04-22,120.0,131.29,140.0
2021-04-29,120.0,131.29,140.0
2021-05-06,120.0,131.29,140.0
2021-05-20,120.0,131.29,140.0
2021-05-27,120.0,131.29,140.0
2021-06-03,120.0,138.21,140.0
2021-06-10,120.0,138.21,140.0
2021-06-17,120.0,138.21,140.0
2021-06-24,120.0,138.21,140.0
2021-07-01,140.0,141.57,160.0
2021-07-08,140.0,141.57,160.0
2021-07-15,140.0,141.57,160.0
2021-07-29,140.0,141.57,160.0
2021-08-05,140.0,141.57,160.0
2021-08-12,140.0,143.15,160.0
2021-08-26,140.0,143.15,160.0
2021-09-02,140.0,146.37,160.0
2021-09-09,140.0,146.37,160.0
2021-09-16,140.0,151.34,160.0
2021-09-23,140.0,153.03,160.0
2021-09-30,140.0,153.03,160.0
