Date,Min,Avg,Max
9/5/2019,120,120,120
9/12/2019,120,120,120
9/19/2019,120,120,120
9/26/2019,120,120,120
10/3/2019,120,120,120
10/10/2019,120,120,120
10/17/2019,120,120,120
10/24/2019,120,120,120
10/31/2019,120,120,120
11/7/2019,110,110,110
11/14/2019,110,110,110
11/21/2019,110,110,110
11/28/2019,110,110,110
12/5/2019,110,110,110
12/12/2019,110,110,110
12/19/2019,110,110,110
12/26/2019,110,110,110
1/2/2020,110,110,110
1/9/2020,110,110,110
1/16/2020,110,110,110
1/23/2020,110,110,110
1/30/2020,110,110,110
2/6/2020,110,110,110
2/13/2020,110,110,110
2/20/2020,110,110,110
2/27/2020,110,110,110
3/5/2020,110,110,110
3/12/2020,110,110,110
3/19/2020,110,110,110
3/26/2020,110,110,110
4/2/2020,120,120,120
4/9/2020,120,120,120
4/16/2020,120,120,120
4/23/2020,120,120,120
4/30/2020,120,120,120
5/7/2020,120,120,120
5/14/2020,120,120,120
5/21/2020,120,120,120
5/28/2020,120,120,120
6/4/2020,120,120,120
6/11/2020,130,130,130
6/18/2020,130,130,130
6/25/2020,130,130,130
7/2/2020,130,130,130
7/9/2020,130,130,130
7/16/2020,130,130,130
7/23/2020,130,130,130
7/29/2020,130,130,130
8/6/2020,130,130,130
8/13/2020,130,130,130
8/20/2020,130,130,130
8/27/2020,130,130,130
9/3/2020,130,130,130
9/10/2020,130,130,130
9/17/2020,140,140,140
9/24/2020,140,140,140
10/1/2020,140,140,140
10/8/2020,140,140,140
10/15/2020,140,140,140
10/22/2020,140,140,140
10/29/2020,130,130,130
11/5/2020,130,130,130
11/12/2020,120,120,120
11/19/2020,120,120,120
11/26/2020,120,120,120
12/3/2020,120,120,120
12/10/2020,120,120,120
12/17/2020,120,120,120
12/24/2020,130,130,130
12/31/2020,140,140,140
1/7/2021,140,140,140
1/14/2021,140,140,140
1/21/2021,140,140,140
1/28/2021,140,140,140
2/4/2021,140,140,140
2/11/2021,130,130,130
2/18/2021,130,130,130
2/25/2021,130,130,130
3/4/2021,130,130,130
3/11/2021,120,120,120
3/18/2021,120,120,120
3/25/2021,120,120,120
4/1/2021,120,120,120
4/8/2021,120,120,120
4/15/2021,120,120,120
4/22/2021,120,120,120
4/29/2021,120,120,120
5/6/2021,120,120,120
5/20/2021,120,120,120
5/27/2021,120,120,120
6/3/2021,120,120,120
6/10/2021,130,130,130
6/17/2021,130,130,130
6/24/2021,130,130,130
7/1/2021,130,130,130
7/8/2021,130,130,130
7/15/2021,130,130,130
7/29/2021,130,130,130
8/5/2021,130,130,130
8/12/2021,130,130,130
8/26/2021,130,130,130
9/2/2021,130,130,130
9/9/2021,130,130,130
2021-09-16,130.0,130.0,130.0
