Date,Min,Avg,Max
2019-09-05,128.5,128.75,128.83
2019-09-12,128.5,128.75,128.83
2019-09-19,128.5,128.75,128.83
2019-09-26,128.5,128.75,128.83
2019-10-03,128.5,128.75,128.83
2019-10-10,128.5,128.75,128.83
2019-10-17,128.5,128.75,128.83
2019-10-24,128.5,128.75,128.83
2019-10-31,128.5,128.75,128.83
2019-11-07,128.7,128.85,128.9
2019-11-14,128.7,128.85,128.9
2019-11-21,128.7,128.85,128.9
2019-11-28,128.7,128.85,128.9
2019-12-05,126.28,126.29,126.3
2019-12-12,126.28,126.29,126.3
2019-12-19,126.28,126.29,126.3
2019-12-26,126.28,126.29,126.3
2020-01-02,128.52,128.54,128.6
2020-01-09,128.52,128.54,128.6
2020-01-16,128.52,128.54,128.6
2020-01-23,128.52,128.54,128.6
2020-01-30,128.52,128.54,128.6
2020-02-06,128.52,128.54,128.6
2020-02-13,128.52,128.54,128.6
2020-02-20,128.52,128.54,128.6
2020-02-27,128.52,128.54,128.6
2020-03-05,123.52,123.58,123.6
2020-03-12,123.52,123.58,123.6
2020-03-19,123.52,123.58,123.6
2020-03-26,108.52,108.58,108.6
2020-04-02,108.52,108.58,108.6
2020-04-09,108.52,108.58,108.6
2020-04-16,108.52,108.58,108.6
2020-04-23,108.52,108.58,108.6
2020-04-30,108.52,108.58,108.6
2020-05-07,81.3,81.3,81.3
2020-05-14,81.3,81.3,81.3
2020-05-21,81.3,81.3,81.3
2020-05-28,81.3,81.3,81.3
2020-06-04,81.3,81.3,81.3
2020-06-11,81.3,81.3,81.3
2020-06-18,81.3,81.3,81.3
2020-06-25,81.3,81.3,81.3
2020-07-02,102.54,102.57,102.6
2020-07-09,102.54,102.57,102.6
2020-07-16,102.54,102.57,102.6
2020-07-23,102.54,102.57,102.6
2020-07-29,102.54,102.57,102.6
2020-08-06,107.74,107.77,107.8
2020-08-13,107.74,107.77,107.8
2020-08-20,107.74,107.77,107.8
2020-08-27,107.74,107.77,107.8
2020-09-03,107.74,107.77,107.8
2020-09-10,107.74,107.77,107.8
2020-09-17,107.74,107.77,107.8
2020-09-24,107.74,107.77,107.8
2020-10-01,105.36,105.38,105.4
2020-10-08,105.36,105.38,105.4
2020-10-15,105.36,105.38,105.4
2020-10-22,105.36,105.38,105.4
2020-10-29,105.36,105.38,105.4
2020-11-05,104.5,104.5,104.51
2020-11-12,104.5,104.5,104.51
2020-11-19,102.7,102.71,102.72
2020-11-26,102.7,102.71,102.72
2020-12-03,106.7,106.71,106.72
2020-12-10,106.7,106.71,106.72
2020-12-17,109.7,109.71,109.72
2020-12-24,109.7,109.71,109.72
2020-12-31,109.7,109.71,109.72
2021-01-07,111.55,111.57,111.6
2021-01-14,111.55,111.57,111.6
2021-01-21,114.5,114.5,114.51
2021-01-28,114.5,114.5,114.51
2021-02-04,117.4,117.4,117.41
2021-02-11,117.4,117.4,117.41
2021-02-18,117.4,117.4,117.41
2021-02-25,117.4,117.4,117.41
2021-03-04,117.4,117.4,117.41
2021-03-11,117.4,117.4,117.41
2021-03-18,117.4,117.4,117.41
2021-03-25,117.4,117.4,117.41
2021-04-01,114.4,114.41,114.42
2021-04-08,114.4,114.41,114.42
2021-04-15,114.4,114.41,114.42
2021-04-22,112.09,112.09,112.1
2021-04-29,112.09,112.09,112.1
2021-05-06,112.09,112.09,112.1
2021-05-20,112.09,112.09,112.1
2021-05-27,112.09,112.09,112.1
2021-06-03,112.09,112.09,112.1
2021-06-10,112.09,112.09,112.1
2021-06-17,113.62,113.82,113.9
2021-06-24,113.62,113.82,113.9
2021-07-01,115.06,115.29,115.4
2021-07-08,115.06,115.29,115.4
2021-07-15,115.06,115.29,115.4
2021-07-29,117.61,117.82,117.9
2021-08-05,117.61,117.82,117.9
2021-08-12,117.61,117.82,117.9
2021-08-26,117.61,117.82,117.9
2021-09-02,116.11,116.32,116.4
2021-09-09,116.11,116.32,116.4
2021-09-16,121.07,121.24,121.31
2021-09-23,121.07,121.24,121.31
2021-09-30,121.07,121.24,121.31
2021-10-07,121.07,121.24,121.31
2021-10-14,121.07,121.24,121.31
2021-10-21,121.07,121.24,121.31
2021-10-28,121.07,121.24,121.31
2021-12-02,121.07,121.24,121.31
2021-11-04,121.07,121.24,121.31
2021-11-11,121.07,121.24,121.31
2021-11-18,121.07,121.24,121.31
