Date,Min,Avg,Max
2019-09-05,127.63,127.63,127.64
2019-09-12,127.63,127.63,127.64
2019-09-19,127.63,127.63,127.64
2019-09-26,127.63,127.63,127.64
2019-10-03,127.63,127.63,127.64
2019-10-10,127.63,127.63,127.64
2019-10-17,127.63,127.63,127.64
2019-10-24,127.63,127.63,127.64
2019-10-31,127.63,127.63,127.64
2019-11-07,127.9,127.9,127.9
2019-11-14,127.9,127.9,127.9
2019-11-21,127.9,127.9,127.9
2019-11-28,127.9,127.9,127.9
2019-12-05,125.5,125.5,125.5
2019-12-12,125.5,125.5,125.5
2019-12-19,125.5,125.5,125.5
2019-12-26,125.5,125.5,125.5
2020-01-02,127.7,127.75,127.8
2020-01-09,127.7,127.75,127.8
2020-01-16,127.7,127.75,127.8
2020-01-23,127.7,127.75,127.8
2020-01-30,127.7,127.75,127.8
2020-02-06,127.7,127.75,127.8
2020-02-13,127.7,127.75,127.8
2020-02-20,127.7,127.75,127.8
2020-02-27,127.7,127.75,127.8
2020-03-05,122.7,122.7,122.7
2020-03-12,122.7,122.7,122.7
2020-03-19,122.7,122.7,122.7
2020-03-26,107.7,107.73,107.75
2020-04-02,107.7,107.73,107.75
2020-04-09,107.7,107.73,107.75
2020-04-16,107.7,107.73,107.75
2020-04-23,107.7,107.73,107.75
2020-04-30,107.7,107.73,107.75
2020-05-07,80.56,80.56,80.56
2020-05-14,80.56,80.56,80.56
2020-05-21,80.56,80.56,80.56
2020-05-28,80.56,80.56,80.56
2020-06-04,80.57,80.57,80.57
2020-06-11,80.57,80.57,80.57
2020-06-18,80.57,80.57,80.57
2020-06-25,80.57,80.57,80.57
2020-07-02,101.88,101.88,101.88
2020-07-09,101.88,101.88,101.88
2020-07-16,101.88,101.88,101.88
2020-07-23,101.88,101.88,101.88
2020-07-29,101.88,101.88,101.88
2020-08-06,106.96,106.96,106.96
2020-08-13,106.96,106.96,106.96
2020-08-20,106.96,106.96,106.96
2020-08-27,106.96,106.96,106.96
2020-09-03,106.96,106.96,106.96
2020-09-10,106.96,106.96,106.96
2020-09-17,106.96,106.96,106.96
2020-09-24,106.96,106.96,106.96
2020-10-01,104.57,104.57,104.57
2020-10-08,104.57,104.57,104.57
2020-10-15,104.57,104.57,104.57
2020-10-22,104.57,104.57,104.57
2020-10-29,104.57,104.57,104.57
2020-11-05,103.72,103.72,103.72
2020-11-12,103.72,103.72,103.72
2020-11-19,101.93,101.93,101.93
2020-11-26,101.93,101.93,101.93
2020-12-03,105.93,105.93,105.93
2020-12-10,105.93,105.93,105.93
2020-12-17,108.9,108.93,108.94
2020-12-24,108.9,108.93,108.94
2020-12-31,108.9,108.93,108.94
2021-01-07,110.7,110.72,110.75
2021-01-14,110.7,110.72,110.75
2021-01-21,113.7,113.7,113.7
2021-01-28,113.7,113.7,113.7
2021-02-04,116.6,116.6,116.6
2021-02-11,116.6,116.6,116.6
2021-02-18,116.6,116.6,116.6
2021-02-25,116.6,116.6,116.6
2021-03-04,116.6,116.6,116.6
2021-03-11,116.6,116.6,116.6
2021-03-18,116.6,116.6,116.6
2021-03-25,116.6,116.6,116.6
2021-04-01,113.6,113.6,113.6
2021-04-08,113.6,113.6,113.6
2021-04-15,113.6,113.6,113.6
2021-04-22,111.28,111.28,111.3
2021-04-29,111.28,111.28,111.3
2021-05-06,111.28,111.28,111.3
2021-05-20,111.28,111.28,111.3
2021-05-27,111.28,111.28,111.3
2021-06-03,111.28,111.28,111.3
2021-06-10,111.28,111.28,111.3
2021-06-17,113.1,113.1,113.1
2021-06-24,113.1,113.1,113.1
2021-07-01,114.5,114.5,114.5
2021-07-08,114.5,114.5,114.5
2021-07-15,114.5,114.5,114.5
2021-07-29,117.05,117.05,117.05
2021-08-05,117.05,117.05,117.05
2021-08-12,117.05,117.05,117.05
2021-08-26,117.05,117.05,117.05
2021-09-02,115.5,115.54,115.55
2021-09-09,115.5,115.54,115.55
2021-09-16,120.5,120.51,120.53
2021-09-23,120.5,120.51,120.53
2021-09-30,120.5,120.51,120.53
2021-10-07,120.5,120.51,120.53
2021-10-14,120.5,120.51,120.53
2021-10-21,120.5,120.51,120.53
2021-10-28,120.5,120.51,120.53
2021-12-02,120.5,120.51,120.53
2021-11-04,120.5,120.51,120.53
2021-11-11,120.5,120.51,120.53
2021-11-18,120.5,120.51,120.53
